$Malden inflow constituents,
Auto-Generated,
JDAY,TDS
1,105.24
5,105.24
12,113.39
20,108.78
26,109.65
33,119.15
41,115.6
48,114.74
54,122.81
62,106.96
68,88.35
75,127.8
82,110.7
89,128.4
96,130.2
103,126.6
111,104.4
117,127.2
124,126.6
131,52.2
138,120
146,132.6
152,129
159,126
166,121.8
173,121.2
180,121.8
187,109.2
194,94.8
201,106.2
208,94.8
215,103.8
222,102
229,115.2
236,106.2
243,108.6
251,103.2
257,132.6
264,130.8
271,126
279,144
286,127.2
292,122.4
300,141
306,168
313,132.6
320,119.4
334,123
341,125.4
356,113.55
365,113.55
369,106.67
376,114.12
384,118.35
391,87.14
397,106.2
404,115.41
413,115.95
418,116.99
425,87.82
432,95.6
440,52.59
446,73.96
453,96.06
461,93.6
467,109.38
475,123.18
481,115.5
490,125.64
495,132.96
502,126.78
510,126
518,95.52
523,125.82
530,127.32
537,125.34
544,118.08
552,128.7
558,122.88
565,124.98
573,120.72
579,40.8
588,132.42
593,129.24
600,108.72
608,130.08
615,118.2
621,132.36
628,112.5
635,132.48
642,125.1
650,94.86
656,113.4
663,129.9
670,124.38
677,132.84
684,99.12
691,142.5
698,118.8
705,105.21
712,91.98
719,115.97
730,115.97
731,120.15
732,116.382
733,113.526
734,115.502
735,119.855
736,121.524
737,121.606
738,121.36
739,121.115
740,120.87
741,120.69
742,119.839
743,116.362
744,118.472
745,118.626
746,118.109
747,118.597
748,117.745
749,113.58
750,116.035
751,116.854
752,117.673
753,118.828
754,119.311
755,118.788
756,119.271
757,116.769
758,116.573
759,117.683
760,118.485
761,118.959
762,118.761
763,115.588
764,114.12
765,117.148
766,119.871
767,119.43
768,122.123
769,124.512
770,127.54
771,127.252
772,126.973
773,125.387
774,124.78
775,123.198
776,121.625
777,122.249
778,120.935
779,117.172
780,114.219
781,117.05
782,118.276
783,117.934
784,117.923
785,121.991
786,119.593
787,120.149
788,127.354
789,127.879
790,128.974
791,133.644
792,131.152
793,128.681
794,124.485
795,106.228
796,62.212
797,70.477
798,78.355
799,85.889
800,78.015
801,76.107
802,83.945
803,88.885
804,93.1
805,92.353
806,88.283
807,88.736
808,88.904
809,95.762
810,100.811
811,104.197
812,107.528
813,111.546
814,115.682
815,119.309
816,123.031
817,126.253
818,129.299
819,132.12
820,134.611
821,133.387
822,134.065
823,134.817
824,135.761
825,132.016
826,136.02
827,137.46
828,138.107
829,140.179
830,139.951
831,138.249
832,136.575
833,127.86
834,121.185
835,124.579
836,128.482
837,97.468
838,101.484
839,110.627
840,114.18
841,117.076
842,121.64
843,119.709
844,114.536
845,117.398
846,119.588
847,120.182
848,121.686
849,123.501
850,126.92
851,130.53
852,132.36
853,134.047
854,134.76
855,134.917
856,137.006
857,138.133
858,137.657
859,136.953
860,137.641
861,138.12
862,140.262
863,141.685
864,143.131
865,138.349
866,129.574
867,128.92
868,130.56
869,129.239
870,129.08
871,131.546
872,133.4
873,132.321
874,128.888
875,129.06
876,131.056
877,133.617
878,136.126
879,137.333
880,137.79
881,138.291
882,136.44
883,129.446
884,133.388
885,137.065
886,138.667
887,139.705
888,140.132
889,140.88
890,137.082
891,127.856
892,129.385
893,126.037
894,127.345
895,127.829
896,128.4
897,132.295
898,135.088
899,137.893
900,141.324
901,145.117
902,148.307
903,147.96
904,138.549
905,138.869
906,136.341
907,132.564
908,135.061
909,137.22
910,136.576
911,138.459
912,139.82
913,140.783
914,141.55
915,141.785
916,142.659
917,143.277
918,143.28
919,143.566
920,142.877
921,144.143
922,145.102
923,146.069
924,146.7
925,143.361
926,140.347
927,137.316
928,133.954
929,130.583
930,126.611
931,123.24
932,125.356
933,127.457
934,129.284
935,131.367
936,133.195
937,134.204
938,136.32
939,136.391
940,136.443
941,135.422
942,135.781
943,136.066
944,136.067
945,135.66
946,136.09
947,136.723
948,137.35
949,137.378
950,137.045
951,137.748
952,125.46
953,132.768
954,137.145
955,139.846
956,142.115
957,132.969
958,127.074
959,136.26
960,139.482
961,135.395
962,133.03
963,137.729
964,138.813
965,139.898
966,140.28
967,140.123
968,137.605
969,140.099
970,101.858
971,95.764
972,107.635
973,115.98
974,118.549
975,119.667
976,120.193
977,120.315
978,119.876
979,115.467
980,105.96
981,71.864
982,76.479
983,91.109
984,100.019
985,106.242
986,110.815
987,114.72
988,117.91
989,120.98
990,123.618
991,125.932
992,127.841
993,129.28
994,130.74
995,131.307
996,130.614
997,121.175
998,122.926
999,125.915
1000,129.072
1001,132
1002,127.283
1003,127.703
1004,127.969
1005,128.259
1006,128.778
1007,124.712
1008,123.543
1009,125.76
1010,128.02
1011,129.981
1012,132.037
1013,133.461
1014,135.173
1015,136.68
1016,133.061
1017,129.381
1018,126.438
1019,128.456
1020,130.227
1021,131.894
1022,129.3
1023,116.264
1024,115.628
1025,120.089
1026,122.061
1027,122.519
1028,121.964
1029,121.449
1030,118.38
1031,116.356
1032,117.853
1033,113.069
1034,114.021
1035,115.522
1036,116.759
1037,116.88
1038,115.454
1039,117.24
1040,120.019
