$French inflow constituents,
Auto-Generated,
JDAY,TDS
1,64.02
5,64.02
12,68.93
20,43.14
26,86.72
33,78.67
41,76.09
48,75.89
54,74.4
62,64.54
68,68.82
75,80.4
82,94.2
89,106.8
96,95.4
103,91.8
111,103.8
117,96.6
124,113.4
131,49.8
138,112.2
146,136.2
152,132
159,134.4
166,104.4
173,96.6
180,99
187,76.8
194,74.4
201,76.2
208,68.4
215,73.8
222,66.6
229,112.8
236,121.8
243,77.4
251,81
257,111.6
264,115.2
271,156
279,101.4
286,94.8
292,89.4
300,93
306,126
334,79.2
341,94.8
356,67.32
365,67.32
369,68.57844
376,75.67896
384,73.44
391,53.65836
397,69.56712
404,75.0498
413,78.46524
418,76.18152
425,59.63904
432,66.2796
440,41.47128
446,70.1688
453,72.66
461,80.4
467,97.86
475,96.78
481,106.74
490,115.26
495,102.72
502,124.86
510,127.02
518,133.56
523,156.72
530,107.22
537,154.2
544,150.06
552,272.28
558,271.26
565,248.16
573,248.34
579,320.4
600,285.18
642,261
650,228.06
656,155.28
663,186.9
670,192.48
677,114.3
684,94.8
691,99.12
698,82.38048
705,84.5838
712,64.824
719,72.39792
730,72.39792
731,79.622
732,73.702
733,69.927
734,71.387
735,77.434
736,80.134
737,79.738
738,78.612
739,77.528
740,76.488
741,77.932
742,77.487
743,71.037
744,77.607
745,79.98
746,80.508
747,84.175
748,83.618
749,74.89
750,78.894
751,79.247
752,79.645
753,81.085
754,80.59
755,77.254
756,76.77
757,72.346
758,73.325
759,77.216
760,80.709
761,83.568
762,84.573
763,78.299
764,76.776
765,79.658
766,82.035
767,78.125
768,80.27
769,81.888
770,84.803
771,85.438
772,86.184
773,83.998
774,84.006
775,81.878
776,79.846
777,82.395
778,80.773
779,74.689
780,70.828
781,76.448
782,80.027
783,80.557
784,81.881
785,84.215
786,73.962
787,70.868
788,77.476
789,74.27
790,72.347
791,75.06
792,77.646
793,80.292
794,80.621
795,66.051
796,38.768
797,47.106
798,56.157
799,61.09
800,54.601
801,52.661
802,57.514
803,60.516
804,63.082
805,61.761
806,57.504
807,56.681
808,55.661
809,59.567
810,62.306
811,63.81
812,65.318
813,68.89
814,72.662
815,76.058
816,79.631
817,82.788
818,85.826
819,88.68
820,90.122
821,87.567
822,87.103
823,86.739
824,86.585
825,82.064
826,84.78
827,89.804
828,94.272
829,100.6
830,104.61
831,106.896
832,109.252
833,103.02
834,94.217
835,95.884
836,98.318
837,68.904
838,70.136
839,75.722
840,77.04
841,80.07
842,84.948
843,83.49
844,78.955
845,82.137
846,84.823
847,85.955
848,86.568
849,87.538
850,90.371
851,93.637
852,94.84
853,95.902
854,95.7
855,97.601
856,102.213
857,105.617
858,106.644
859,107.331
860,110.115
861,112.62
862,113.623
863,113.518
864,113.508
865,103.186
866,89.41
867,86.397
868,86.04
869,84.924
870,85.168
871,88.668
872,91.67
873,90.807
874,86.842
875,87.6
876,92.572
877,98.717
878,105.361
879,110.205
880,113.828
881,117.702
882,116.52
883,101.592
884,105.54
885,110.083
886,111.044
887,110.922
888,109.355
889,108.66
890,103.168
891,89.441
892,94.809
893,92.266
894,97.288
895,101.152
896,105.36
897,108.685
898,109.843
899,111.066
900,113.854
901,117.912
902,120.665
903,113.46
904,94.951
905,95.25
906,91.087
907,85.431
908,88.684
909,91.68
910,95.04
911,102.51
912,109.41
913,115.824
914,122.062
915,127.31
916,134.216
917,140.813
918,145.92
919,146.785
920,144.788
921,148.595
922,151.839
923,155.543
924,158.28
925,159.058
926,161.663
927,164.696
928,165.993
929,167.433
930,164.306
931,165.72
932,176.597
933,187.667
934,196.065
935,207.345
936,215.719
937,216.124
938,226.92
939,239.481
940,252.265
941,254.264
942,269.199
943,285.075
944,298.408
945,304.8
946,281.105
947,260.845
948,241.794
949,209.968
950,177.77
951,156.621
952,88.92
953,101.07
954,110.314
955,116.379
956,122.928
957,84.508
958,70.683
959,83.46
960,96.345
961,90.625
962,90.137
963,105.988
964,114.613
965,124.655
966,132.96
967,128.843
968,116.517
969,123.151
970,63.119
971,56.998
972,66.838
973,74.46
974,79.904
975,84.013
976,87.641
977,90.962
978,93.647
979,90.216
980,80.64
981,48.741
982,51.173
983,61.791
984,68.644
985,73.444
986,76.815
987,79.62
988,82.826
989,86.054
990,88.889
991,91.415
992,93.457
993,94.845
994,96.3
995,96.515
996,94.895
997,83.14
998,84.954
999,88.129
1000,91.579
1001,94.86
1002,88.714
1003,88.45
1004,88.026
1005,87.64
1006,87.532
1007,82.283
1008,80.313
1009,81.96
1010,83.193
1011,84.154
1012,85.305
1013,85.72
1014,86.559
1015,87.18
1016,83.715
1017,80.857
1018,79.212
1019,82.654
1020,85.894
1021,89.071
1022,87.72
1023,76.457
1024,76.363
1025,80.696
1026,83.123
1027,84.226
1028,84.352
1029,84.539
1030,82.08
1031,79.079
1032,79.495
1033,74.261
1034,74.173
1035,74.551
1036,74.709
1037,73.92
1038,71.977
1039,72.672
1040,74.199
1041,75.658
1042,76.86
1043,78.19
1044,77.011
