$Muddy Brook inflow constituents,
Auto-Generated,
JDAY,TDS
1,82.83
5,82.83
12,83.22
20,89.35
26,74.5
33,85.5
41,96.62
48,90.85
54,90.94
62,85.79
68,42.45
75,78
82,90.6
89,91.2
96,88.8
103,87.6
111,87.6
117,93
124,94.2
131,89.4
138,91.2
146,99.6
152,100.8
159,105.6
166,92.4
173,89.4
180,88.2
187,78
194,75.6
201,84
208,72
215,76.2
222,80.4
229,84.6
236,87
243,77.4
251,83.4
257,100.8
264,102
271,104.4
279,103.2
286,99
292,94.8
300,92.4
306,156
334,90.6
341,90.6
356,82.68
365,82.68
369,73.7
376,89.28
384,99
391,89.12
397,89.11
404,94.33
413,62.9
418,92.54
425,85.65
432,85.95
440,55.33
446,81
453,73.5
461,58.2
467,87.36
475,82.5
481,90
490,97.38
495,88.02
502,94.38
510,82.98
518,92.52
523,97.32
530,88.02
537,100.68
544,105.48
552,108.42
558,108.9
565,151.86
573,101.64
579,109.02
588,111.78
593,111.06
600,100.56
608,114.06
615,111.48
621,113.88
628,114.6
635,74.46
642,121.38
650,142.98
656,147.6
663,142.32
670,134.7
677,119.04
684,136.38
691,130.86
698,111.5
705,110.2
712,75.12
719,105.68
730,105.68
731,101.079
732,95.917
733,92.144
734,97.534
735,106.032
736,111.687
737,115.313
738,118.499
739,121.687
740,124.877
741,123.504
742,121.188
743,115.375
744,117.027
745,116.109
746,114.255
747,113.825
748,111.49
749,104.688
750,106.433
751,106.02
752,105.61
753,105.672
754,104.798
755,102.531
756,101.656
757,99.489
758,100.37
759,102.948
760,105.163
761,106.956
762,107.829
763,104.761
764,104.053
765,106.108
766,107.801
767,105.571
768,107.185
769,108.44
770,110.487
771,113.191
772,115.92
773,116.973
774,119.279
775,120.348
776,121.445
777,124.263
778,124.646
779,122.15
780,120.846
781,125.966
782,129.465
783,131.075
784,133.109
785,134.021
786,127.282
787,124.545
788,128.583
789,125.795
790,123.85
791,125.194
792,120.058
793,114.957
794,108.231
795,91.842
796,76.222
797,72.063
798,68.288
799,71.637
800,71.255
801,72.45
802,75.528
803,78.201
804,80.814
805,82.025
806,80.39
807,79.884
808,79.332
809,80.231
810,80.907
811,81.21
812,81.554
813,85.619
814,89.854
815,93.979
816,98.256
817,102.356
818,106.421
819,110.4
820,109.849
821,106.957
822,105.334
823,103.793
824,102.386
825,99.001
826,98.94
827,99.38
828,99.71
829,101.263
830,101.562
831,100.819
832,100.123
833,94.26
834,90.952
835,93.064
836,95.722
837,85.676
838,86.884
839,89.403
840,90.9
841,90.063
842,90.203
843,87.593
844,83.766
845,83.11
846,82.373
847,80.974
848,84.253
849,87.722
850,92.191
851,96.988
852,100.669
853,104.278
854,107.16
855,106.743
856,107.909
857,108.377
858,107.452
859,106.332
860,106.438
861,106.38
862,107.013
863,106.999
864,107.03
865,101.175
866,93.664
867,92.138
868,91.92
869,92.648
870,94.049
871,97.15
872,100.095
873,100.935
874,100.101
875,101.82
876,103.969
877,106.83
878,109.973
879,112.056
880,113.434
881,114.907
882,113.76
883,105.169
884,107.058
885,109.141
886,109.186
887,108.633
888,107.368
889,106.5
890,103.404
891,95.421
892,97.899
893,95.965
894,98.255
895,99.893
896,101.7
897,105.495
898,108.124
899,110.779
900,114.188
901,118.105
902,121.327
903,120.12
904,106.297
905,102.517
906,96.264
907,89.263
908,87.063
909,84.78
910,86.673
911,90.863
912,94.729
913,98.302
914,101.744
915,104.637
916,108.324
917,111.771
918,114.48
919,106.3
920,96.865
921,89.955
922,82.687
923,75.465
924,67.8
925,76.462
926,85.594
927,94.71
928,103.349
929,111.974
930,119.718
931,128.34
932,129.032
933,129.698
934,129.965
935,130.599
936,130.863
937,129.935
938,130.62
939,130.866
940,131.081
941,129.732
942,130.4
943,130.939
944,131.055
945,130.62
946,129.113
947,127.881
948,126.611
949,124.588
950,121.977
951,120.866
952,102.84
953,109.863
954,113.985
955,115.967
956,117.359
957,103.332
958,95.743
959,103.92
960,109.498
961,105.78
962,104.428
963,111.738
964,114.77
965,117.897
966,120.06
967,120.093
968,116.816
969,120.602
970,90.333
971,89.471
972,94.007
973,98.82
974,99.993
975,100.61
976,101.027
977,101.287
978,101.142
979,97.03
980,88.98
981,76.413
982,77.439
983,81.028
984,84.308
985,87.203
986,89.599
987,91.8
988,94.699
989,97.688
990,100.46
991,103.04
992,105.295
993,107.105
994,108.96
995,109.273
996,108.307
997,100.439
998,101.766
999,104.006
1000,106.487
1001,108.9
1002,103.618
1003,102.394
1004,101.073
1005,99.789
1006,98.714
1007,94.008
1008,91.616
1009,91.74
1010,94.862
1011,97.817
1012,100.933
1013,103.509
1014,106.406
1015,109.14
1016,105.51
1017,102.333
1018,100.146
1019,101.63
1020,103.006
1021,104.363
1022,102.3
1023,93.947
1024,92.848
1025,94.585
1026,95.398
1027,95.356
1028,94.602
1029,93.909
1030,91.14
1031,89.785
1032,91.022
1033,88.18
1034,89.01
1035,90.158
1036,91.159
1037,91.5
1038,90.439
1039,91.133
1040,92.42
1041,93.714
