JDAY	WSE
1	120.06
2	120.05
3	120.04
4	120.02
5	120.01
6	119.99
7	119.98
8	120.01
9	120.00
10	119.98
11	119.97
12	119.96
13	119.93
14	119.90
15	119.87
16	119.84
17	119.79
18	119.76
19	119.74
20	119.72
21	119.68
22	119.64
23	119.60
24	119.55
25	119.51
26	119.48
27	119.44
28	119.40
29	119.39
30	119.36
31	119.31
32	119.27
33	119.24
34	119.19
35	119.16
36	119.11
37	119.07
38	119.01
39	118.96
40	118.94
41	118.90
42	118.84
43	118.82
44	118.80
45	118.78
46	118.75
47	118.72
48	118.70
49	118.66
50	118.63
51	118.60
52	118.55
53	118.52
54	118.50
55	118.48
56	118.44
57	118.41
58	118.40
59	118.42
60	118.47
61	118.49
62	118.52
63	118.52
64	118.52
65	118.51
66	118.50
67	118.52
68	118.57
69	118.61
70	118.65
71	118.70
72	118.74
73	118.77
74	118.79
75	118.80
76	118.81
77	118.83
78	118.83
79	118.84
80	118.86
81	118.86
82	118.86
83	118.85
84	118.85
85	118.83
86	118.83
87	118.82
88	118.83
89	118.84
90	118.87
91	118.88
92	118.88
93	118.88
94	118.91
95	118.94
96	118.94
97	118.98
98	119.03
99	119.05
100	119.05
101	119.08
102	119.10
103	119.11
104	119.11
105	119.11
106	119.10
107	119.09
108	119.08
109	119.06
110	119.05
111	119.06
112	119.10
113	119.15
114	119.18
115	119.19
116	119.18
117	119.17
118	119.17
119	119.16
120	119.13
121	119.11
122	119.09
123	119.07
124	119.06
125	119.03
126	119.10
127	119.05
128	119.09
129	119.12
130	119.14
131	119.13
132	119.14
133	119.16
134	119.16
135	119.16
136	119.16
137	119.15
138	119.15
139	119.15
140	119.14
141	119.11
142	119.09
143	119.05
144	119.03
145	119.01
146	118.98
147	118.96
148	118.95
149	118.94
150	118.93
151	118.91
152	118.89
153	118.86
154	118.85
155	118.85
156	118.85
157	118.83
158	118.82
159	118.81
160	118.80
161	118.80
162	118.80
163	118.84
164	118.87
165	118.89
166	118.91
167	118.91
168	118.89
169	118.88
170	118.91
171	118.94
172	118.96
173	118.98
174	119.00
175	119.01
176	119.02
177	119.02
178	119.02
179	118.99
180	118.97
181	118.97
182	118.98
183	119.11
184	119.26
185	119.34
186	119.37
187	119.39
188	119.41
189	119.44
190	119.49
191	119.52
192	119.52
193	119.53
194	119.52
195	119.51
196	119.50
197	119.48
198	119.45
199	119.46
200	119.45
201	119.44
202	119.42
203	119.43
204	119.43
205	119.47
206	119.68
207	119.70
208	119.69
209	119.67
210	119.63
211	119.62
212	119.60
213	119.66
214	119.66
215	119.65
216	119.63
217	119.60
218	119.58
219	119.53
220	119.48
221	119.44
222	119.41
223	119.38
224	119.36
225	119.33
226	119.32
227	119.30
228	119.27
229	119.24
230	119.22
231	119.15
232	119.10
233	119.06
234	119.05
235	119.01
236	119.00
237	118.98
238	118.98
239	118.98
240	118.98
241	119.04
242	119.09
243	119.11
244	119.11
245	119.08
246	119.06
247	119.03
248	119.03
249	119.02
250	119.02
251	119.01
252	119.00
253	118.99
254	118.98
255	119.00
256	119.00
257	119.00
258	119.00
259	119.00
260	118.99
261	118.98
262	118.97
263	118.97
264	118.97
265	118.96
266	118.97
267	118.97
268	118.97
269	118.97
270	118.99
271	119.00
272	119.02
273	119.03
274	119.02
275	119.02
276	119.00
277	118.99
278	118.96
279	118.95
280	118.97
281	118.98
282	118.98
283	118.99
284	118.99
285	118.99
286	118.99
287	118.99
288	118.99
289	118.99
290	118.98
291	118.97
292	118.98
293	118.98
294	118.97
295	118.95
296	118.95
297	118.95
298	118.98
299	118.99
300	118.99
301	119.00
302	119.04
303	119.05
304	119.05
305	119.04
