$Cosgrove Out, 
FROM: 2017_WaterBalance, 
JDAY,m3/s
1,7.3855
2,7.7409
3,7.5914
4,8.1665
5,7.8262
6,7.7673
7,7.7242
8,7.9274
9,7.6108
10,7.6275
11,7.9461
12,7.831
13,7.7318
14,7.9988
15,8.0644
16,7.8136
17,8.2052
18,7.6434
19,8.0048
20,8.1392
21,8.1219
22,7.9427
23,7.8946
24,8.0967
25,8.0405
26,8.2649
27,7.8412
28,7.8818
29,8.1791
30,7.8327
31,7.9173
32,8.1485
33,7.9267
34,7.931
35,7.8341
36,8.1596
37,7.9679
38,7.7579
39,8.2208
40,8.0355
41,7.7117
42,8.339
43,7.9201
44,7.5477
45,7.9053
46,7.563
47,7.6185
48,7.8022
49,7.7229
50,7.4957
51,7.8679
52,7.6525
53,7.663
54,7.8805
55,7.693
56,7.9115
57,7.6168
58,7.6343
59,7.9769
60,7.4547
61,7.6358
62,7.7542
63,7.5052
64,7.9273
65,7.5657
66,7.7404
67,7.7587
68,7.6114
69,8.0717
70,7.53
71,7.6035
72,7.8051
73,7.5298
74,7.5273
75,7.8694
76,7.9322
77,8.2611
78,7.3838
79,7.9519
80,7.9754
81,8.1094
82,8.0041
83,7.9738
84,8.2391
85,7.5011
86,7.7858
87,8.0071
88,7.853
89,7.9554
90,7.6807
91,7.9312
92,7.8429
93,7.6512
94,7.6857
95,7.7021
96,8.0212
97,7.6527
98,8.0536
99,7.7014
100,7.9279
101,7.4048
102,7.6257
103,7.6983
104,7.7413
105,8.0678
106,7.8227
107,8.003
108,7.7086
109,7.7882
110,7.8849
111,7.4467
112,7.7511
113,7.8017
114,7.9054
115,7.9991
116,8.5202
117,8.4561
118,8.9222
119,8.622
120,8.5319
121,8.2899
122,8.5445
123,8.2818
124,8.3984
125,8.0892
126,8.2122
127,7.9093
128,8.1658
129,8.3677
130,8.1654
131,8.5427
132,8.6914
133,8.6655
134,8.5141
135,8.447
136,8.7505
137,8.0439
138,8.6216
139,8.5369
140,9.4889
141,9.8404
142,10.3833
143,8.9432
144,8.711
145,9.255
146,9.2516
147,8.4846
148,8.2916
149,8.14
150,8.5445
151,8.686
152,9.2822
153,9.3555
154,9.5086
155,9.3291
156,9.5501
157,9.1942
158,9.893
159,9.8545
160,9.0979
161,8.7037
162,8.5917
163,8.1867
164,8.5088
165,8.2206
166,8.4016
167,8.6336
168,9.0477
169,8.7643
170,8.1534
171,8.1725
172,7.862
173,8.1823
174,8.1479
175,8.1469
176,8.391
177,8.3642
178,8.5278
179,7.8433
180,8.6027
181,8.4309
182,7.8924
183,8.0966
184,7.6474
185,7.5876
186,7.8662
187,8.949
188,8.3307
189,7.8725
190,8.2972
191,8.4349
192,8.6943
193,7.9397
194,8.9198
195,8.7155
196,9.4682
197,9.0288
198,9.8512
199,8.3557
200,9.0326
201,9.3355
202,8.5928
203,8.4788
204,8.3802
205,7.9271
206,7.9728
207,8.4283
208,8.9153
209,9.5974
210,9.3439
211,9.3846
212,8.5753
213,8.3609
214,8.1691
215,9.4159
216,9.3241
217,9.765
218,9.2938
219,9.6692
220,8.8428
221,8.7433
222,9.6698
223,9.9468
224,8.9802
225,8.574
226,9.5047
227,9.3332
228,10.0551
229,10.5951
230,10.8077
231,11.1117
232,10.0992
233,10.6556
234,10.0237
235,9.5968
236,9.4982
237,9.8214
238,10.1204
239,9.665
240,9.0618
241,8.0571
242,8.0461
243,8.8288
244,8.7021
245,9.5733
246,9.1914
247,9.6566
248,8.962
249,8.8566
250,9.1714
251,9.4837
252,9.0578
253,9.2958
254,8.7824
255,8.0175
256,8.3977
257,8.6693
258,8.8968
259,9.0422
260,8.5873
261,8.9924
262,8.4787
263,8.8987
264,9.1509
265,8.795
266,9.4415
267,9.0751
268,9.1048
269,8.4968
270,8.395
271,8.3518
272,8.259
273,8.3102
274,8.2103
275,8.4201
276,7.8119
277,8.1407
278,8.0861
279,8.0712
280,8.1818
281,8.0833
282,8.1116
283,7.7288
284,7.4867
285,8.1255
286,7.9948
287,8.0633
288,7.7487
289,7.6381
290,7.8816
291,7.5539
292,7.8651
293,7.7085
294,7.8437
295,8.0367
296,7.5864
297,7.6714
298,7.7717
299,7.7245
300,7.96
301,7.684
302,7.5698
303,7.6364
304,7.3101
305,7.5245
306,7.6369
307,7.4546
308,7.6968
309,7.4096
310,7.4558
311,7.6577
312,7.4042
313,7.5324
314,7.6077
315,7.4156
316,7.833
317,7.1914
318,7.1063
319,7.7222
320,7.3793
321,7.5038
322,7.6983
323,7.5051
324,7.481
325,7.6494
326,7.4102
327,7.6742
328,7.2984
329,7.4896
330,7.0386
331,6.5926
332,7.0998
333,7.2084
334,7.2343
335,7.5505
336,7.2504
337,7.6454
338,7.2769
339,7.0756
340,7.6274
341,7.3269
342,7.3545
343,7.2966
344,7.4539
345,7.2289
346,7.4699
347,7.2864
348,7.2765
349,7.6615
350,7.3872
351,7.3369
352,7.6852
353,7.2624
354,7.4352
355,7.4642
356,7.3568
357,7.6648
358,7.3304
359,6.6737
360,6.8385
361,7.0113
362,7.5924
363,7.3228
364,7.6213
365,7.4828
366,6.9807
367,7.2823
368,7.2101
369,7.8712
370,7.3286
371,7.5531
372,7.5913
373,7.2605
374,7.7013
375,7.7222
376,7.6737
377,7.6374
378,7.64
379,7.741
380,7.4448
381,7.6195
382,7.3465
383,7.3846
384,7.7807
385,7.4155
386,7.6146
387,7.5638
388,7.4271
389,7.7075
390,7.5302
391,7.4859
392,7.7313
393,7.3157
394,7.598
395,7.7079
396,7.6157
397,7.7756
398,7.4647
399,7.6669
400,7.4915
401,7.6501
402,7.4265
403,7.694
404,7.6247
405,7.3059
406,7.7609
407,7.3846
408,7.5187
409,7.4435
410,7.1232
411,7.4751
412,7.249
413,7.6388
414,7.694
415,7.4066
416,7.5296
417,7.4687
418,7.8816
419,7.2948
420,7.5784
421,7.3366
422,7.3347
423,7.4783
424,7.4087
425,7.614
426,7.2719
427,7.3851
428,7.4876
429,7.2713
430,7.533
431,7.3669
432,7.3517
433,7.5029
434,7.3717
435,7.573
436,7.1297
437,7.2451
438,7.6117
439,7.5666
440,7.8014
441,7.715
442,7.925
443,7.5025
444,7.7694
445,7.6858
446,7.5357
447,7.5904
448,7.5005
449,7.6077
450,7.638
451,7.4903
452,7.7207
453,7.5174
454,7.4349
455,7.8177
456,7.5846
457,7.6641
458,7.7679
459,7.5506
460,8.0671
461,7.6349
462,8.104
463,7.8432
464,7.3889
465,7.7376
466,7.5689
467,7.8157
468,7.8549
469,7.3273
470,7.9541
471,7.5801
472,7.1272
473,7.3204
474,7.4017
475,7.6688
476,7.5025
477,7.6228
478,7.9718
479,7.4471
480,7.9071
481,7.8459
482,7.5511
483,7.9291
484,7.6775
485,8.1039
486,11.2971
487,7.3565
488,8.2855
489,9.3727
490,8.7063
491,8.6193
492,8.9187
493,7.7568
494,7.8276
495,8.1343
496,8.2383
497,8.2948
498,8.3088
499,8.4452
500,8.0475
501,8.4724
502,8.7552
503,8.5398
504,7.8797
505,8.262
506,8.653
507,8.6976
508,8.6169
509,9.5736
510,9.6539
511,10.8241
512,9.1343
513,9.6433
514,8.9012
515,8.6467
516,9.2653
517,9.0591
518,8.7423
519,9.1584
520,8.8177
521,8.9699
522,8.3919
523,8.7198
524,8.6011
525,9.0395
526,8.2951
527,8.5329
528,8.1186
529,8.2564
530,8.4127
531,9.1591
532,8.878
533,8.9472
534,9.8134
535,9.9984
536,9.3379
537,10.1769
538,9.7461
539,9.9082
540,10.0185
541,9.8007
542,9.8922
543,9.6287
544,10.4142
545,10.8654
546,10.829
547,10.6539
548,11.0301
549,10.7009
550,10.6768
551,11.742
552,12.8199
553,12.929
554,12.8607
555,12.4804
556,10.7625
557,9.6764
558,10.922
559,10.7737
560,9.8135
561,9.5569
562,10.9159
563,10.371
564,10.8022
565,11.3213
566,10.854
567,10.8467
568,10.832
569,10.4568
570,9.0245
571,9.703
572,10.5258
573,10.9121
574,11.3416
575,10.7539
576,10.6601
577,10.4068
578,10.2868
579,10.7835
580,11.1195
581,11.6938
582,10.5353
583,10.3628
584,10.1607
585,10.0368
586,11.417
587,10.6474
588,10.9015
589,10.9069
590,10.925
