$French Daily Discharge,
Auto-Generated,
JDAY,Flow
1,0.224638913
2,0.196657575
3,0.180302285
4,0.162173531
5,0.153109154
6,0.145424138
7,0.155670826
8,0.202963228
9,0.167099823
10,0.137739123
11,0.134980399
12,0.126507177
13,0.116457542
14,0.106013803
15,0.094584805
16,0.092614289
17,0.090249669
18,0.097540581
19,0.100299304
20,0.099708149
21,0.094387754
22,0.09044672
23,0.086308635
24,0.084929273
25,0.084732222
26,0.080002981
27,0.077244258
28,0.079214775
29,0.097343529
30,0.096555322
31,0.088476203
32,0.08335286
33,0.079017723
34,0.081185291
35,0.078032465
36,0.075470793
37,0.073894379
38,0.073894379
39,0.07862362
40,0.095964167
41,0.087490945
42,0.084732222
43,0.138724381
44,0.228579947
45,0.158823653
46,0.127689487
47,0.109363681
48,0.099116994
49,0.090840824
50,0.101284563
51,0.113107663
52,0.099511097
53,0.098328787
54,0.123551402
55,0.105422648
56,0.097343529
57,0.085914532
58,0.100890459
59,0.358634054
60,0.289665967
61,0.187002042
62,0.170055598
63,0.147000552
64,0.127098332
65,0.125127816
66,0.151926844
67,0.262078732
68,0.457159893
69,0.331046819
70,0.309371135
71,0.467012477
72,0.301489067
73,0.228579947
74,0.204933745
75,0.200992712
76,0.187396146
77,0.179317027
78,0.183258061
79,0.174390735
80,0.154882619
81,0.140103743
82,0.122763195
83,0.112319456
84,0.10916663
85,0.101678666
86,0.113501767
87,0.115472283
88,0.124733712
89,0.210845296
90,0.230550463
91,0.171040857
92,0.149956327
93,0.145818242
94,0.273901833
95,0.208874779
96,0.197051678
97,0.486717645
98,0.269960799
99,0.17261727
100,0.14089195
101,0.160400066
102,0.195278213
103,0.160794169
104,0.137147968
105,0.120792679
106,0.10798432
107,0.097540581
108,0.085914532
109,0.08335286
110,0.081776446
111,0.154685567
112,0.309371135
113,0.22660943
114,0.16670572
115,0.135571555
116,0.126901281
117,0.120201524
118,0.101087511
119,0.087293893
120,0.078032465
121,0.073106173
122,0.071135656
123,0.069362191
124,0.066997571
125,0.066997571
126,0.094190702
127,0.193307696
128,0.271931316
129,0.175375993
130,0.156064929
131,0.129857056
132,0.118822162
133,0.104043286
134,0.086505687
135,0.081382343
136,0.074485534
137,0.100693407
138,0.108575475
139,0.086505687
140,0.070544501
141,0.05990371
142,0.053401005
143,0.046898299
144,0.044730731
145,0.040986749
146,0.036257509
147,0.03408994
148,0.053203953
149,0.084338118
150,0.077047206
151,0.06345064
152,0.051036385
153,0.037045715
154,0.032119424
155,0.029754803
156,0.023646201
157,0.027390183
158,0.029754803
159,0.03408994
160,0.038425077
161,0.046701248
162,0.053795108
163,0.11507818
164,0.115669335
165,0.113698818
166,0.132024624
167,0.11862511
168,0.097343529
169,0.073894379
170,0.153306206
