$West Boylston Daily Discharge,
Auto-Generated,
JDAY,Flow
1,0.0378092985
2,0.0330997192
3,0.030346937
4,0.0272956602
5,0.0257700219
6,0.0244765459
7,0.0262011805
8,0.0341610329
9,0.0281248115
10,0.0231830699
11,0.0227187452
12,0.0212926049
13,0.0196011363
14,0.0178433356
15,0.0159197046
16,0.0155880441
17,0.0151900515
18,0.0164171954
19,0.0168815201
20,0.016782022
21,0.0158865386
22,0.0152232176
23,0.0145267305
24,0.0142945681
25,0.0142614021
26,0.0134654168
27,0.0130010921
28,0.0133327526
29,0.0163840294
30,0.0162513651
31,0.014891557
32,0.0140292397
33,0.0132995866
34,0.0136644131
35,0.0131337563
36,0.0127025977
37,0.0124372692
38,0.0124372692
39,0.0132332545
40,0.016151867
41,0.0147257268
42,0.0142614021
43,0.0233489001
44,0.0384726195
45,0.0267318374
46,0.0214916013
47,0.0184071585
48,0.0166825238
49,0.0152895497
50,0.0170473504
51,0.0190373135
52,0.0167488559
53,0.0165498596
54,0.0207951142
55,0.0177438375
56,0.0163840294
57,0.0144603984
58,0.0169810183
59,0.0603622134
60,0.0487540954
61,0.0314745827
62,0.0286223023
63,0.0247418743
64,0.0213921031
65,0.0210604426
66,0.0255710256
67,0.0441108483
68,0.0769452391
69,0.0557189662
70,0.0520707006
71,0.0786035416
72,0.0507440585
73,0.0384726195
74,0.0344926934
75,0.0338293723
76,0.0315409148
77,0.0301811067
78,0.0308444277
79,0.0293519554
80,0.0260685163
81,0.0235810625
82,0.02066245
83,0.0189046493
84,0.0183739924
85,0.0171136825
86,0.0191036456
87,0.0194353061
88,0.0209941105
89,0.0354876749
90,0.03880428
91,0.0287881325
92,0.0252393651
93,0.024542878
94,0.0461008113
95,0.0351560144
96,0.0331660513
97,0.0819201468
98,0.0454374903
99,0.029053461
100,0.0237137267
101,0.0269971658
102,0.0328675569
103,0.0270634979
104,0.0230835717
105,0.0203307895
106,0.0181749961
107,0.0164171954
108,0.0144603984
109,0.0140292397
110,0.0137639113
111,0.0260353503
112,0.0520707006
113,0.038140959
114,0.0280584794
115,0.0228182433
116,0.021358937
117,0.0202312913
118,0.0170141843
119,0.0146925607
120,0.0131337563
121,0.012304605
122,0.0119729445
123,0.0116744501
124,0.0112764574
125,0.0112764574
126,0.0158533725
127,0.0325358963
128,0.0457691508
129,0.0295177857
130,0.0262675126
131,0.0218564278
132,0.0199991289
133,0.0175116751
134,0.0145598965
135,0.0136975792
136,0.0125367674
137,0.0169478522
138,0.0182744943
139,0.0145598965
140,0.0118734464
141,0.0100824796
142,0.0089879999
143,0.0078935202
144,0.0075286936
145,0.0068985387
146,0.0061025534
147,0.0057377269
148,0.0089548339
149,0.01419507
150,0.0129679261
151,0.0106794685
152,0.0085900073
