$Weekly temp data for Waushacum (Frbk),
Auto-Generated,
JDAY,TEMP
1,0.5
6,0.5
14,0.3
21,0.2
28,0.1
35,0.2
42,0.3
49,1.5
56,1.2
63,1.1
70,3.2
77,5.1
84,4.5
91,8.4
98,6.1
105,10.2
112,11.1
119,18.2
126,12.8
133,16.8
140,18.1
147,17.1
154,20.1
161,16.5
169,18.5
175,18.7
189,19.7
195,20.2
202,21.9
210,25.1
217,24.9
224,22.2
231,26.1
238,24.4
245,18.9
252,19.4
259,17.7
273,14.9
280,13.4
287,8.1
294,9.1
301,9
308,6.6
316,8.1
328,7.6
336,4.1
350,0.7
357,0.1
365,0.1
371,0.2
378,0.2
385,0.6
392,0.8
399,0.3
406,0.4
414,1.9
419,1.9
427,1.6
434,4.7
442,5.7
448,6.1
455,8.3
462,14
469,12.1
476,13.4
483,9.5
491,16.9
497,13.3
504,13.6
511,27.6
519,26.5
525,21
532,22.6
539,26.6
546,25.7
553,30.6
560,26.2
567,27.4
574,26.8
581,24
589,23.3
595,21.2
602,18
609,24.4
617,17.6
623,13.7
630,16.2
637,18.7
644,13.5
651,11.8
658,10
665,15.7
672,6
679,8.6
686,9.8
693,6.6
700,5.1
708,1.3
714,0.4
721,0.6
730,0.6
735,0.7
741,0.5
750,0.2
755,0.1
761,0.1
768,0.2
775,0.2
783,0.4
790,1
796,0.6
803,2.2
811,3.3
817,3.7
824,4.3
831,10.6
839,10
846,12.2
852,14.1
859,15.4
866,12.8
873,14.2
881,24
888,21.8
894,17.1
901,23.3
908,22.3
917,26
922,25.5
929,24.7
936,23.2
943,26.4
950,26.1
958,18.4
964,22.7
971,19.9
981,16.5
985,20.2
992,14.2
999,21.3
1006,17.5
1014,16
1020,13.8
1027,10.2
1034,5.2
1041,6.6
1048,9.1
1055,8.2
1064,10.2
1069,5.8
1076,3.3
1084,2.1
1095,2.1
1098,0.6
1104,0.6
1119,1
1125,1.6
1133,1.8
1139,0.9
1147,1.8
1153,2.1
1160,2.1
1167,5
1181,10.3
1188,8.5
1195,10.4
1203,20.3
1210,11.9
1217,11.5
1223,15
1230,18.5
1237,19.3
1245,23
1252,14.8
1258,20.2
1265,19.1
1272,23.1
1279,26.4
1286,25
1293,27.8
1300,21.7
1307,23.3
1314,26.4
1321,24.4
1328,22.2
1335,22.8
1343,20.4
1349,20
1356,17
1363,16.7
1370,14.6
1378,12.9
1385,12.7
1391,12.2
1400,13.2
1405,7.3
1413,10
1419,3.9
1426,3.1
1433,4.4
1440,4.6
1447,2.1
1461,2.1
1468,1.1
1475,2
1483,0.8
1489,0.5
1496,1.1
1505,1.5
1511,1.7
1517,1.5
1524,2.4
1531,3.7
1538,2.6
1545,4.1
1552,7.6
1559,6.3
1567,9.8
1573,10.5
1581,15.7
1587,16
1594,14.7
1601,19.2
1609,17
1616,19.8
1622,19.6
1630,20.5
1636,26.3
1643,24.8
1650,27.8
1657,27.7
1664,24.5
1671,24.6
1678,20
1685,21.8
1692,21
1699,21.6
1708,22.7
1713,17.7
1720,16.3
1727,16.1
1734,16
1741,15.7
1750,13
1755,10.9
1762,7.9
1769,6.9
1777,5.8
1784,6.2
1790,0.9
1797,2.9
1805,2.5
1813,1
1826,1
1835,0.2
1841,0.6
1849,0.3
1855,0.4
1861,0.6
1869,0.2
1877,0.4
1882,0.4
1891,0.8
1896,1.8
1904,1.7
1909,0.7
1918,3.6
1925,6.4
1934,6.9
1945,9.9
1953,11.4
1960,13.6
1967,18.9
1974,15.4
1981,19.7
1988,20.4
1994,22
2004,20.8
2008,24.9
2016,25.5
2024,22.2
2030,24.7
2038,20.3
2043,22.7
2052,19.7
2058,18.3
2065,22.6
2073,21.1
2079,17.9
2087,15.3
2094,14.1
2101,14.3
2108,13.1
2114,15.1
2121,11.9
2128,10.9
2135,7.6
2142,8.8
2149,1.4
2155,8.8
2164,2.4
2172,1.6
2177,2.5
2191,2.5
2197,0.4
2204,0.7
2212,0.7
2248,0.1
2268,1.1
2290,3.5
2297,10.4
2305,7.9
2310,12.6
2318,16
2323,18.3
2331,18.3
2338,24
2345,13.4
2352,20.9
2359,20
2367,23.6
2373,20.7
2380,24.4
2388,22.5
2394,24.3
2401,24.2
2409,22
2415,21.1
2420,24.1
2430,21.4
2437,21.7
2444,22.2
2450,18.1
2457,16.3
2465,15.9
2472,12.7
2480,11.4
2486,11.5
2494,10.1
2499,9.7
2507,8.3
2513,3.5
2518,5.1
2528,5.3
2533,4.1
2542,6.2
2556,6.2
2557,1.7
2563,1.7
2571,0.7
2577,0.6
2583,1.4
2591,3.4
2605,0.8
2612,3.3
2619,2.6
2624,4.5
2632,7.4
2639,7.1
2647,8.9
2653,4
2660,7.8
2667,11.5
2673,11.6
2682,10
2690,17.8
2695,15.9
2702,20.3
2709,23.7
2716,22.5
2723,21.9
2730,22.4
2737,25.3
2745,23
2751,24.5
2758,19.6
2765,24.8
2771,19.7
2779,19.3
2786,23.7
2793,20
2801,19.3
2807,18.7
2814,17.9
2821,17
2828,14.8
2835,10.6
2844,10
2856,7.3
2863,8.5
2870,6.9
2879,5.7
2883,2.3
2891,4.4
2898,3
2905,1.8
2922,1.8
2923,0.9
2927,0.7
2933,0.6
2941,2.2
2949,2.3
2955,1.5
2961,1.3
2975,2.9
2982,6.7
2989,3.8
2998,1.8
3002,3
3010,3.4
3016,5.5
3025,10.6
3030,13.8
3039,13.2
3045,13.5
3052,12.9
3060,20.6
3066,17.7
3073,15.5
3080,15
3087,25.4
3093,23.8
3101,19.8
3109,23.7
3116,21.3
3122,23
3129,19.7
3136,21.8
3144,21.2
3150,20.6
3157,22.2
3165,15.1
3173,16.9
3179,18.7
3185,19
3192,20.5
3199,12.7
3207,14.1
3213,9.3
3222,12.1
3228,11.8
3235,6.4
3242,5.3
3248,5.2
3255,4.3
3262,6.5
3269,1
3275,1.3
3287,1.3
3288,0.590909090909091
3297,0.1
3305,0.442857142857143
3311,0.7
3323,1.6
3332,2.98
3338,3.9
3351,3.1
3365,2.2
3367,2.65714285714286
3379,5.4
3396,6
3401,8.72222222222222
3414,15.8
3424,17.05
3430,17.8
3445,17.5
3458,22.2
3459,22.4384615384615
3471,25.3
3485,22.4066666666667
3486,22.2
3505,23.2
3506,23.152380952381
3513,22.8190476190476
3526,22.2
3540,16.2
3554,14.9
3555,15
3570,16.5
3574,14.1857142857143
3584,8.4
3598,8.7
3610,3.6
