$Weekly temp data for Malden,
Auto-Generated,
JDAY,TEMP
1,1.3
5,1.3
12,0.6
20,0.7
26,0.1
33,0.9
41,0.9
48,0.3
54,0.3
62,0.1
68,2.1
75,3.6
82,1.2
89,6.5
96,6.3
103,3.7
111,7.5
117,13.3
124,11
131,9.5
138,10.2
146,11.8
152,10.2
159,14.2
166,13.6
173,14.8
180,16.7
187,16
194,15.4
201,16.9
208,18.9
215,18.1
222,15.7
229,18.8
236,19.2
243,15.1
251,13.9
257,14.4
264,11.3
271,13.2
279,10.8
286,8.9
292,5.2
300,7.2
306,7
313,5.5
320,9.2
334,6.5
341,2.4
348,2.1
356,0.1
365,0.1
369,0.3
376,0
384,1.6
391,0.9
397,0
404,0.1
413,0.9
418,1.2
425,1.6
432,3.1
440,2.8
446,7.2
453,7.2
461,10.5
467,8.8
475,8.8
481,10.6
490,12.2
495,8.1
502,11.5
510,15.9
518,15.7
523,14.9
530,15.1
537,17.8
544,19.1
552,21.3
558,20.4
565,19.6
573,18.2
579,17.9
588,20.2
593,18.1
600,16.8
608,19.2
615,16
621,14
628,14.5
635,14.5
642,11.5
650,11.1
656,8.1
663,8.6
670,4.9
677,5.3
684,7.3
691,4
698,2.1
705,0.7
712,3.3
719,0.6
730,0.6
733,0.8
740,0.1
749,0.1
756,0.1
764,0.1
770,0.1
776,0.2
784,0.1
791,1
798,0.8
805,2.6
812,3.6
819,3.6
826,4.7
833,8.6
840,8
847,12.6
854,13
861,10.6
868,10.5
875,14.5
882,17
889,16.8
896,13.7
903,16
909,17.7
918,18
924,19.1
931,17.4
938,17.4
945,17.5
952,18.5
959,17.3
966,15.5
973,17.5
980,16.3
987,17.8
994,13.5
1001,17.3
1009,10.3
1015,12.9
1022,10.6
1030,8.7
1037,4.7
1042,7
1050,9.7
1056,5
1065,6.7
1071,9.4
1079,4.8
1086,5.9
1095,5.9
1099,0.1
1106,1.7
1113,1.7
1121,2.2
1128,3
1134,0.7
1141,2.4
1148,3.5
1155,3.1
1162,2.1
1170,7.5
1176,11.7
1183,5.5
1190,6.6
1197,7.6
1204,11.6
1211,8.8
1218,8.7
1226,12.3
1232,14.5
1239,15.2
1246,16.9
1254,13.1
1261,14.9
1267,16.8
1274,16.2
1280,17.7
1288,17.5
1295,21.6
1302,18
1309,18.7
1316,19.3
1323,18.4
1330,16.8
1337,16.4
1345,18.5
1351,13.9
1358,15.8
1364,10.4
1371,13.5
1379,11.1
1386,7.5
1392,9.8
1402,9.4
1406,3.2
1414,5.3
1420,2.3
1428,3.3
1435,7.6
1442,2.5
1449,3.6
1461,3.6
1469,0.6
1476,1.6
1484,1
1490,0.3
1499,0.6
1506,0.9
1513,0.4
1518,2
1526,1.9
1534,0.8
1540,0.7
1547,2.4
1553,4.2
1561,9.9
1568,10.2
1575,8.2
1582,9.8
1588,11.4
1596,9.3
1603,13.8
1610,13.3
1617,14.5
1624,15.1
1631,15.5
1638,18.6
1644,18.6
1652,17.9
1659,19.1
1666,19.3
1673,17.1
1678,14.4
1688,14.6
1694,17.9
1701,18
1709,16.3
1715,16.7
1722,11.6
1729,11.8
1736,14.2
1744,10.2
1751,12.5
1757,7.6
1763,4.2
1771,6.8
1779,2.7
1786,1.1
1791,0.7
1799,2.5
1806,0.1
1814,0.3
1826,0.3
1835,0.1
1841,0.9
1849,0.7
1855,0.4
1861,0.2
1869,0.5
1877,0.9
1882,0.2
1891,0.1
1896,2.1
1904,0.2
1909,1
1918,1.5
1925,6
1934,6.4
1945,8.9
1953,10.4
1960,12.8
1967,15.8
1974,11.6
1981,13.9
1988,15.4
1994,16.1
2004,15.8
2008,18.9
2016,20.3
2024,19.2
2030,20.3
2038,16.4
2043,19
2052,16.6
2058,15.6
2065,19.2
2073,17.3
2079,15.3
2087,12.8
2094,12.1
2101,13.3
2108,11
2114,15
2121,11
2128,10.6
2135,9.3
2142,9.3
2149,0.4
2155,8.3
2164,2.1
2172,1.3
2177,3.2
2191,3.2
2197,0
2204,0.1
2212,0.1
2248,0.3
2268,0.1
2290,2.8
2297,8.2
2305,6.3
2310,10.4
2318,14.4
2323,14.2
2331,12.7
2338,17.4
2345,11.8
2352,15.4
2359,15.4
2367,16.9
2373,16
2380,19.1
2388,16.2
2394,18.9
2401,19.7
2409,17.3
2415,17.7
2420,20.2
2430,17.5
2437,19.6
2444,20
2450,16.5
2457,13.2
2465,14
2472,11.6
2480,10.8
2486,11.9
2494,9.4
2499,9.2
2507,8.5
2513,2.3
2518,4
2528,6.6
2533,4.4
2542,5.8
2556,5.8
2557,0.1
2563,0.1
2571,0.1
2577,0
2583,1.9
2591,5.4
2605,0
2612,4.5
2619,0.8
2624,3.8
2632,7.2
2639,6.7
2647,8
2653,2.6
2660,6.4
2667,8.9
2673,8.6
2682,8.7
2690,12.5
2695,12
2702,15
2709,16.8
2716,16.4
2723,16.3
2730,15.8
2737,19
2745,19.3
2751,20
2758,17.6
2765,21.4
2771,17.6
2779,18.4
2786,21.3
2793,17.7
2801,18.6
2807,17.5
2814,18.3
2821,17.7
2828,13.8
2835,10.8
2844,9.6
2849,15.2
2856,6
2863,9.1
2870,8
2879,5.7
2883,1.9
2891,6.1
2898,3.3
2905,1.9
2922,1.9
2923,0.345454545454545
2927,0
2933,0
2941,1.7
2949,2.3
2955,0.8
2961,1.1
2975,3.1
2982,6.6
2989,4.9
2998,0.9
3002,3.2
3010,3.2
3016,3.9
3025,9.8
3030,11.6
3039,11.6
3045,10.4
3052,10.3
3060,17.4
3066,12.9
3073,12.8
3080,12.9
3087,18
3093,18.5
3101,15
3109,17.5
3116,16.7
3122,17.4
3129,15.5
3136,17.6
3144,17.1
3150,17.5
3157,19.1
3165,13.9
3173,13.7
3179,17.2
3185,17.1
3192,18.2
3199,12.2
3207,12.5
3213,9.6
3222,10.5
3228,10.6
3235,4.2
3242,5
3248,6.3
3255,5.4
3262,7
3269,0.1
3275,2
3287,2
3288,1.85555555555556
3305,1.66666666666667
3311,1.6
3323,1.6
3332,2.86
3338,3.7
3351,3.4
3365,0.8
3367,1.27142857142857
3379,4.1
3396,5.5
3401,7.83333333333333
3414,13.9
3424,14.4
3430,14.7
3445,13.4
3458,15.5
3459,15.7846153846154
3471,19.2
3485,17.8933333333333
3486,17.8
3505,19.1
3506,19.0809523809524
3513,18.947619047619
3526,18.7
3540,12.9
3554,12
3555,12.25625
3570,16.1
3576,12.6714285714286
