$Weekly temp data for Gates,
Auto-Generated,
JDAY,TEMP
1,4.4
5,4.4
12,2.3
20,3.2
26,0.7
33,3
41,2.4
48,2
54,1.7
62,1.1
68,3.4
75,4.7
82,2.7
89,6.1
96,6.8
103,4.6
111,7.7
117,12.2
124,10.8
131,10.1
138,9.9
146,10.6
152,9.9
159,12.6
166,13.1
173,14.2
180,16
187,14.2
194,14
201,15.2
208,17
215,16.4
222,15.5
229,16.6
236,18.2
243,14.9
251,13.5
257,13.9
264,10.9
271,13.2
279,11.3
286,9.8
292,6.6
300,8.3
306,8.4
313,7.5
320,10.2
334,8.5
341,4.6
348,4.1
356,1.5
365,1.5
369,2
376,0.7
384,3.8
391,2.2
397,1.6
404,1.4
413,2.7
418,3.1
425,3.8
432,5
440,4
446,7.3
453,7.6
461,9.8
467,8.9
475,9.4
481,10.3
490,11.8
495,8.1
502,11.1
510,14
518,14.6
523,14.2
530,14.1
537,15.9
544,16.9
552,17
558,17.3
565,16.8
573,15.6
579,14.9
588,16.3
593,15.8
600,17.1
608,16.5
615,14.3
621,13.1
628,12.8
635,13.3
642,11.8
650,11.4
656,9.6
663,9.7
670,6.6
677,6.3
684,9.1
691,6.6
698,4.5
705,3.1
712,5.3
719,3
730,3
733,2.7
740,1.5
749,3.2
756,1.6
770,1
776,1.3
784,1.3
791,3.5
798,3.2
805,4.5
812,4.6
819,5
826,5.4
833,8
840,7.7
847,12.3
854,12.3
861,10.4
868,10.4
875,13.6
882,15.1
889,15.2
896,13
903,14.3
909,15.7
918,16.2
924,16.9
931,15.3
938,15.6
945,15.1
952,18.9
959,16.7
966,14.8
973,16.1
980,16.2
987,16.6
994,13.9
1001,15.9
1009,11.1
1015,12.6
1022,11.6
1030,9.8
1037,7.4
1042,10.3
1050,11.2
1056,7.2
1065,7.6
1071,11.1
1079,7.5
1086,7.3
1095,7.3
1099,1.2
1106,3.9
1113,3.5
1121,4.7
1128,5.3
1134,2.9
1141,4.5
1148,5.6
1155,4.7
1162,4.6
1170,7.5
1176,11.1
1183,6.3
1190,7.3
1197,8.5
1204,11
1211,9.5
1218,9.1
1226,12.4
1232,13.6
1239,14.4
1246,15.7
1254,12.9
1261,14.2
1267,15.2
1274,14.8
1280,15.8
1288,15.1
1295,17.5
1302,15.4
1309,16.2
1316,16.1
1323,19.3
1330,15.4
1337,15.1
1345,17.7
1351,12.9
1358,16.2
1364,10.9
1371,13.4
1379,11.6
1386,8.8
1392,10.4
1402,10.5
1406,5.8
1414,7.2
1420,5.3
1428,5.6
1435,9.1
1442,4.8
1449,5.5
1461,5.5
1469,2.9
1476,4.5
1484,0.7
1490,3.2
1499,1.8
1506,3.8
1513,2.6
1518,4.9
1526,4.5
1534,3.4
1540,3.2
1547,4.4
1553,4.5
1561,9.3
1568,11.2
1575,9.3
1582,10.6
1588,12
1596,9.9
1603,13.8
1610,13.8
1617,13.4
1624,14.4
1631,14.8
1638,16.4
1644,17.2
1652,16.1
1659,17.5
1666,19.1
1673,16.1
1678,14.2
1688,13.8
1694,15.8
1701,16.1
1709,15.7
1715,15.8
1722,11.9
1729,11.7
1736,13.1
1744,10.8
1751,12.2
1757,9
1763,6.4
1771,8.9
1779,5.4
1786,4.7
1791,4.1
1799,4.7
1806,2.2
1814,2.6
1826,2.6
1835,1.2
1841,3.1
1849,0.3
1855,1.7
1861,2
1869,0.6
1877,4.5
1882,2
1891,2.1
1896,5.2
1904,3.6
1909,1
1918,4.8
1925,6.5
1934,6.8
1945,9.1
1953,11
1960,11.5
1967,17.3
1974,11.2
1981,13.5
1988,14.6
1994,15.4
2004,15.2
2008,17.1
2016,18.4
2024,17.9
2030,18.5
2038,15.3
2043,16.4
2052,17.1
2058,14.3
2065,16.3
2073,16
2079,14.7
2087,12.6
2094,12.2
2101,13.6
2108,11.6
2114,14.4
2121,11.4
2128,11.7
2135,10.5
2142,10.9
2149,3.4
2155,10
2164,5
2172,4.5
2177,5.4
2191,5.4
2197,1.1
2204,2.2
2212,2.3
2248,1.2
2268,0.9
2290,4
2297,9.1
2305,6.6
2310,10.9
2318,13.7
2323,13.4
2331,12.5
2338,16.1
2345,12.5
2352,15
2359,15
2367,15.8
2373,16.8
2380,17.5
2388,15
2394,16.8
2401,16.9
2409,15.9
2415,16.7
2420,17.7
2430,15.9
2437,16.6
2444,17.3
2450,15.3
2457,13.2
2465,14.9
2472,12
2480,11.3
2486,12.3
2494,10.4
2499,10.4
2507,9.6
2513,5.7
2518,6.2
2528,8
2533,6.1
2542,7.2
2556,7.2
2557,2.5
2563,2.5
2571,2.5
2577,2.2
2583,5
2591,7.8
2605,2.6
2612,7.5
2619,3.8
2624,6.8
2632,8
2639,7.9
2647,9.2
2653,5.1
2660,8.4
2667,11.1
2673,8.8
2682,9.3
2690,12.5
2695,13.3
2702,15.7
2709,16.5
2716,15.7
2723,15
2730,15.4
2737,17.9
2745,16.9
2751,17
2758,15.4
2765,16.9
2771,18.6
2779,16.7
2786,20
2793,16.5
2801,16.9
2807,17
2814,16.3
2821,16.5
2828,13.9
2835,11.7
2844,10.6
2849,15
2856,8.4
2863,10.8
2870,9.4
2879,7.5
2883,4.6
2891,7.7
2898,5.7
2905,5.1
2922,5.1
2923,2.89090909090909
2927,2.4
2933,4
2941,5.4
2949,5.1
2955,3.6
2961,4.4
2975,7.1
2982,8.8
2989,7.1
2998,4.2
3002,5.9
3010,4.8
3016,4.5
3025,9.7
3030,12.5
3039,11.8
3045,11.3
3052,10.6
3060,17.3
3066,12.8
3073,12.4
3080,12.6
3087,17.7
3093,18.3
3101,15.7
3109,17.6
3116,16.6
3122,18.7
3129,16.4
3136,16.8
3144,16.4
3150,16.7
3157,18
3165,13.3
3173,14.4
3179,16
3185,16.3
3192,16.5
3199,12.3
3207,12.7
3213,10.5
3222,12
3228,12.2
3235,6.8
3242,7.4
3248,8.2
3255,7.8
3262,8.3
3269,2.5
3275,5.5
3287,5.5
3288,4.02272727272727
3297,3
3301,3.25714285714286
3305,3.51428571428571
3311,3.9
3323,3.8
3332,6.02
3338,7.5
3351,5.5
3365,3.6
3367,3.68571428571429
3379,4.2
3396,5.9
3401,8.31666666666667
3414,14.6
3424,15.1625
3430,15.5
3445,14
3458,15.8
3459,16.0307692307692
3471,18.8
3485,19.4533333333333
3486,19.5
3505,19
3513,18.9238095238095
3526,18.8
3540,13.4
3548,13.1714285714286
3549,13.1428571428571
