$Weekly temp data for Muddy Brook,
Auto-Generated,
JDAY,TEMP
1,3.1
5,3.1
12,2
20,2
26,0.2
33,2.3
41,1.8
48,1.5
54,0.7
62,1.3
68,2.8
75,4.4
82,2.5
89,7.1
96,7.2
103,5.6
111,9.3
117,13.8
124,12.2
131,12
138,10.8
146,12.1
152,11.4
159,13.5
166,13.6
173,14.7
180,16.5
187,16.9
194,16.1
201,17.5
208,19.8
215,19.1
222,17.5
229,19.2
236,19
243,16.6
251,13.3
257,15.1
264,12.5
271,14.3
279,12.2
286,10.1
292,7.6
300,8.6
306,9
334,8.7
341,4.7
348,4.2
356,1.7
365,1.7
369,1.8
376,0.9
384,2.6
391,1.9
397,1.4
404,1.4
413,2.6
418,3.2
425,2.9
432,4.5
440,4.5
446,8.3
453,7.9
461,12
467,11.3
475,11.6
481,11.6
490,14.1
495,9.6
502,13.1
510,16.5
518,17.3
523,15.6
530,16
537,18
544,19.2
552,20.6
558,19.7
565,18.9
573,17.8
579,17.4
588,19.1
593,17.6
600,16.2
608,18.6
615,16
621,14.1
628,13.7
635,14.4
642,11.6
650,11.4
656,9.6
663,9.8
670,6.3
677,7.3
684,9
691,6.7
698,4.5
705,3.2
712,3.7
719,2.4
730,2.4
733,1.8
740,1.3
749,2.3
756,1.4
770,0.1
776,0.2
784,1.1
791,2.6
798,2.6
805,3.5
812,4.5
819,6.3
826,6.4
833,8.6
840,8.6
847,15.6
854,13.9
861,11.7
868,11.8
875,16.6
882,18.6
889,19.5
896,16.4
903,16.4
909,19.3
918,19.5
924,21.2
931,18.9
938,18.9
945,18.2
952,18.9
959,18.7
966,17.3
973,18.9
980,17.6
987,18.9
994,15.5
1001,17.8
1009,12.4
1015,13.5
1022,12
1030,9.4
1037,7.3
1042,9.1
1050,11.2
1056,6.8
1065,6.9
1071,10.1
1079,6.2
1086,6.1
1095,6.1
1099,0.4
1106,3.2
1113,2.2
1121,3.7
1128,4.1
1134,2.2
1141,3.6
1148,5.8
1155,4.1
1162,5
1170,7.5
1176,12.6
1183,6.8
1190,8.8
1197,9.3
1204,12.4
1211,11.3
1218,9.8
1226,13.6
1232,15.4
1239,16.4
1246,17.2
1254,15
1261,15.8
1267,18.4
1274,17.6
1280,18.6
1288,18.2
1295,20.7
1302,18.3
1309,18.6
1316,19.5
1323,18.4
1330,17.6
1337,16.4
1345,18
1351,15.1
1358,15.7
1364,12.8
1371,14.8
1379,12.1
1386,9.7
1392,11.5
1402,10.8
1406,6.2
1414,6.9
1420,6
1428,5.5
1435,8.6
1442,4.6
1449,5.2
1461,5.2
1469,2.3
1476,2.9
1484,2.5
1490,2
1499,1.3
1506,2.6
1513,1.9
1518,3.9
1526,3.4
1534,2.9
1540,2.8
1547,4
1553,5.3
1561,10.1
1568,12.9
1575,11.9
1582,13.2
1588,15.4
1596,12.6
1603,14.9
1610,14.4
1617,16.2
1624,16.3
1631,18.6
1638,20
1644,20.2
1652,19.4
1659,20.5
1666,20.5
1673,18.4
1678,15.8
1688,15.7
1694,18.4
1701,18.6
1709,16.6
1715,17.8
1722,13.6
1729,12.9
1736,15
1744,11.8
1751,13.4
1757,9.2
1763,6.1
1771,9.1
1779,5.4
1786,4.2
1791,3.4
1799,4.8
1806,2
1814,2.2
1826,2.2
1835,0.9
1841,2.4
1849,1.7
1855,1
1861,1.2
1869,0.1
1877,2.9
1882,1.3
1891,0.4
1896,4.7
1904,3.3
1909,0.9
1918,4.5
1925,7.8
1934,8.1
1945,9.5
1953,12.6
1960,13.4
1967,17.3
1974,12.3
1981,14.5
1988,16.1
1994,17.8
2004,17
2008,19.6
2016,20.1
2024,18.3
2030,20.5
2038,17.2
2043,18.9
2052,17.2
2058,16.4
2065,18.5
2073,17.5
2079,15.3
2087,13.7
2094,12.7
2101,13.4
2108,11.5
2114,15.5
2121,11.2
2128,13
2135,11.1
2142,11.3
2149,3.7
2155,9.7
2164,4.7
2172,2.8
2177,4.9
2191,4.9
2197,0.9
2204,1.4
2212,2.3
2248,1.5
2268,1.4
2290,4.1
2297,10.8
2305,8.4
2310,11.8
2318,16.4
2323,14.9
2331,14
2338,18.3
2345,14.1
2352,16.3
2359,16.3
2367,17.6
2373,16.5
2380,18.8
2388,16
2394,18.5
2401,19
2409,17.2
2415,17.7
2420,19.4
2430,17
2437,18.7
2444,18.6
2450,16.6
2457,13.8
2465,13.9
2472,12.2
2480,11.2
2486,12.8
2494,10.2
2499,10.6
2507,9.4
2513,5.6
2518,5.6
2528,7.7
2533,5.9
2542,7.3
2556,7.3
2557,3.1
2563,3.1
2571,2.9
2577,2.1
2583,4.2
2591,6.9
2605,2.2
2612,6.7
2619,3.8
2624,6.8
2632,8.6
2639,8.4
2647,10
2653,5.9
2660,9.3
2667,12.3
2673,9
2682,10
2690,14
2695,14.6
2702,17.1
2709,17.8
2716,16.3
2723,16.8
2730,16.2
2737,18.5
2745,18.3
2751,19.2
2758,17.4
2765,20.1
2771,17
2779,18
2786,20.5
2793,17.7
2801,18
2807,17.2
2814,17.9
2821,17.4
2828,13.6
2835,12.3
2844,10.3
2849,16
2856,8.2
2863,11.2
2870,10
2879,7.6
2883,4.4
2891,7.9
2898,5.3
2905,3.7
2922,3.7
2923,1.9
2927,1.5
2933,3.4
2941,4.3
2949,3.8
2955,3
2961,3.8
2975,5.6
2982,8.7
2989,6.7
2998,3.7
3002,5.1
3010,5.5
3016,6.1
3025,11.2
3030,14
3039,13.1
3045,12.2
3052,11.2
3060,19.1
3066,14.3
3073,14.1
3080,15.1
3087,19.3
3093,20.3
3101,18.4
3109,19.8
3116,17
3122,18.4
3129,18.3
3136,18.7
3144,18.5
3150,18.9
3157,19.1
3165,15.2
3173,15
3179,17.5
3185,17.2
3192,18.7
3199,14
3207,13
3213,11.5
3222,11.9
3228,12.7
3235,7.1
3242,7.8
3248,8.4
3255,7.6
3262,7.3
3269,1.9
3275,5.2
3287,5.2
3288,3.48636363636364
3297,2.3
3305,2.41428571428571
3311,2.5
3323,3
3332,5.82
3338,7.7
3351,5
3365,3.7
3367,3.88571428571429
3379,5
3396,6.6
3401,9.43333333333333
3414,16.8
3424,17.1125
3430,17.3
3445,15.4
3458,18.1
3459,18.3230769230769
3471,21
3485,19.6
3486,19.5
3505,20.6
3513,20.2952380952381
3526,19.8
3540,14.3
3554,13.4
3555,13.63125
3570,17.1
3576,13.7142857142857
3584,9.2
3598,9.4
