$Stillwater (sb) inflow constituents, , , , , , ,
FROM: Trib WQ, R (DCR), , , , , , 
JDAY,TDS,,,,,,
1,96,,,,,,
2,97.2,,,,,,
3,102,,,,,,
4,84,,,,,,
5,76.8,,,,,,
6,81,,,,,,
7,87,,,,,,
8,91.8,,,,,,
9,94.8,,,,,,
10,96.6,,,,,,
11,103.2,,,,,,
12,94.8,,,,,,
13,78.6,,,,,,
14,76.8,,,,,,
15,82.8,,,,,,
16,88.2,,,,,,
17,90.6,,,,,,
18,91.8,,,,,,
19,93,,,,,,
20,91.8,,,,,,
21,93,,,,,,
22,88.8,,,,,,
23,86.4,,,,,,
24,82.2,,,,,,
25,82.8,,,,,,
26,85.8,,,,,,
27,83.4,,,,,,
28,79.8,,,,,,
29,81.6,,,,,,
30,87,,,,,,
31,91.2,,,,,,
32,93.6,,,,,,
33,96,,,,,,
34,98.4,,,,,,
35,100.2,,,,,,
36,101.4,,,,,,
37,102,,,,,,
38,102.6,,,,,,
39,105,,,,,,
40,99,,,,,,
41,103.8,,,,,,
42,102,,,,,,
43,101.4,,,,,,
44,98.4,,,,,,
45,97.8,,,,,,
47,96.6,,,,,,
48,97.8,,,,,,
49,99.6,,,,,,
50,98.4,,,,,,
51,92.4,,,,,,
52,93,,,,,,
53,94.2000,,,,,,
54,90.0000,,,,,,
55,79.8000,,,,,,
56,67.8000,,,,,,
57,65.4000,,,,,,
58,67.2000,,,,,,
59,71.4000,,,,,,
61,75.6000,,,,,,
67,91.8000,,,,,,
69,90.0000,,,,,,
70,90.6000,,,,,,
71,94.2000,,,,,,
73,93.0000,,,,,,
74,90.6000,,,,,,
75,87.6000,,,,,,
76,88.2000,,,,,,
78,91.8000,,,,,,
79,93.0000,,,,,,
80,92.4000,,,,,,
81,90.0000,,,,,,
82,91.2000,,,,,,
83,91.8000,,,,,,
84,92.4000,,,,,,
85,90.0000,,,,,,
86,89.4000,,,,,,
88,66.0000,,,,,,
89,61.2000,,,,,,
90,63.6000,,,,,,
91,66.6000,,,,,,
92,70.2000,,,,,,
93,68.4000,,,,,,
94,62.4000,,,,,,
95,51.6000,,,,,,
96,52.8000,,,,,,
97,46.8000,,,,,,
98,47.4000,,,,,,
99,51.6000,,,,,,
100,55.8000,,,,,,
101,58.2000,,,,,,
102,60.6000,,,,,,
103,62.4000,,,,,,
104,65.4000,,,,,,
105,67.8000,,,,,,
106,69.6000,,,,,,
107,71.4000,,,,,,
108,72.0000,,,,,,
109,76.2000,,,,,,
110,75.6000,,,,,,
111,75.0000,,,,,,
112,67.8000,,,,,,
113,67.2000,,,,,,
114,66.6000,,,,,,
115,69.0000,,,,,,
116,66.0000,,,,,,
117,61.8000,,,,,,
118,66.0000,,,,,,
119,73.8000,,,,,,
120,75.6000,,,,,,
121,79.8000,,,,,,
122,79.8000,,,,,,
123,81.0000,,,,,,
124,83.4000,,,,,,
125,84.0000,,,,,,
126,73.2000,,,,,,
127,66.0000,,,,,,
129,79.2000,,,,,,
130,83.4000,,,,,,
131,87.0000,,,,,,
132,90.0000,,,,,,
133,93.6000,,,,,,
134,83.4000,,,,,,
135,67.2000,,,,,,
136,67.2000,,,,,,
145,97.2000,,,,,,
146,77.4000,,,,,,
147,53.4000,,,,,,
148,57.0000,,,,,,
149,63.6000,,,,,,
150,67.8000,,,,,,
151,69.0000,,,,,,
152,66.0000,,,,,,
158,73.2000,,,,,,
159,73.2000,,,,,,
160,78.6000,,,,,,
162,92.4000,,,,,,
164,108.0000,,,,,,
165,115.8000,,,,,,
167,132.0000,,,,,,
168,123.0000,,,,,,
171,166.8000,,,,,,
172,145.2000,,,,,,
173,132.6000,,,,,,
174,130.2000,,,,,,
175,126.0000,,,,,,
176,127.8000,,,,,,
177,124.2000,,,,,,
178,129.0000,,,,,,
179,124.8000,,,,,,
180,121.2000,,,,,,
181,127.8000,,,,,,
182,112.2000,,,,,,
183,105.6000,,,,,,
184,113.4000,,,,,,
