$Gates 1  inflow constituents, , , , , , ,
FROM: Trib WQ, R (DCR), , , , , , 
JDAY,TDS,,,,,,
1,1452,,,,,,
2,918,,,,,,
3,882,,,,,,
7,756,,,,,,
8,810,,,,,,
11,1116,,,,,,
12,744,,,,,,
13,744,,,,,,
14,756,,,,,,
18,1356,,,,,,
19,924,,,,,,
20,966,,,,,,
21,954,,,,,,
22,876,,,,,,
23,900,,,,,,
24,1278,,,,,,
25,1038,,,,,,
26,888,,,,,,
27,858,,,,,,
28,834,,,,,,
29,804,,,,,,
30,786,,,,,,
31,792,,,,,,
32,1314,,,,,,
33,876,,,,,,
34,798,,,,,,
35,786,,,,,,
36,768,,,,,,
37,762,,,,,,
38,1104,,,,,,
39,2412,,,,,,
40,1032,,,,,,
41,1098,,,,,,
42,1080,,,,,,
43,972,,,,,,
44,1050,,,,,,
45,1032,,,,,,
46,894,,,,,,
47,990,,,,,,
48,876,,,,,,
49,876,,,,,,
50,918,,,,,,
51,894,,,,,,
52,894,,,,,,
53,864,,,,,,
54,762,,,,,,
55,672,,,,,,
56,648,,,,,,
57,696,,,,,,
58,708,,,,,,
59,690,,,,,,
60,672.0000,,,,,,
61,672.0000,,,,,,
62,684.0000,,,,,,
76,720.0000,,,,,,
77,696.0000,,,,,,
79,672.0000,,,,,,
80,666.0000,,,,,,
81,672.0000,,,,,,
82,696.0000,,,,,,
84,744.0000,,,,,,
85,696.0000,,,,,,
86,708.0000,,,,,,
91,1080.0000,,,,,,
92,756.0000,,,,,,
93,612.0000,,,,,,
103,648.0000,,,,,,
104,654.0000,,,,,,
105,654.0000,,,,,,
106,648.0000,,,,,,
107,648.0000,,,,,,
108,654.0000,,,,,,
109,654.0000,,,,,,
110,642.0000,,,,,,
111,531.6000,,,,,,
112,600.0000,,,,,,
113,618.0000,,,,,,
114,624.0000,,,,,,
115,588.6000,,,,,,
119,585.6000,,,,,,
121,606.0000,,,,,,
122,587.4000,,,,,,
124,624.0000,,,,,,
129,618.0000,,,,,,
131,624.0000,,,,,,
132,624.0000,,,,,,
133,624.0000,,,,,,
134,199.8000,,,,,,
138,571.2000,,,,,,
139,554.4000,,,,,,
140,573.6000,,,,,,
141,591.6000,,,,,,
142,573.0000,,,,,,
143,520.8000,,,,,,
144,585.0000,,,,,,
145,513.0000,,,,,,
147,392.4000,,,,,,
217,565.2000,,,,,,
218,642.0000,,,,,,
219,714.0000,,,,,,
220,732.0000,,,,,,
221,738.0000,,,,,,
222,750.0000,,,,,,
223,762.0000,,,,,,
224,732.0000,,,,,,
225,636.0000,,,,,,
226,714.0000,,,,,,
227,744.0000,,,,,,
228,750.0000,,,,,,
229,744.0000,,,,,,
230,756.0000,,,,,,
231,762.0000,,,,,,
232,756.0000,,,,,,
233,762.0000,,,,,,
234,762.0000,,,,,,
235,732.0000,,,,,,
236,726.0000,,,,,,
237,756.0000,,,,,,
238,762.0000,,,,,,
239,750.0000,,,,,,
240,750.0000,,,,,,
241,750.0000,,,,,,
242,768.0000,,,,,,
246,595.2000,,,,,,
247,588.6000,,,,,,
248,708.0000,,,,,,
249,636.0000,,,,,,
250,334.8000,,,,,,
251,535.2000,,,,,,
252,648.0000,,,,,,
258,720.0000,,,,,,
260,726.0000,,,,,,
261,732.0000,,,,,,
262,738.0000,,,,,,
263,738.0000,,,,,,
264,732.0000,,,,,,
265,738.0000,,,,,,
266,738.0000,,,,,,
267,744.0000,,,,,,
268,744.0000,,,,,,
269,744.0000,,,,,,
270,744.0000,,,,,,
271,744.0000,,,,,,
272,744.0000,,,,,,
273,744.0000,,,,,,
274,744.0000,,,,,,
275,744.0000,,,,,,
276,738.0000,,,,,,
277,738.0000,,,,,,
278,738.0000,,,,,,
279,744.0000,,,,,,
280,738.0000,,,,,,
281,654.0000,,,,,,
282,527.4000,,,,,,
283,588.0000,,,,,,
284,708.0000,,,,,,
286,744.0000,,,,,,
287,750.0000,,,,,,
288,762.0000,,,,,,
