$Malagasco inflow constituents, , , , , , 
FROM: Trib WQ, R (DCR), , , , , , 
JDAY,TDS,UV254,PO4,NH4,NO3,TOC
1,183.561818181818,0.53245,0.009325,0.0193,0.597,12.25
5,178.5,0.523327777777778,0.00908611111111111,0.0181,0.607888888888889,11.95
11,199.14,0.509644444444444,0.00872777777777778,0.0163,0.624222222222222,11.5
19,174.48,0.4914,0.00825,0.0139,0.646,10.9
27,128.34,0.496552941176471,0.00874411764705882,0.0128882352941176,0.599647058823529,10.9470588235294
33,192.12,0.500417647058824,0.00911470588235294,0.0121294117647059,0.564882352941177,10.9823529411765
39,642.6,0.504282352941176,0.00948529411764706,0.0113705882352941,0.530117647058824,11.0176470588235
53,171.72,0.5133,0.01035,0.0096,0.449,11.1
60,139.8,0.477522222222222,0.00935185185185185,0.0111037037037037,0.514592592592593,10.342962962963
67,173.64,0.441744444444444,0.0083537037037037,0.0126074074074074,0.580185185185185,9.58592592592593
76,254.88,0.395744444444444,0.00707037037037037,0.0145407407407407,0.664518518518519,8.61259259259259
80,219.78,0.3753,0.0065,0.0154,0.702,8.18
88,109.08,0.460214285714286,0.00838571428571429,0.0117142857142857,0.686285714285714,9.52857142857143
94,108.6,0.5239,0.0098,0.00895,0.6745,10.54
103,191.04,0.619428571428571,0.0119214285714286,0.00480357142857143,0.656821428571429,12.0571428571429
108,234.42,0.6725,0.0131,0.0025,0.647,12.9
117,173.4,0.75623,0.015305,0.004729,0.593,14.25
123,227.4,0.81205,0.016775,0.006215,0.557,15.15
130,218.64,0.877173333333333,0.01849,0.00794866666666667,0.515,16.2
138,213,0.9516,0.02045,0.00993,0.467,17.4
144,248.22,0.893488888888889,0.0220833333333333,0.0114122222222222,0.567444444444444,16.3777777777778
151,207.48,0.825692592592593,0.0239888888888889,0.0131414814814815,0.68462962962963,15.1851851851852
158,130.74,0.757896296296296,0.0258944444444444,0.0148707407407407,0.801814814814815,13.9925925925926
165,284.22,0.6901,0.0278,0.0166,0.919,12.8
171,209.82,0.766454285714286,0.0332342857142857,0.0167885714285714,0.8398,14.4628571428571
179,224.94,0.86826,0.04048,0.01704,0.7342,16.68
187,371.4,0.970065714285714,0.0477257142857143,0.0172914285714286,0.6286,18.8971428571429
194,314.34,1.05914571428571,0.0540657142857143,0.0175114285714286,0.5362,20.8371428571429
200,211.44,1.1355,0.0595,0.0177,0.457,22.5
207,272.16,0.866,0.04815,0.015325,0.55425,17.355
214,411,0.5965,0.0368,0.01295,0.6515,12.21
222,409.2,0.2885,0.0238285714285714,0.0102357142857143,0.762642857142857,6.33
228,422.4,0.0575,0.0141,0.0082,0.846,1.92
235,418.8,0.0615,0.01394,0.0076,0.8386,1.998
243,435,0.0660714285714286,0.0137571428571429,0.00691428571428571,0.830142857142857,2.08714285714286
251,397.2,0.0706428571428571,0.0135742857142857,0.00622857142857143,0.821685714285714,2.17628571428571
257,415.8,0.0740714285714286,0.0134371428571429,0.00571428571428571,0.815342857142857,2.24314285714286
263,436.2,0.0775,0.0133,0.0052,0.809,2.31
270,450.6,0.068775,0.0121125,0.005775,0.82725,2.095
277,463.8,0.06005,0.010925,0.00635,0.8455,1.88
285,462.6,0.0500785714285714,0.00956785714285714,0.00700714285714286,0.866357142857143,1.63428571428571
291,448.2,0.0426,0.00855,0.0075,0.882,1.45
300,209.64,0.233462068965517,0.0159206896551724,0.0125275862068966,0.777724137931034,6.12068965517241
306,145.8,0.360703448275862,0.0208344827586207,0.0158793103448276,0.708206896551724,9.23448275862069
313,249.72,0.509151724137931,0.0265672413793103,0.0197896551724138,0.627103448275862,12.8672413793103
320,214.44,0.6576,0.0323,0.0237,0.546,16.5
326,155.1,0.621818181818182,0.0281727272727273,0.0270272727272727,0.598727272727273,15.6636363636364
333,227.7,0.580072727272727,0.0233575757575758,0.0309090909090909,0.660242424242424,14.6878787878788
340,199.38,0.538327272727273,0.0185424242424242,0.0347909090909091,0.721757575757576,13.7121212121212
347,200.46,0.496581818181818,0.0137272727272727,0.0386727272727273,0.783272727272727,12.7363636363636
353,309.66,0.4608,0.0096,0.042,0.836,11.9
365,309.66,0.4608,0.0096,0.042,0.836,11.9
