$Gates Daily Discharge, 
FROM: 2017_WaterBalance, 
JDAY,M^3/sec
1,0.1402
2,0.1447
3,0.1623
4,0.2945
5,0.3483
6,0.2155
7,0.1209
8,0.0824
9,0.0745
10,0.08015
11,0.0858
12,0.1385
13,0.2498
14,0.303
15,0.246425
16,0.18985
17,0.133275
18,0.0767
19,0.0748
20,0.0753
21,0.0736
22,0.0804
23,0.0898
24,0.0892
25,0.0903
26,0.1039
27,0.122
28,0.1249
29,0.0988
30,0.0745
31,0.0646
32,0.064
33,0.06
34,0.0668
35,0.0623
36,0.0623
37,0.0612
38,0.0561
39,0.0651
40,0.0765
41,0.0779
42,0.0694
43,0.068
44,0.0699
45,0.0714
46,0.0745
47,0.0779
48,0.0708
49,0.0866
50,0.1119
51,0.1249
52,0.1181
53,0.1138
54,0.1458
55,0.2313
56,0.3993
57,0.5465
58,0.4984
59,0.4049
60,0.337
61,0.2832
62,0.2435
63,0.2042
64,0.2112
65,0.194
66,0.1758
67,0.1379
68,0.1274
69,0.1274
70,0.1308
71,0.1365
72,0.1334
73,0.1181
74,0.1416
75,0.1481
76,0.1376
77,0.1243
78,0.1249
79,0.1314
80,0.1472
81,0.143
82,0.1354
83,0.1438
84,0.1342
85,0.1354
86,0.1674
87,0.2169
88,0.2489
89,0.3483
90,0.3313
91,0.354
92,0.3625
93,0.3794
94,0.5069
95,0.7787
96,0.9401
97,0.9967
98,0.7362
99,0.4078
100,0.2376
101,0.1614
102,0.1405
103,0.1288
104,0.1201
105,0.1138
106,0.1082
107,0.109
108,0.1215
109,0.1056
110,0.111
111,0.1421
112,0.1424
113,0.1277
114,0.1028
115,0.1005
116,0.128
117,0.1453
118,0.1402
119,0.1294
120,0.1121
121,0.1031
122,0.122
123,0.1337
124,0.1195
125,0.1475
126,0.2347
127,0.2328
128,0.1886
129,0.16
130,0.1416
131,0.1274
132,0.1192
133,0.1141
134,0.1597
135,0.3313
136,0.4332
137,0.32
138,0.2515
139,0.2546
140,0.2359
141,0.1909
142,0.1736
143,0.1724
144,0.1506
145,0.1495
146,0.3426
147,0.6598
148,0.3879
149,0.218
150,0.2042
151,0.2183
152,0.2696
153,0.2339
154,0.1883
155,0.1481
156,0.1356
157,0.1841
158,0.2761
159,0.2234
160,0.1872
161,0.1662
162,0.1396
163,0.1209
164,0.1062
165,0.0937
166,0.0949
167,0.126
168,0.1506
169,0.1093
170,0.1365
171,0.1124
172,0.0951
173,0.0878
174,0.0858
175,0.0977
176,0.0875
177,0.0847
178,0.1815
179,0.109
180,0.0866
181,0.0835
182,0.0796
183,0.075
184,0.0719
185,0.0682
186,0.0654
187,0.0634
188,0.0937
189,0.0759
190,0.0665
191,0.0623
192,0.0631
193,0.064
194,0.0668
195,0.0646
196,0.0663
197,0.0592
198,0.0566
199,0.1651
200,0.0765
201,0.0552
202,0.0541
203,0.0524
204,0.049
205,0.1424
206,0.0719
207,0.058
208,0.0547
209,0.0501
210,0.0467
211,0.0453
212,0.0419
213,0.0399
214,0.107
215,0.06
216,0.0402
217,0.0861
218,0.051
219,0.0428
220,0.0416
221,0.0385
222,0.036
223,0.0357
224,0.0399
225,0.0456
226,0.0331
227,0.0326
228,0.0314
229,0.0294
230,0.03
231,0.028
232,0.0261
233,0.0255
234,0.0255
235,0.0297
236,0.0232
237,0.0224
238,0.0224
239,0.0215
240,0.0215
241,0.0215
242,0.0227
243,0.021
244,0.0201
245,0.0198
246,0.0521
247,0.0365
248,0.0306
249,0.0903
250,0.1931
251,0.0456
252,0.0388
253,0.0343
254,0.0326
255,0.0311
256,0.0309
257,0.0275
258,0.0266
259,0.0263
260,0.0238
261,0.0241
262,0.0244
263,0.0263
264,0.0246
265,0.0229
266,0.0229
267,0.0224
268,0.0215
269,0.0215
270,0.0212
271,0.0212
272,0.0201
273,0.0215
274,0.021
275,0.0212
276,0.0212
277,0.0215
278,0.0212
279,0.0207
280,0.021
281,0.0365
282,0.053
283,0.0309
284,0.0249
285,0.0238
286,0.0235
287,0.0238
288,0.0246
289,0.0238
290,0.0232
291,0.0232
292,0.0235
293,0.0227
294,0.0224
295,0.0232
296,0.0246
297,0.2076
298,0.3483
299,0.7249
300,0.1557
301,0.1085
302,0.2755
303,1.2686
304,0.3058
305,0.1852
306,0.1455
307,0.1223
308,0.1031
309,0.0934
310,0.0946
311,0.0883
312,0.081
313,0.0691
314,0.0631
315,0.0563
316,0.0558
317,0.0583
318,0.0609
319,0.0569
320,0.094
321,0.0716
322,0.0617
323,0.1068
324,0.0716
325,0.0648
326,0.128
327,0.0988
328,0.0824
329,0.0793
330,0.077
331,0.0748
332,0.0708
333,0.0728
334,0.0677
335,0.0682
336,0.0646
337,0.064
338,0.062
339,0.0883
340,0.2313
341,0.0869
342,0.0728
343,0.0716
344,0.0731
345,0.0634
346,0.0878
347,0.0782
348,0.0634
349,0.0592
350,0.0583
351,0.0572
352,0.0603
353,0.0699
354,0.0708
355,0.0637
356,0.0589
357,0.1034
358,0.098
359,0.0782
360,0.0663
361,0.0595
362,0.0544
363,0.0532
364,0.0524
365,0.0518
