$Hourly dew point temp from met data (2017 surface data), 
JDAY,TDEW
 ,C
1,-2.22
1.034722,-2.22
1.0375,-2.22
1.053472,-1.11
1.079167,-0.56
1.089583,-0.56
1.095833,-0.56
1.120833,-0.56
1.138194,-0.56
1.152083,-0.56
1.15625,-0.56
1.1625,-0.56
1.204167,-0.56
1.223611,-1.11
1.228472,-1.11
1.23125,-1.11
1.236806,-1.11
1.245833,-1.11
1.255556,-1.11
1.273611,-1.11
1.278472,-1.11
1.2875,-1.11
1.323611,-1.11
1.329167,-1.11
1.35,-1.11
1.370833,-1.11
1.4125,-1.67
1.454167,-1.67
1.495833,-2.22
1.5375,-2.22
1.579167,-2.22
1.620833,-3.89
1.6625,-4.44
1.704167,-4.44
1.745833,-5.56
1.7875,-7.78
1.829167,-7.78
1.870833,-7.78
1.9125,-7.78
1.954167,-7.22
1.995833,-7.22
2.0375,-7.22
2.079167,-6.67
2.120833,-6.67
2.1625,-6.67
2.204167,-7.22
2.245833,-7.78
2.2875,-8.33
2.329167,-7.22
2.370833,-7.22
2.4125,-7.78
2.454167,-7.22
2.495833,-7.78
2.5375,-7.78
2.579167,-7.78
2.620833,-7.78
2.6625,-7.22
2.704167,-7.78
2.745833,-7.22
2.7875,-6.11
2.829167,-5.56
2.870833,-5
2.89375,-4.44
2.9125,-5
2.954167,-4.44
2.995833,-4.44
3.0375,-3.89
3.079167,-2.78
3.089583,-2.78
3.120833,-2.78
3.159722,-2.78
3.1625,-2.22
3.186111,-2.22
3.204167,-2.22
3.217361,-2.22
3.226389,-2.22
3.236111,-1.67
3.245833,-1.67
3.2875,-1.67
3.29375,-1.11
3.322917,-1.11
3.329167,-1.11
3.341667,-0.56
3.354167,-1.11
3.369444,-1.11
3.370833,-1.11
3.382639,-1.11
3.389583,-0.56
3.4125,-0.56
3.420139,-0.56
3.424306,-0.56
3.434028,-0.56
3.440972,-0.56
3.452778,-1.11
3.454167,-0.56
3.459722,-0.56
3.471528,0
3.476389,0
3.495833,0
3.504861,0
3.5375,0
3.545139,0
3.579167,0.56
3.620833,0.56
3.661111,1.11
3.6625,1.11
3.670139,1.11
3.704167,1.11
3.745833,1.11
3.7875,1.67
3.829167,1.67
3.870833,1.67
3.9125,1.67
3.945833,1.67
3.954167,1.67
3.985417,1.67
3.995833,1.67
4.034028,2.22
4.0375,1.67
4.061111,1.67
4.079167,2.22
4.110417,2.22
4.120833,2.22
4.127083,2.22
4.160417,2.22
4.1625,2.22
4.177083,2.22
4.190278,2.22
4.204167,1.67
4.229167,1.67
4.245833,1.67
4.258333,1.67
4.2875,1.67
4.315972,1.11
4.327778,1.11
4.329167,1.11
4.340972,1.11
4.363194,0.56
4.368056,1.11
4.369444,1.11
4.370833,0.56
4.4125,0
4.418056,0.56
4.426389,0
4.454167,0
4.478472,0
4.488889,0
4.494444,0
4.495833,0
4.504861,0
4.517361,0
4.521528,0
4.531944,0
4.5375,0
4.543056,0
4.579167,0.56
4.595139,0.56
4.605556,0.56
4.619444,1.11
4.620833,1.11
4.627778,1.67
4.629861,1.67
4.6625,2.22
4.671528,2.22
4.695833,2.22
4.697222,2.22
4.704167,2.22
4.710417,2.22
