$Weekly temp data for Malagasco, 
FROM: Trib WQ, R (DCR), 
JDAY,TEMP (C)
1,0.372727272727273
5,0.1
11,0.6
19,2.1
27,2
33,0.7
39,1.3
53,2.8
60,7.4
67,4.1
76,1.8
80,2.8
88,2.7
94,4
103,10.3
108,12.3
117,12.6
123,11.3
130,10.3
138,18
144,12.5
151,12.5
158,12.5
165,16.7
171,18.6
179,15.4
187,15.9
194,15.4
200,18.5
207,15.6
214,14.9
222,14.7
228,15.4
235,15.9
243,12.8
251,13.1
257,15.1
263,14.9
270,15.8
277,12.2
285,11.5
291,10.6
300,11
306,11.6
313,5.4
320,6.4
326,6.8
333,6
340,6.9
347,0.4
353,2.7
365,2.7
