$Precipitation Constituents - Average of Lexington and Quabbin, , , , , , 
FROM: NADP Quabbin WQ and R (Previous: 03-12 Avg Precip Conc_Lexington and Quabbin (NADP)), , , , , , 
JDAY,TDS,PO4,NH4,NO3,LDOM,RDOM
1,5.18307692307692,0.01,0.178923076923077,0.898692307692308,0.26,1.04
6,5.09076923076923,0.01,0.151230769230769,0.807923076923077,0.26,1.04
12,4.98,0.01,0.118,0.699,0.26,1.04
20,3.18,0.01,0.05,0.401,0.26,1.04
27,4.86,0.01,0.247,0.917,0.26,1.04
34,9,0.01,0.149,2.246,0.26,1.04
41,3.6,0.01,0.169,0.709,0.26,1.04
48,3.09,0.01,0.1065,0.463,0.26,1.04
55,2.58,0.01,0.044,0.217,0.26,1.04
62,5.32615384615385,0.01,0.54,1.992,0.26,1.04
68,7.68,0.01,0.658,2.277,0.26,1.04
76,1.38,0.01,0.025,0.14,0.26,1.04
83,4.08,0.01,0.2,0.547,0.26,1.04
91,2.34,0.01,0.073,0.371,0.26,1.04
98,3.96,0.01,0.112,0.497,0.26,1.04
104,3.90461538461538,0.01,0.236153846153846,0.705615384615385,0.26,1.04
111,3.84,0.01,0.381,0.949,0.26,1.04
118,4.53,0.01,0.2615,0.838,0.26,1.04
125,5.22,0.01,0.142,0.727,0.26,1.04
132,1.8,0.01,0.032,0.221,0.26,1.04
139,4.68,0.01,0.516,1.199,0.26,1.04
146,1.68,0.01,0.022,0.168,0.26,1.04
154,2.76,0.01,0.32,0.635,0.26,1.04
161,3.14769230769231,0.01,0.364153846153846,0.733,0.26,1.04
167,3.48,0.01,0.402,0.817,0.26,1.04
174,3.816,0.01,0.409466666666667,1.04706666666667,0.26,1.04
182,4.2,0.01,0.418,1.31,0.26,1.04
189,2.4,0.01,0.132,0.587,0.26,1.04
196,5.52,0.01,0.398,1.449,0.26,1.04
202,3.24,0.01,0.135,0.579,0.26,1.04
209,3.96,0.01,0.204,0.913,0.26,1.04
216,2.76,0.01,0.06,0.404,0.26,1.04
223,7.68,0.01,0.288,1.603,0.26,1.04
230,11.1,0.01,0.403,2.571,0.26,1.04
237,2.88,0.01,0.052,0.408,0.26,1.04
244,1.98,0.01,0.035,0.236,0.26,1.04
251,3.72,0.01,0.188,0.563,0.26,1.04
258,3.72,0.01,0.103,0.86,0.26,1.04
265,3.72,0.01,0.244,0.9495,0.26,1.04
272,3.72,0.01,0.385,1.039,0.26,1.04
279,3.48,0.01,0.216,0.508,0.26,1.04
286,8.52,0.01,0.652,1.56,0.26,1.04
293,5.58,0.01,0.3594,0.8908,0.26,1.04
301,2.22,0.01,0.025,0.126,0.26,1.04
308,4.2,0.01,0.304,0.869,0.26,1.04
314,7.26,0.01,0.185,1.388,0.26,1.04
321,4.2,0.01,0.22,0.68,0.26,1.04
328,7.8,0.01,0.355,1.506,0.26,1.04
335,7.8,0.01,0.237,0.9805,0.26,1.04
342,7.8,0.01,0.119,0.455,0.26,1.04
349,7.8,0.01,0.482,1.568,0.26,1.04
356,7.8,0.01,0.112,0.59,0.26,1.04
363,7.8,0.01,0.112,0.59,0.26,1.04
365,7.8,0.01,0.112,0.59,0.26,1.04
