$Waushacum (Frbk)  inflow constituents, , , , , , 
FROM: Trib WQ, R (DCR), , , , , , 
JDAY,TDS,UV254,PO4,NH4,NO3,TOC
1,251.247272727273,0.15437,0.0109,0.0025,0.05,5.1
5,249.12,0.151318888888889,0.0103111111111111,0.0025,0.0605555555555556,5
11,245.22,0.146742222222222,0.00942777777777778,0.0025,0.0763888888888889,4.85
19,239.94,0.14064,0.00825,0.0025,0.0975,4.65
27,254.34,0.140065882352941,0.00869705882352941,0.0025,0.0980882352941177,4.55352941176471
33,248.4,0.139635294117647,0.00903235294117647,0.0025,0.0985294117647059,4.48117647058824
39,253.2,0.139204705882353,0.00936764705882353,0.0025,0.0989705882352941,4.40882352941177
53,250.98,0.1382,0.01015,0.0025,0.1,4.24
60,227.04,0.133398518518518,0.00924259259259259,0.00568888888888889,0.0924555555555556,4.20888888888889
67,244.38,0.128597037037037,0.00833518518518519,0.00887777777777778,0.0849111111111111,4.17777777777778
76,257.64,0.122423703703704,0.00716851851851852,0.0129777777777778,0.0752111111111111,4.13777777777778
80,227.04,0.11968,0.00665,0.0148,0.0709,4.12
88,218.46,0.134628571428571,0.00710714285714286,0.0112857142857143,0.0536714285714286,4.44285714285714
94,219.84,0.14584,0.00745,0.00865,0.04075,4.685
103,220.74,0.162657142857143,0.00796428571428572,0.00469642857142857,0.0213678571428571,5.04821428571429
108,229.32,0.172,0.00825,0.0025,0.0106,5.25
117,243.42,0.177985,0.0078,0.0025,0.00817,5.322
123,234.36,0.181975,0.0075,0.0025,0.00655,5.37
130,235.68,0.18663,0.00715,0.0025,0.00466,5.426
138,237.72,0.19195,0.00675,0.0025,0.0025,5.49
144,251.7,0.20615,0.00785,0.0025,0.0025,5.85222222222222
151,222.18,0.222716666666667,0.00913333333333333,0.0025,0.0025,6.27481481481481
158,216.3,0.239283333333333,0.0104166666666667,0.0025,0.0025,6.69740740740741
165,239.88,0.25585,0.0117,0.0025,0.0025,7.12
171,243,0.246824285714286,0.0116228571428571,0.00784857142857143,0.00491714285714286,6.94
179,242.76,0.23479,0.01152,0.01498,0.00814,6.7
187,281.82,0.222755714285714,0.0114171428571429,0.0221114285714286,0.0113628571428571,6.46
194,296.4,0.212225714285714,0.0113271428571429,0.0283514285714286,0.0141828571428571,6.25
200,303,0.2032,0.01125,0.0337,0.0166,6.07
207,281.64,0.19285,0.01105,0.0259,0.013075,5.85
214,294.36,0.1825,0.01085,0.0181,0.00955,5.63
222,294,0.170671428571429,0.0106214285714286,0.00918571428571429,0.00552142857142857,5.37857142857143
228,274.56,0.1618,0.01045,0.0025,0.0025,5.19
235,305.64,0.1623,0.01055,0.0025,0.00346,5.2
243,297.66,0.162871428571429,0.0106642857142857,0.0025,0.00455714285714286,5.21142857142857
251,65.1,0.163442857142857,0.0107785714285714,0.0025,0.00565428571428571,5.22285714285714
257,202.08,0.163871428571429,0.0108642857142857,0.0025,0.00647714285714286,5.23142857142857
263,302.76,0.1643,0.01095,0.0025,0.0073,5.24
270,316.32,0.148675,0.0108875,0.01315,0.00815,4.7875
277,302.82,0.13305,0.010825,0.0238,0.009,4.335
285,295.2,0.115192857142857,0.0107535714285714,0.0359714285714286,0.00997142857142857,3.81785714285714
291,296.1,0.1018,0.0107,0.0451,0.0107,3.43
300,236.4,0.139444827586207,0.01115,0.0340827586206897,0.0117241379310345,3.99172413793103
306,225.72,0.164541379310345,0.01145,0.0267379310344828,0.0124068965517241,4.36620689655172
313,240.72,0.193820689655172,0.0118,0.0181689655172414,0.0132034482758621,4.80310344827586
320,248.22,0.2231,0.01215,0.0096,0.014,5.24
326,247.26,0.2113,0.0120681818181818,0.0131090909090909,0.0167636363636364,5.79454545454545
333,250.32,0.197533333333333,0.0119727272727273,0.0172030303030303,0.0199878787878788,6.44151515151515
340,245.04,0.183766666666667,0.0118772727272727,0.0212969696969697,0.0232121212121212,7.08848484848485
347,259.62,0.17,0.0117818181818182,0.0253909090909091,0.0264363636363636,7.73545454545454
353,277.98,0.1582,0.0117,0.0289,0.0292,8.29
365,277.98,0.1582,0.0117,0.0289,0.0292,8.29
