"$Calculated constituents for Quabbin, Quinapoxet, Trout",,,,,,,
From: Quinapoxet_Quabbin_Trout.R,,,,,,,
JDAY,TDS,UV254,PO4,NH4,NO3,PSI,TOC
1,163.9775856,0,0,0,0,0,0
2,56.07373194,0.013611242,0.002018274,0.004036549,0.004908443,1.364353461,1.299768682
3,47.87331666,0.014661674,0.002174032,0.004348065,0.005287247,1.469645829,1.400076795
4,61.64011741,0.012960809,0.001920354,0.004251713,0.004656477,1.298703425,1.237338252
5,70.46773175,0.011277555,0.001669675,0.004053334,0.004036634,1.129645154,1.076365237
6,164.6231666,0,0,0,0,0,0
7,165.2687476,0,0,0,0,0,0
8,161.3952614,0,0,0,0,0,0
9,162.0408424,0,0,0,0,0,0
10,162.6864235,0,0,0,0,0,0
11,172.3701392,0,0,0,0,0,0
12,206.5859346,0,0,0,0,0,0
13,110.3943588,0,0,0,0,0,0
14,112.3772148,0,0,0,0,0,0
15,114.3600709,0,0,0,0,0,0
16,116.342927,0,0,0,0,0,0
17,118.3257831,0,0,0,0,0,0
18,120.3086391,0,0,0,0,0,0
19,122.2914952,0,0,0,0,0,0
20,124.2743513,0,0,0,0,0,0
21,126.2572073,0,0,0,0,0,0
22,128.2400634,0,0,0,0,0,0
23,130.2229195,0,0,0,0,0,0
24,132.2057755,0,0,0,0,0,0
25,134.1886316,0,0,0,0,0,0
26,61.59054995,0.011922443,0.001808201,0.012323946,0.004104668,1.233870475,1.17783337
27,50.98637905,0.013776628,0.002077489,0.014583971,0.004701677,1.418188237,1.353894762
28,49.5464798,0.014120586,0.002117298,0.015295381,0.004777242,1.445935415,1.380500493
29,47.47321026,0.014458313,0.002155754,0.016012112,0.004849245,1.472778224,1.406246852
30,46.16836709,0.014728694,0.002183818,0.016664331,0.004897448,1.49253878,1.425234306
31,45.04076599,0.015005664,0.002212567,0.017332434,0.004946827,1.512781156,1.444684724
32,44.99654217,0.014958023,0.002219989,0.017839922,0.004948308,1.518450608,1.450219941
33,44.65568504,0.014963871,0.00223547,0.018415928,0.004967627,1.529637831,1.461026
34,44.68812397,0.014982957,0.002253119,0.019015582,0.004991566,1.542315201,1.473256926
35,44.71982138,0.014999113,0.002270529,0.019619397,0.00501477,1.554837672,1.485341548
36,45.22534345,0.014977918,0.00228245,0.020180786,0.005025682,1.563607994,1.493843074
37,49.47746197,0.014189404,0.002176788,0.019682852,0.00477835,1.491800671,1.425356874
38,142.02783,0,0,0,0,0,0
39,141.382249,0,0,0,0,0,0
40,142.6734111,0,0,0,0,0,0
41,144.6101542,0,0,0,0,0,0
42,174.9524633,0,0,0,0,0,0
43,138.7999248,0,0,0,0,0,0
44,145.2557352,0,0,0,0,0,0
45,141.382249,0,0,0,0,0,0
46,136.8631816,0,0,0,0,0,0
47,133.6352764,0,0,0,0,0,0
48,129.1162091,0,0,0,0,0,0
49,127.179466,0,0,0,0,0,0
50,131.6985333,0,0,0,0,0,0
51,132.9896954,0,0,0,0,0,0
52,121.3692366,0,0,0,0,0,0
53,114.2678451,0,0,0,0,0,0
54,118.7869124,0,0,0,0,0,0
55,120.0780745,0,0,0,0,0,0
56,120.0780745,0,0,0,0,0,0
57,119.4324934,0,0,0,0,0,0
58,122.0148176,0,0,0,0,0,0
59,124.5971418,0,0,0,0,0,0
60,127.825047,0,0,0,0,0,0
61,126.5338849,0,0,0,0,0,0
62,118.7869124,0,0,0,0,0,0
63,127.825047,0,0,0,0,0,0
64,129.7617901,0,0,0,0,0,0
65,55.99661984,0.012579134,0.00199109,0.028869821,0.004005241,1.37892225,1.320424444
66,46.49318006,0.014217058,0.002247039,0.033006844,0.004505779,1.556742636,1.490814376
67,49.62873887,0.013713568,0.002169952,0.032284994,0.004337395,1.503879799,1.440299352
68,53.31774095,0.013100325,0.002075295,0.031268526,0.004135012,1.438797283,1.378072439
69,73.63146842,0.009733132,0.001543648,0.023549095,0.003065924,1.07059269,1.02548526
70,132.9896954,0,0,0,0,0,0
71,132.9896954,0,0,0,0,0,0
72,134.9264385,0,0,0,0,0,0
73,136.2176006,0,0,0,0,0,0
74,121.3664729,0.002379709,0.000378332,0.006126113,0.000739503,0.262860221,0.251879173
75,136.2176006,0,0,0,0,0,0
76,54.80059121,0.013090108,0.00207901,0.034438257,0.004037683,1.445494466,1.385313654
77,45.25313933,0.014658687,0.002326973,0.038977647,0.004504727,1.618469772,1.55120177
78,44.8787837,0.014749177,0.00234017,0.039632294,0.004515691,1.628222774,1.560664157
79,44.99356398,0.014766094,0.002341688,0.040091067,0.004504056,1.629852601,1.562340924
80,45.68414099,0.014670325,0.002325346,0.040240502,0.004458186,1.619046273,1.552095727
81,49.79860274,0.014012848,0.002227333,0.038954726,0.00425647,1.551346588,1.487304034
82,51.26611926,0.013794532,0.002198759,0.038859325,0.004188265,1.531979972,1.468843765
83,51.43634924,0.013776011,0.002201948,0.039319863,0.004180746,1.534737265,1.471594198
84,52.20868204,0.013669589,0.002191055,0.039526759,0.004146562,1.527676025,1.464929485
85,52.67691869,0.013595873,0.002185346,0.039823392,0.004122316,1.524224507,1.461725232
86,58.62216979,0.01269916,0.002046937,0.037674794,0.003848663,1.428182324,1.369719761
87,94.33660125,0.0075822,0.001225582,0.022780663,0.002296836,0.855404503,0.820447472
88,150.4203836,0,0,0,0,0,0
