$West Boylston inflow constituents, , , , , , 
FROM: Trib WQ, R (DCR), , , , , , 
JDAY,TDS,UV254,PO4,NH4,NO3,TOC
1,555.927272727273,0.063065,0.007575,0.0107,1.31,2.11
5,530.4,0.0627683333333333,0.00790277777777778,0.0106111111111111,1.29888888888889,2.12777777777778
11,779.4,0.0623233333333333,0.00839444444444445,0.0104777777777778,1.28222222222222,2.15444444444444
19,958.8,0.06173,0.00905,0.0103,1.26,2.19
27,677.4,0.0617464705882353,0.00885,0.0105117647058824,1.20117647058824,2.12882352941176
33,712.8,0.0617588235294118,0.0087,0.0106705882352941,1.15705882352941,2.08294117647059
39,8500.2,0.0617711764705882,0.00855,0.0108294117647059,1.11294117647059,2.03705882352941
53,754.2,0.0618,0.0082,0.0112,1.01,1.93
60,732,0.0577607407407407,0.00713703703703704,0.0142074074074074,1.11888888888889,1.82111111111111
67,827.4,0.0537214814814815,0.00607407407407407,0.0172148148148148,1.22777777777778,1.71222222222222
76,1086.6,0.0485281481481481,0.00470740740740741,0.0210814814814815,1.36777777777778,1.57222222222222
80,997.8,0.04622,0.0041,0.0228,1.43,1.51
88,471.06,0.0469857142857143,0.00465714285714286,0.0215428571428571,1.50142857142857,1.57857142857143
94,366.12,0.04756,0.005075,0.0206,1.555,1.63
103,892.8,0.0484214285714286,0.00570178571428571,0.0191857142857143,1.63535714285714,1.70714285714286
108,1053,0.0489,0.00605,0.0184,1.68,1.75
117,771.6,0.057177,0.006125,0.01981,1.509,1.876
123,970.2,0.062695,0.006175,0.02075,1.395,1.96
130,889.2,0.0691326666666667,0.00623333333333333,0.0218466666666667,1.262,2.058
138,852,0.07649,0.0063,0.0231,1.11,2.17
144,973.2,0.0707011111111111,0.00656666666666667,0.0244111111111111,1.17222222222222,2.06111111111111
151,651,0.0639474074074074,0.00687777777777778,0.0259407407407407,1.24481481481481,1.93407407407407
158,465.6,0.0571937037037037,0.00718888888888889,0.0274703703703704,1.31740740740741,1.80703703703704
165,969,0.05044,0.0075,0.029,1.39,1.68
171,773.4,0.0514788571428571,0.00763714285714286,0.0311771428571429,1.366,1.70228571428571
179,692.4,0.052864,0.00782,0.03408,1.334,1.732
187,1078.8,0.0542491428571429,0.00800285714285714,0.0369828571428571,1.302,1.76171428571429
194,898.8,0.0554611428571429,0.00816285714285714,0.0395228571428571,1.274,1.78771428571429
200,1084.2,0.0565,0.0083,0.0417,1.25,1.81
207,1115.4,0.0524,0.008225,0.04045,1.2325,1.705
214,1172.4,0.0483,0.00815,0.0392,1.215,1.6
222,1158,0.0436142857142857,0.00806428571428571,0.0377714285714286,1.195,1.48
228,1159.2,0.0401,0.008,0.0367,1.18,1.39
235,1182,0.03932,0.00774,0.03522,1.196,1.376
243,1186.8,0.0384285714285714,0.00744285714285714,0.0335285714285714,1.21428571428571,1.36
251,1071.6,0.0375371428571429,0.00714571428571429,0.0318371428571429,1.23257142857143,1.344
257,1157.4,0.0368685714285714,0.00692285714285714,0.0305685714285714,1.24628571428571,1.332
263,1108.8,0.0362,0.0067,0.0293,1.26,1.32
270,1169.4,0.03325,0.0062625,0.027325,1.27,1.2525
277,1150.2,0.0303,0.005825,0.02535,1.28,1.185
285,1093.8,0.0269285714285714,0.005325,0.0230928571428571,1.29142857142857,1.10785714285714
291,1104,0.0244,0.00495,0.0214,1.3,1.05
300,487.2,0.0459689655172414,0.0163396551724138,0.0687586206896552,1.24413793103448,2.7848275862069
306,658.8,0.060348275862069,0.0239327586206897,0.100331034482759,1.20689655172414,3.94137931034483
313,829.8,0.0771241379310345,0.0327913793103448,0.137165517241379,1.16344827586207,5.29068965517241
320,664.8,0.0939,0.04165,0.174,1.12,6.64
326,257.1,0.0843363636363636,0.0352227272727273,0.146254545454545,1.17454545454545,6.10363636363636
333,848.4,0.0731787878787879,0.0277242424242424,0.113884848484848,1.23818181818182,5.47787878787879
340,452.4,0.0620212121212121,0.0202257575757576,0.0815151515151515,1.30181818181818,4.85212121212121
347,763.8,0.0508636363636364,0.0127272727272727,0.0491454545454545,1.36545454545455,4.22636363636364
353,811.8,0.0413,0.0063,0.0214,1.42,3.69
365,811.8,0.0413,0.0063,0.0214,1.42,3.69
