$Withdrawal from North Dyke + Towns, Nashua River, Wachusett Aqueduct, Spillway, , , , 
FROM: 2017_WaterBalance, , , , 
JDAY,ND+T,Nash,Wach,Spill
1,0.04701096272,9,0,0
2,0.06882965744,0.26287584,0,0
3,0.0562992424,0.26287584,0,0
4,0.0541086104,0.26287584,0,0
5,0.06887347008,0.26287584,0,0
6,0.05248754272,0.26287584,0,0
7,0.04784340288,0.26287584,0,0
8,0.06712096448,0.26287584,0,0
9,0.05792031008,0.26287584,0,0
10,0.05327617024,0.26287584,0,0
11,0.06861059424,0.26287584,0,0
12,0.06304638896,0.26287584,0,0
13,0.05480961264,0.26287584,0,0
14,0.05296948176,0.26287584,0,0
15,0.06953065968,0.26287584,0,0
16,0.0547658,0.26287584,0,0
17,0.05384573456,0.26287584,0,0
18,0.06493033248,0.26287584,0,0
19,0.05594874128,0.26287584,0,0
20,0.04968353376,0.26287584,0,0
21,0.06742765296,0.26287584,0,0
22,0.058051748,0.26287584,0,0
23,0.05064741184,0.26287584,0,0
24,0.06786577936,0.26287584,0,0
25,0.05546680224,0.26287584,0,0
26,0.05529155168,0.26287584,0,0
27,0.05568586544,0.26287584,0,0
28,0.06663902544,0.26287584,0,0
29,0.05178654048,0.26287584,0,0
30,0.06195107296,0.26287584,0,0
31,0.05945375248,0.26287584,0,0
32,0.05358285872,0.26287584,0,0
33,0.05954137776,0.26287584,0,0
34,0.06313401424,0.26287584,0,0
35,0.05165510256,0.26287584,0,0
36,0.06164438448,0.26287584,0,0
37,0.0650617704,0.26287584,0,0
38,0.05130460144,0.26287584,0,0
39,0.0519179784,0.26287584,0,0
40,0.06576277264,0.26287584,0,0
41,0.0521370416,0.26287584,0,0
42,0.04823771664,0.26287584,0,0
43,0.06979353552,0.26287584,0,0
44,0.05161128992,0.26287584,0,0
45,0.0549848632,0.26287584,0,0
46,0.06755909088,0.26287584,0,0
47,0.0549848632,0.26287584,0,0
48,0.05551061488,0.26287584,0,0
49,0.06961828496,0.26287584,0,0
50,0.05222466688,0.26287584,0,0
51,0.05752599632,0.26287584,0,0
52,0.06817246784,0.26287584,0,0
53,0.05546680224,0.26287584,0,0
54,0.05353904608,0.26287584,0,0
55,0.0740433616,0.26287584,0,0
56,0.0521370416,0.26287584,0,0
57,0.05621161712,0.26287584,0,0
58,0.06760290352,0.26287584,0,0
59,0.05441529888,0.26287584,0,0
60,0.05121697616,0.26287584,0,0
61,0.07167747904,0.26287584,0,0
62,0.05511630112,0.26287584,0,0
63,0.04959590848,0.26287584,0,0
64,0.07675974528,0.26287584,0,0
65,0.05792031008,0.26287584,0,0
66,0.0545467368,0.26287584,0,0
67,0.062433012,0.26287584,0,0
68,0.06300257632,0.26287584,0,0
69,0.05467817472,0.26287584,0,0
70,0.0499464096,0.26287584,0,0
71,0.07290423296,0.26287584,0,0
72,0.0573945584,0.26287584,0,0
73,0.04963972112,0.26287584,0,0
74,0.07066978832,0.26287584,0,0
75,0.0567373688,0.26287584,0,0
76,0.05231229216,0.26287584,0,0
77,0.06357214064,0.26287584,0,0
78,0.06514939568,0.26287584,0,0
79,0.05721930784,0.26287584,0,0
80,0.05572967808,0.26287584,0,0
81,0.06896109536,0.26287584,0,0
82,0.05660593088,0.26287584,0,0
83,0.05174272784,0.26287584,0,0
84,0.06514939568,0.26287584,0,0
85,0.06116244544,0.26287584,0,0
86,0.05450292416,0.26287584,0,0
87,0.04758052704,0.26287584,0,0
88,0.07378048576,0.26287584,0,0
89,0.0567373688,0.26287584,0,0
90,0.05634305504,0.9384667488,0,0
91,0.06164438448,3.6351347408,0,0
92,0.05844606176,4.44698296,0,0
93,0.05559824016,4.44698296,0,4.9271694944
94,0.0573945584,4.44698296,0,2.111769248
95,0.06773434144,4.44698296,0,7.0157180432
96,0.05384573456,4.44698296,0,5.9002482288
97,0.05012166016,4.44698296,0,0.0083244016
98,0.07145841584,4.44698296,0,0.0915684176
99,0.0598042536,4.44698296,0,0.9301423472
100,0.0817105736,4.44698296,0,4.9609052272
101,0.0968259344,4.44698296,0,7.0525206608
102,0.08341926656,4.44698296,0,2.602470816
103,0.09191891872,4.44698296,0,0
104,0.07176510432,4.44698296,0,0
105,0.06230157408,4.44698296,0,0
106,0.04530226976,2.81789440480643,0,0
107,0.0694430344,1.18912621564545,0,0
108,0.04836915456,0.544263997761066,0,0
109,0.05993569152,0.2668189776,0,0
110,0.05283804384,0.2668189776,0,0
111,0.05196179104,0.2668189776,0,0
112,0.05923468928,0.2668189776,0,0
113,0.05029691072,0.7202798016,0,0
114,0.0587089376,3.6053421456,0,10.0291514224
115,0.05020928544,4.44698296,0,8.0904421024
116,0.05384573456,4.44698296,0,0
117,0.04696715008,4.44698296,0,0
118,0.05682499408,3.5470713344,0,0
119,0.05940993984,1.454579648,0,0
120,0.05340760816,0.311069744,0,0
121,0.05331998288,0.3115078704,0,0
122,0.04718621328,0.2988022048,0,0
123,0.05551061488,0.7430623744,0,0
124,0.04692333744,3.3074161936,0,0
125,0.0523561048,4.4461067072,0,0
126,0.05209322896,4.4461067072,0,0
127,0.04779959024,4.4461067072,0,0
128,0.05371429664,4.4461067072,0,0
129,0.05445911152,4.4461067072,0,0
130,0.05139222672,4.4461067072,0,0
131,0.05559824016,3.629877224,0,0
132,0.04411932848,1.5395761696,0,0
133,0.05239991744,1.1846937856,0,0
134,0.0466604616,2.1630300368,0,0
135,0.05143603936,4.1473045024,0,0
136,0.05397717248,4.44698296,0,0
137,0.06712096448,4.44698296,0,0
138,0.06948684704,4.44698296,0,0
139,0.07803031184,3.645211648,0,0
140,0.06015475472,2.4333540256,0,0
141,0.07605874304,0.62433012,0,0
142,0.0648427072,0.3123841232,0,0
143,0.06585039792,0.3128222496,0,0
144,0.07106410208,0.3123841232,0,0
145,0.0606805064,0.3128222496,0,0
146,0.06181963504,0.5222466688,0,0
147,0.06186344768,1.846702776,0,0
148,0.062433012,4.09648184,0,0
149,0.06295876368,4.44698296,0,0
150,0.06541227152,4.44698296,0,0
151,0.06580658528,3.2329347056,0,0
152,0.06611327376,1.46320867581992,0,0
153,0.06751527824,0.542792165497714,0,0
154,0.06475508192,0.312601349369379,0,0
155,0.06918015856,0.312641922294701,0,0
156,0.06142532128,0.313466687707442,0,0
157,0.0501654728,0.314497033673759,0,0
158,0.06357214064,1.4512607069954,0,0
159,0.08245538848,3.66956485582153,0,0
160,0.06532464624,4.04062241749242,0,0
161,0.0738242984,2.61768708918615,0,0
162,0.08929016032,1.23136695248999,0,0
163,0.0762339936,0.311765537911768,0,0
164,0.095292492,0.312637522974083,0,0
165,0.07421861216,0.306525487119146,0,0
166,0.079958068,0.298219175323087,0,0
167,0.06282732576,0.2983640784,0,0
168,0.0670333392,0.2983640784,0,0
169,0.07005641136,0.2983640784,0,0
170,0.09511724144,0.297925952,0,0
171,0.092006544,0.297925952,0,0
172,0.09752693664,0.297925952,0,0
173,0.10703427952,0.297925952,0,0
174,0.10458077168,0.297925952,0,0
175,0.07321092144,0.297925952,0,0
176,0.07307948352,0.2974878256,0,0
177,0.0937590496,0.297925952,0,0
178,0.0661570864,0.297925952,0,0
179,0.07014403664,0.297925952,0,0
180,0.08144769776,0.2983640784,0,0
181,0.06707715184,0.2983640784,0,0
182,0.06773434144,0.297925952,0,0
183,0.08315639072,0.297925952,0,0
184,0.06212632352,0.297925952,0,0
185,0.07978281744,0.2983640784,0,0
186,0.08206107472,0.297925952,0,0
187,0.06957447232,0.297925952,0,0
188,0.05905943872,0.2983640784,0,0
189,0.0825868264,0.2983640784,0,0
190,0.0659380232,0.2983640784,0,0
191,0.09099885328,0.2983640784,0,0
192,0.0696620976,0.2974878256,0,0
193,0.0644045808,0.297925952,0,0
194,0.07982663008,0.297925952,0,0
195,0.06365976592,0.297925952,0,0
196,0.0681286552,0.297925952,0,0
197,0.08109719664,0.297925952,0,0
198,0.0753577408,0.297925952,0,0
199,0.07873131408,0.297925952,0,0
200,0.0878443432,0.297925952,0,0
201,0.07614636832,0.2974878256,0,0
202,0.09673830912,0.2974878256,0,0
203,0.07654068208,0.2974878256,0,0
204,0.072290856,0.2974878256,0,0
205,0.08026475648,0.297925952,0,0
206,0.05656211824,0.297925952,0,0
207,0.077767436,0.297925952,0,0
208,0.06212632352,0.297925952,0,0
209,0.07123935264,0.297925952,0,0
210,0.07838081296,0.297925952,0,0
211,0.08070288288,0.297925952,0,0
212,0.07194035488,0.2974878256,0,0
213,0.0928827968,0.297821452716481,0,0
214,0.07211560544,0.298009753067448,0,0
215,0.06707715184,0.298074193193669,0,0
216,0.07859987616,0.29823070965322,0,0
217,0.05603636656,0.298172537341986,0,0
218,0.07040691248,0.297947139550273,0,0
219,0.07110791472,0.298226283192381,0,0
220,0.0628711384,0.298276130764326,0,0
221,0.07781124864,0.298246599613598,0,0
222,0.0747005512,0.29817975000263,0,0
223,0.07150222848,0.298364787797751,0,0
224,0.07505105232,0.298373624977441,0,0
225,0.06379120384,0.298238952432752,0,0
226,0.0619948856,0.298178745938109,0,0
227,0.08201726208,0.298409853293464,0,0
228,0.06839153104,0.298447297361921,0,0
229,0.07794268656,0.298527065137241,0,0
230,0.06672665072,0.298975942116657,0,0
231,0.0665952128,0.298769224917713,0,0
232,0.08328782864,0.298539907381052,0,0
233,0.07158985376,0.29871878535632,0,0
234,0.06882965744,0.298863547724845,0,0
235,0.0917874808,0.298270071484739,0,0
236,0.07531392816,0.298733947371099,0,0
237,0.079958068,0.298710608776888,0,0
238,0.08157913568,0.297761775093849,0,0
239,0.06874203216,0.298486747898581,0,0
240,0.09231323248,0.29849125912044,0,0
241,0.07334235936,0.298597779134882,0,0
242,0.06852296896,0.298597779134882,0,0
243,0.08355070448,0.298597779134882,0,0
244,0.07671593264,0.298597779134882,0,0
245,0.06475508192,0.298597779134882,0,0
246,0.07413098688,0.298597779134882,0,0
247,0.06409789232,0.298597779134882,0,0
248,0.06427314288,0.298597779134882,0,0
249,0.07982663008,0.298597779134882,0,0
250,0.05822699856,0.298597779134882,0,0
251,0.06488651984,0.298597779134882,0,0
252,0.07084503888,0.298597779134882,0,0
253,0.05857749968,0.298597779134882,0,0
254,0.08508414688,0.298597779134882,0,0
255,0.07106410208,0.298597779134882,0,0
256,0.0672524024,0.298597779134882,0,0
257,0.07597111776,0.298597779134882,0,0
258,0.06777815408,0.298597779134882,0,0
259,0.06510558304,0.298597779134882,0,0
260,0.08092194608,0.298597779134882,0,0
261,0.06339689008,0.298597779134882,0,0
262,0.0659380232,0.298597779134882,0,0
263,0.06935540912,0.298597779134882,0,0
264,0.05919087664,0.298597779134882,0,0
265,0.07215941808,0.298597779134882,0,0
266,0.06098719488,0.298597779134882,0,0
267,0.07001259872,0.298597779134882,0,0
268,0.07654068208,0.298597779134882,0,0
269,0.06953065968,0.298597779134882,0,0
270,0.06843534368,0.298597779134882,0,0
271,0.07807412448,0.298597779134882,0,0
