$Weekly Temperature Data for daily run off (Average of all tribs), 
FROM: DCR other spreadsheets (use TribsWQ 'averages' to check), 
JDAY,TEMP (C)
1,1.125343795
5,0.843239192
11,1.153913419
19,2.761911127
27,2.858143734
33,1.746645124
39,1.826334393
53,3.712968058
60,7.352719641
67,4.621474697
76,2.1850308
80,3.599741754
88,3.690227486
94,4.872250429
103,10.42859262
108,13.43047011
117,12.61565394
123,12.35248689
130,11.61772134
138,19.56927937
144,15.3493397
151,14.13868066
158,14.2108185
165,22.09319147
171,21.48587509
179,18.03181984
187,20.87202497
194,19.07638369
200,20.66642124
207,18.09141083
214,19.67135407
222,19.05658554
228,19.0814632
235,20.38782329
243,14.49941924
251,15.423144
257,17.64888403
263,17.80472296
270,18.91200737
277,12.66192877
285,13.31142991
291,9.957803391
300,11.71596321
306,11.56546439
313,6.054083093
320,5.78914554
326,6.211411499
333,5.45586579
340,6.89985458
347,1.117882475
353,2.616332562
365,2.226145946
