$Weekly temp data for Gates, 
FROM: Trib WQ, R (DCR), 
JDAY,TEMP (C)
1,2.89090909090909
5,2.4
11,4
19,5.4
27,5.1
33,3.6
39,4.4
53,7.1
60,8.8
67,7.1
76,4.2
80,5.9
88,4.8
94,4.5
103,9.7
108,12.5
117,11.8
123,11.3
130,10.6
138,17.3
144,12.8
151,12.4
158,12.6
165,17.7
171,18.3
179,15.7
187,17.6
194,16.6
200,18.7
207,16.4
214,16.8
222,16.4
228,16.7
235,18
243,13.3
251,14.4
257,16
263,16.3
270,16.5
277,12.3
285,12.7
291,10.5
300,12
306,12.2
313,6.8
320,7.4
326,8.2
333,7.8
340,8.3
347,2.5
353,5.5
365,5.5
