$Weekly temp data for West Boylston, 
FROM: Trib WQ, R (DCR), 
JDAY,TEMP (C)
1,2.45454545454545
5,1.8
11,2
19,5.8
27,5
33,4.4
39,3.2
53,6.8
60,8.7
67,7.3
76,5.4
80,6.8
88,5.2
94,4.2
103,10.2
108,12.1
117,11.8
123,11.3
130,10.3
138,15.8
144,11.6
151,12.2
158,12.7
165,14.5
171,16.2
179,14.6
187,15.4
194,15.5
200,16.3
207,15.3
214,15.8
222,15.9
228,16.3
235,17.1
243,13.8
251,14.4
257,15.4
263,15.4
270,16.6
277,13.1
285,13.2
291,11.5
300,11.4
306,11.9
313,8.3
320,8.5
326,8.2
333,8.9
340,7.5
347,2.5
353,6.6
365,6.6
