$Constituent data for runoff (Weighted Average of Minor Tribs), , , , , , 
FROM: DCR TribNutrients (check with R script. UV averages off in R due to differences dates of data collected for each trib), , , , , , 
JDAY,TDS,UV254,PO4,NH4,NO3,TOC
1,0,0.165227388,0.009253492,0.027461814,0.370342226,0
2,0,0.165809409,0.009231852,0.027665911,0.370891231,0
3,0,0.166391429,0.009210211,0.027870008,0.371440236,0
4,0,0.166973449,0.009188571,0.028074104,0.371989241,0
5,0,0.167555469,0.009166931,0.028278201,0.372538246,0
6,478.2290702,0.16813749,0.00914529,0.028482298,0.373087251,0
7,163.1972184,0.16871951,0.00912365,0.028686394,0.373636256,0
8,103.4142811,0.16930153,0.00910201,0.028890491,0.374185261,0
9,222.5784996,0.16988355,0.00908037,0.029094588,0.374734266,0
10,418.6250741,0.170465571,0.009058729,0.029298684,0.375283271,0
11,0,0.171047591,0.009037089,0.029502781,0.375832276,0
12,0,0.171629611,0.009015449,0.029706878,0.376381281,0
13,0,0.172211631,0.008993808,0.029910974,0.376930286,0
14,0,0.172793651,0.008972168,0.030115071,0.377479291,0
15,0,0.173375672,0.008950528,0.030319168,0.378028296,0
16,0,0.173957692,0.008928887,0.030523264,0.378577301,0
17,0,0.174539712,0.008907247,0.030727361,0.379126306,0
18,2000,0.175121732,0.008885607,0.030931457,0.379675311,0
19,0,0.174671319,0.008922046,0.030243705,0.379284905,0
20,638.2361353,0.174220906,0.008958486,0.029555952,0.378894498,0
21,135.5324894,0.173770493,0.008994926,0.0288682,0.378504092,0
22,114.5783968,0.17332008,0.009031365,0.028180447,0.378113685,0
23,118.1925446,0.172869667,0.009067805,0.027492694,0.377723279,0
24,474.7086458,0.172419254,0.009104244,0.026804942,0.377332872,0
25,435.2181008,0.171968841,0.009140684,0.026117189,0.376942466,0
26,820.514984,0.171518428,0.009177124,0.025429437,0.376552059,0
27,246.100986,0.171068015,0.009213563,0.024741684,0.376161653,0
28,163.3075978,0.170617602,0.009250003,0.024053931,0.375771246,0
29,125.2276395,0.170167189,0.009286442,0.023366179,0.37538084,0
30,94.83438735,0.169716776,0.009322882,0.022678426,0.374990433,0
31,117.0760525,0.169266363,0.009359322,0.021990674,0.374600027,0
32,202.368403,0.16881595,0.009395761,0.021302921,0.37420962,0
33,2000,0.168365537,0.009432201,0.020615168,0.373819214,0
34,623.8425748,0.167915124,0.009468641,0.019927416,0.373428807,0
35,119.243,0.167464711,0.00950508,0.019239663,0.373038401,0
36,227.1200975,0.167014298,0.00954152,0.01855191,0.372647994,0
37,232.7998285,0.166563885,0.009577959,0.017864158,0.372257588,0
38,927.7857228,0.166113472,0.009614399,0.017176405,0.371867181,0
39,398.3405942,0.165663059,0.009650839,0.016488653,0.371476775,0
40,275.2052139,0.165212646,0.009687278,0.0158009,0.371086369,0
41,281.1727156,0.164762233,0.009723718,0.015113147,0.370695962,0
42,0,0.16431182,0.009760157,0.014425395,0.370305556,0
43,0,0.163861407,0.009796597,0.013737642,0.369915149,0
44,0,0.163410994,0.009833037,0.01304989,0.369524743,0
45,0,0.162960581,0.009869476,0.012362137,0.369134336,0
46,2000,0.161788066,0.009879603,0.012235496,0.369903438,0
47,351.9982433,0.160615551,0.00988973,0.012108856,0.37067254,0
48,142.4519397,0.159443036,0.009899856,0.011982215,0.371441642,0
49,134.5342734,0.158270522,0.009909983,0.011855575,0.372210744,0
50,203.8811553,0.157098007,0.00992011,0.011728934,0.372979846,0
51,2000,0.155925492,0.009930236,0.011602294,0.373748948,0
52,2000,0.154752977,0.009940363,0.011475654,0.37451805,0
53,717.6729465,0.153580462,0.00995049,0.011349013,0.375287152,0
54,433.2187498,0.152407948,0.009960616,0.011222373,0.376056254,0
55,518.7542875,0.151235433,0.009970743,0.011095732,0.376825356,0
56,915.1629688,0.150062918,0.00998087,0.010969092,0.377594458,0
57,704.3010571,0.148890403,0.009990997,0.010842451,0.37836356,0
58,261.8463213,0.147717888,0.010001123,0.010715811,0.379132662,0
59,232.5504347,0.146545373,0.01001125,0.01058917,0.379901763,0
60,307.9848273,0.145372859,0.010021377,0.01046253,0.380670865,0
61,2000,0.144200344,0.010031503,0.010335889,0.381439967,0
62,2000,0.143027829,0.01004163,0.010209249,0.382209069,0
63,1100.95,0.141855314,0.010051757,0.010082608,0.382978171,0
64,313.6700915,0.140682799,0.010061884,0.009955968,0.383747273,0
65,139.9379027,0.139510285,0.01007201,0.009829327,0.384516375,0
66,75.98410373,0.13833777,0.010082137,0.009702687,0.385285477,0
67,87.03915682,0.137165255,0.010092264,0.009576046,0.386054579,0
68,134.3693356,0.13599274,0.01010239,0.009449406,0.386823681,0
69,163.4486741,0.134820225,0.010112517,0.009322765,0.387592783,0
70,74.89905772,0.13364771,0.010122644,0.009196125,0.388361885,0
71,73.51434629,0.132475196,0.01013277,0.009069484,0.389130987,0
72,111.3927885,0.131302681,0.010142897,0.008942844,0.389900089,0
73,370.213305,0.130130166,0.010153024,0.008816203,0.390669191,0
74,221.8390535,0.128957651,0.010163151,0.008689563,0.391438293,0
75,260.3689782,0.127785136,0.010173277,0.008562922,0.392207395,0
76,197.4521782,0.126612622,0.010183404,0.008436282,0.392976497,0
77,234.0651584,0.125440107,0.010193531,0.008309641,0.393745599,0
78,275.061662,0.124267592,0.010203657,0.008183001,0.394514701,0
79,483.5106431,0.123095077,0.010213784,0.00805636,0.395283803,0
80,177.1494747,0.121922562,0.010223911,0.00792972,0.396052905,0
81,111.4957583,0.122985083,0.010179866,0.007949979,0.392892385,0
82,157.5266657,0.124047603,0.010135821,0.007970237,0.389731865,0
83,152.0211813,0.125110124,0.010091776,0.007990496,0.386571345,0
84,119.4774187,0.126172645,0.010047732,0.008010755,0.383410825,0
85,114.8410822,0.127235165,0.010003687,0.008031014,0.380250305,0
86,120.8296122,0.128297686,0.009959642,0.008051272,0.377089785,0
87,217.212008,0.129360206,0.009915597,0.008071531,0.373929265,0
88,226.3139859,0.130422727,0.009871552,0.00809179,0.370768745,0
89,478.657152,0.131485248,0.009827508,0.008112048,0.367608226,0
90,469.2136994,0.132547768,0.009783463,0.008132307,0.364447706,0
91,325.5378193,0.133610289,0.009739418,0.008152566,0.361287186,0
92,273.7723953,0.134672809,0.009695373,0.008172825,0.358126666,0
93,406.1667651,0.13573533,0.009651328,0.008193083,0.354966146,0
94,2000,0.136797851,0.009607284,0.008213342,0.351805626,0
95,468.6338629,0.137860371,0.009563239,0.008233601,0.348645106,0
96,125.8352848,0.138922892,0.009519194,0.00825386,0.345484586,0
97,116.2962803,0.139985412,0.009475149,0.008274118,0.342324066,0
98,173.0011453,0.141047933,0.009431104,0.008294377,0.339163546,0
99,284.6201484,0.142110454,0.00938706,0.008314636,0.336003027,0
100,179.7609593,0.143172974,0.009343015,0.008334894,0.332842507,0
101,87.03070503,0.144235495,0.00929897,0.008355153,0.329681987,0
102,111.744534,0.145298015,0.009254925,0.008375412,0.326521467,0
103,146.5775682,0.146360536,0.00921088,0.008395671,0.323360947,0
104,195.1916044,0.147423057,0.009166835,0.008415929,0.320200427,0
105,173.8368335,0.148485577,0.009122791,0.008436188,0.317039907,0
106,261.7274382,0.149548098,0.009078746,0.008456447,0.313879387,0
107,1253.976593,0.150610618,0.009034701,0.008476706,0.310718867,0
108,782.6319339,0.151673139,0.008990656,0.008496964,0.307558348,0
109,2000,0.152735659,0.008946611,0.008517223,0.304397828,0
110,2000,0.15379818,0.008902567,0.008537482,0.301237308,0
111,2000,0.154860701,0.008858522,0.00855774,0.298076788,0
112,0,0.155923221,0.008814477,0.008577999,0.294916268,0
113,0,0.156985742,0.008770432,0.008598258,0.291755748,0
114,0,0.158048262,0.008726387,0.008618517,0.288595228,0
115,193.6794627,0.162634882,0.008889342,0.00880666,0.285938357,0
116,261.0558685,0.167221501,0.009052297,0.008994804,0.283281486,0
117,343.1557477,0.171808121,0.009215252,0.009182948,0.280624614,0
118,282.4154388,0.17639474,0.009378207,0.009371092,0.277967743,0
119,173.5556461,0.180981359,0.009541162,0.009559236,0.275310872,0
120,119.0686973,0.185567979,0.009704117,0.00974738,0.272654001,0
121,71.02581529,0.190154598,0.009867072,0.009935523,0.269997129,0
122,62.37788444,0.194741218,0.010030027,0.010123667,0.267340258,0
123,62.532551,0.199327837,0.010192982,0.010311811,0.264683387,0
124,91.7091842,0.203914456,0.010355937,0.010499955,0.262026515,0
125,75.96460464,0.208501076,0.010518892,0.010688099,0.259369644,0
126,63.62441629,0.213087695,0.010681847,0.010876243,0.256712773,0
127,64.6312623,0.217674314,0.010844802,0.011064386,0.254055902,0
128,61.25037146,0.222260934,0.011007757,0.01125253,0.25139903,0
129,58.89024639,0.226847553,0.011170712,0.011440674,0.248742159,0
130,74.11196099,0.231434173,0.011333667,0.011628818,0.246085288,0
131,71.04219017,0.236020792,0.011496622,0.011816962,0.243428416,0
132,62.57922082,0.240607411,0.011659577,0.012005106,0.240771545,0
133,48.53165296,0.245194031,0.011822532,0.012193249,0.238114674,0
134,65.24138827,0.24978065,0.011985487,0.012381393,0.235457803,0
135,92.14963894,0.25436727,0.012148442,0.012569537,0.232800931,0
136,2000,0.258953889,0.012311397,0.012757681,0.23014406,0
137,387.9192748,0.263540508,0.012474352,0.012945825,0.227487189,0
138,248.1524999,0.260749029,0.012431731,0.013186327,0.230967171,0
139,213.7283498,0.257957549,0.012389109,0.013426829,0.234447153,0
140,0,0.255166069,0.012346488,0.013667332,0.237927135,0
141,0,0.25237459,0.012303867,0.013907834,0.241407118,0
142,0,0.24958311,0.012261246,0.014148337,0.2448871,0
143,1722.519312,0.24679163,0.012218625,0.014388839,0.248367082,0
144,0,0.24400015,0.012176004,0.014629341,0.251847064,0
145,0,0.241208671,0.012133382,0.014869844,0.255327047,0
146,2000,0.238417191,0.012090761,0.015110346,0.258807029,0
147,54.50978489,0.235625711,0.01204814,0.015350848,0.262287011,0
148,52.33209889,0.232834232,0.012005519,0.015591351,0.265766993,0
149,92.90508628,0.230042752,0.011962898,0.015831853,0.269246975,0
150,0,0.227251272,0.011920277,0.016072356,0.272726958,0
151,0,0.224459793,0.011877656,0.016312858,0.27620694,0
152,0,0.221668313,0.011835034,0.01655336,0.279686922,0
153,2000,0.218876833,0.011792413,0.016793863,0.283166904,0
154,306.9530638,0.216085353,0.011749792,0.017034365,0.286646886,0
155,406.0425777,0.213293874,0.011707171,0.017274867,0.290126869,0
156,530.1944577,0.210502394,0.01166455,0.01751537,0.293606851,0
157,0,0.207710914,0.011621929,0.017755872,0.297086833,0
158,0,0.204919435,0.011579308,0.017996374,0.300566815,0
159,0,0.202127955,0.011536686,0.018236877,0.304046798,0
160,0,0.199336475,0.011494065,0.018477379,0.30752678,0
161,67.15821247,0.196544996,0.011451444,0.018717882,0.311006762,0
162,55.06219383,0.193753516,0.011408823,0.018958384,0.314486744,0
163,74.35898615,0.190962036,0.011366202,0.019198886,0.317966726,0
164,49.24417998,0.188170556,0.011323581,0.019439389,0.321446709,0
165,34.86355806,0.185379077,0.01128096,0.019679891,0.324926691,0
166,18.094016,0.182587597,0.011238338,0.019920393,0.328406673,0
167,15.62924201,0.179796117,0.011195717,0.020160896,0.331886655,0
168,17.70715543,0.177004638,0.011153096,0.020401398,0.335366638,0
169,33.89284493,0.174213158,0.011110475,0.020641901,0.33884662,0
170,94.32092707,0.171421678,0.011067854,0.020882403,0.342326602,0
171,31.95734238,0.168630199,0.011025233,0.021122905,0.345806584,0
172,12.20909144,0.165838719,0.010982612,0.021363408,0.349286566,0
173,4.164453153,0.166260879,0.011243344,0.021471649,0.347745563,0
174,2.024934949,0.166683039,0.011504076,0.021579889,0.34620456,0
175,22.39237207,0.1671052,0.011764808,0.02168813,0.344663557,0
176,74.0485035,0.16752736,0.01202554,0.021796371,0.343122554,0
177,40.42302077,0.16794952,0.012286272,0.021904612,0.341581551,0
178,21.71190857,0.16837168,0.012547004,0.022012853,0.340040548,0
179,58.37038001,0.168793841,0.012807736,0.022121094,0.338499545,0
180,35.21779453,0.169216001,0.013068468,0.022229335,0.336958542,0
181,25.3498336,0.169638161,0.0133292,0.022337576,0.335417539,0
182,15.24439077,0.170060322,0.013589932,0.022445817,0.333876536,0
183,14.16313206,0.170482482,0.013850664,0.022554058,0.332335533,0
184,10.9167898,0.170904642,0.014111396,0.022662299,0.33079453,0
185,11.23355271,0.171326802,0.014372128,0.022770539,0.329253527,0
186,8.837168288,0.171748963,0.01463286,0.02287878,0.327712524,0
187,9.44814065,0.172171123,0.014893592,0.022987021,0.326171521,0
188,7.391644676,0.172593283,0.015154324,0.023095262,0.324630518,0
189,5.789594743,0.173015443,0.015415056,0.023203503,0.323089515,0
190,4.866599861,0.173437604,0.015675788,0.023311744,0.321548512,0
191,4.546888484,0.173859764,0.01593652,0.023419985,0.320007509,0
192,6.268444231,0.174281924,0.016197252,0.023528226,0.318466506,0
193,5.437215892,0.174704085,0.016457984,0.023636467,0.316925503,0
194,4.450612203,0.175126245,0.016718716,0.023744708,0.3153845,0
195,3.366422535,0.175548405,0.016979448,0.023852948,0.313843497,0
196,2.552932636,0.175970565,0.01724018,0.023961189,0.312302494,0
197,3.896510718,0.176392726,0.017500912,0.02406943,0.310761491,0
198,45.43758865,0.176814886,0.017761644,0.024177671,0.309220488,0
199,41.06724304,0.184121755,0.017813913,0.023911616,0.302132229,0
200,9.242989623,0.191428623,0.017866183,0.023645562,0.29504397,0
201,4.911247413,0.198735492,0.017918452,0.023379507,0.287955712,0
202,10.23673263,0.206042361,0.017970721,0.023113452,0.280867453,0
203,23.07244775,0.213349229,0.01802299,0.022847397,0.273779195,0
204,27.26145824,0.220656098,0.018075259,0.022581343,0.266690936,0
205,20.16054102,0.227962967,0.018127529,0.022315288,0.259602678,0
206,17.86475931,0.235269836,0.018179798,0.022049233,0.252514419,0
207,114.2365055,0.242576704,0.018232067,0.021783178,0.245426161,0
208,714.885519,0.249883573,0.018284336,0.021517124,0.238337902,0
209,50.70237021,0.257190442,0.018336605,0.021251069,0.231249643,0
210,35.23672758,0.26449731,0.018388874,0.020985014,0.224161385,0
211,28.38607483,0.271804179,0.018441144,0.020718959,0.217073126,0
212,16.33866012,0.279111048,0.018493413,0.020452905,0.209984868,0
213,14.16876848,0.286417916,0.018545682,0.02018685,0.202896609,0
214,16.06636158,0.293724785,0.018597951,0.019920795,0.195808351,0
215,57.61105466,0.301031654,0.01865022,0.01965474,0.188720092,0
216,48.98848186,0.308338523,0.01870249,0.019388686,0.181631834,0
217,42.9476916,0.315645391,0.018754759,0.019122631,0.174543575,0
218,37.79517667,0.32295226,0.018807028,0.018856576,0.167455316,0
219,23.92624794,0.330259129,0.018859297,0.018590521,0.160367058,0
220,18.81504746,0.337565997,0.018911566,0.018324467,0.153278799,0
221,22.9592056,0.344872866,0.018963836,0.018058412,0.146190541,0
222,13.65888998,0.352179735,0.019016105,0.017792357,0.139102282,0
223,19.15111554,0.359486603,0.019068374,0.017526302,0.132014024,0
224,104.5729468,0.366793472,0.019120643,0.017260247,0.124925765,0
225,109.182802,0.374100341,0.019172912,0.016994193,0.117837506,0
226,2000,0.38140721,0.019225182,0.016728138,0.110749248,0
227,177.535412,0.377123927,0.018976437,0.016633967,0.114827589,0
228,94.38561505,0.372840644,0.018727693,0.016539796,0.11890593,0
229,53.7001595,0.368557361,0.018478948,0.016445625,0.122984271,0
230,496.0130752,0.364274079,0.018230204,0.016351454,0.127062612,0
231,254.3401259,0.359990796,0.01798146,0.016257282,0.131140953,0
232,59.62902525,0.355707513,0.017732715,0.016163111,0.135219295,0
233,46.7584596,0.351424231,0.017483971,0.01606894,0.139297636,0
234,83.82640427,0.347140948,0.017235226,0.015974769,0.143375977,0
235,2000,0.342857665,0.016986482,0.015880598,0.147454318,0
236,215.499402,0.338574383,0.016737738,0.015786427,0.151532659,0
237,59.98672469,0.3342911,0.016488993,0.015692256,0.155611,0
238,25.82240557,0.330007817,0.016240249,0.015598085,0.159689341,0
239,20.71512321,0.325724534,0.015991505,0.015503914,0.163767682,0
240,19.748802,0.321441252,0.01574276,0.015409742,0.167846024,0
241,20.7767331,0.317157969,0.015494016,0.015315571,0.171924365,0
242,14.52269189,0.312874686,0.015245271,0.0152214,0.176002706,0
243,10.35969338,0.308591404,0.014996527,0.015127229,0.180081047,0
244,7.93745562,0.304308121,0.014747783,0.015033058,0.184159388,0
245,7.807668235,0.300024838,0.014499038,0.014938887,0.188237729,0
246,8.550547611,0.295741556,0.014250294,0.014844716,0.19231607,0
247,7.220673188,0.291458273,0.01400155,0.014750545,0.196394411,0
248,5.486616044,0.28717499,0.013752805,0.014656373,0.200472752,0
249,5.720215436,0.282891707,0.013504061,0.014562202,0.204551094,0
250,9.512774497,0.278608425,0.013255316,0.014468031,0.208629435,0
251,7.269090509,0.274325142,0.013006572,0.01437386,0.212707776,0
252,7.814050093,0.270041859,0.012757828,0.014279689,0.216786117,0
253,10.48706863,0.265758577,0.012509083,0.014185518,0.220864458,0
254,138.9147742,0.261475294,0.012260339,0.014091347,0.224942799,0
255,100.9862687,0.257192011,0.012011594,0.013997176,0.22902114,0
256,83.39248585,0.252908729,0.01176285,0.013903005,0.233099481,0
257,69.22688307,0.248625446,0.011514106,0.013808833,0.237177822,0
258,35.63016661,0.244342163,0.011265361,0.013714662,0.241256164,0
259,26.98766692,0.24005888,0.011016617,0.013620491,0.245334505,0
260,28.29940351,0.235775598,0.010767873,0.01352632,0.249412846,0
261,0,0.231492315,0.010519128,0.013432149,0.253491187,0
262,0,0.227209032,0.010270384,0.013337978,0.257569528,0
263,0,0.22292575,0.010021639,0.013243807,0.261647869,0
264,0,0.218642467,0.009772895,0.013149636,0.26572621,0
265,582.690736,0.214359184,0.009524151,0.013055465,0.269804551,0
266,125.0900233,0.210075902,0.009275406,0.012961293,0.273882892,0
267,40.52233842,0.205792619,0.009026662,0.012867122,0.277961234,0
268,59.18532096,0.201509336,0.008777918,0.012772951,0.282039575,0
269,208.7274914,0.201400973,0.008752283,0.012818382,0.283048973,0
270,902.0550491,0.201292609,0.008726648,0.012863813,0.284058371,0
271,285.9649393,0.201184245,0.008701013,0.012909244,0.285067769,0
272,175.2720461,0.201075882,0.008675379,0.012954675,0.286077167,0
273,120.8106962,0.200967518,0.008649744,0.013000107,0.287086565,0
274,599.7379331,0.200859155,0.008624109,0.013045538,0.288095964,0
275,0,0.200750791,0.008598475,0.013090969,0.289105362,0
276,928.6311466,0.200642427,0.00857284,0.0131364,0.29011476,0
277,215.4108921,0.200534064,0.008547205,0.013181831,0.291124158,0
278,60.95312527,0.2004257,0.008521571,0.013227262,0.292133556,0
279,81.49805453,0.200317337,0.008495936,0.013272693,0.293142954,0
280,45.90358505,0.200208973,0.008470301,0.013318124,0.294152353,0
281,55.32828718,0.200100609,0.008444667,0.013363555,0.295161751,0
282,27.02588615,0.199992246,0.008419032,0.013408986,0.296171149,0
283,29.01163738,0.199883882,0.008393397,0.013454417,0.297180547,0
284,40.99566728,0.199775519,0.008367763,0.013499848,0.298189945,0
285,169.7829308,0.199667155,0.008342128,0.013545279,0.299199343,0
286,87.73969021,0.199558791,0.008316493,0.01359071,0.300208741,0
287,61.43914491,0.199450428,0.008290859,0.013636141,0.30121814,0
288,66.67885423,0.199342064,0.008265224,0.013681572,0.302227538,0
289,43.80015128,0.199233701,0.008239589,0.013727003,0.303236936,0
290,62.07192014,0.199125337,0.008213955,0.013772434,0.304246334,0
291,44.45437459,0.199016974,0.00818832,0.013817865,0.305255732,0
292,58.32894958,0.19890861,0.008162685,0.013863297,0.30626513,0
293,45.23375925,0.198800246,0.008137051,0.013908728,0.307274529,0
294,35.45528374,0.198691883,0.008111416,0.013954159,0.308283927,0
295,34.69939136,0.198583519,0.008085781,0.01399959,0.309293325,0
296,26.9280205,0.198475156,0.008060147,0.014045021,0.310302723,0
297,34.28204862,0.198366792,0.008034512,0.014090452,0.311312121,0
298,37.44425321,0.198258428,0.008008877,0.014135883,0.312321519,0
299,27.30677213,0.198150065,0.007983242,0.014181314,0.313330917,0
300,41.61022511,0.198041701,0.007957608,0.014226745,0.314340316,0
301,108.4124771,0.197933338,0.007931973,0.014272176,0.315349714,0
302,152.3018228,0.197824974,0.007906338,0.014317607,0.316359112,0
303,87.62367853,0.19771661,0.007880704,0.014363038,0.31736851,0
304,60.41951704,0.197608247,0.007855069,0.014408469,0.318377908,0
305,86.64187925,0.197499883,0.007829434,0.0144539,0.319387306,0
306,95.80371088,0.19739152,0.0078038,0.014499331,0.320396705,0
307,649.5716105,0.197283156,0.007778165,0.014544762,0.321406103,0
308,961.5723952,0.197174793,0.00775253,0.014590193,0.322415501,0
309,242.3211341,0.197066429,0.007726896,0.014635624,0.323424899,0
310,180.5962209,0.196958065,0.007701261,0.014681055,0.324434297,0
311,163.5458349,0.196849702,0.007675626,0.014726487,0.325443695,0
312,122.1779355,0.196741338,0.007649992,0.014771918,0.326453094,0
313,66.19699814,0.196632975,0.007624357,0.014817349,0.327462492,0
314,126.8131632,0.196524611,0.007598722,0.01486278,0.32847189,0
315,80.44670794,0.196416247,0.007573088,0.014908211,0.329481288,0
316,87.04970494,0.196307884,0.007547453,0.014953642,0.330490686,0
317,227.9380542,0.19619952,0.007521818,0.014999073,0.331500084,0
318,473.4858265,0.196091157,0.007496184,0.015044504,0.332509482,0
319,172.3553301,0.195982793,0.007470549,0.015089935,0.333518881,0
320,134.1781204,0.195874429,0.007444914,0.015135366,0.334528279,0
321,151.893118,0.195766066,0.00741928,0.015180797,0.335537677,0
322,174.0402243,0.195657702,0.007393645,0.015226228,0.336547075,0
323,133.0478114,0.195549339,0.00736801,0.015271659,0.337556473,0
324,154.732073,0.195440975,0.007342376,0.01531709,0.338565871,0
325,138.8976544,0.193903246,0.007401352,0.015649754,0.340570836,0
326,91.35791882,0.192365518,0.007460328,0.015982417,0.3425758,0
327,70.75516764,0.190827789,0.007519304,0.01631508,0.344580765,0
328,56.61763066,0.18929006,0.007578281,0.016647744,0.346585729,0
329,85.00046377,0.187752331,0.007637257,0.016980407,0.348590694,0
330,116.2496573,0.186214602,0.007696233,0.017313071,0.350595658,0
331,442.9890233,0.184676874,0.007755209,0.017645734,0.352600622,0
332,278.4067912,0.183139145,0.007814186,0.017978397,0.354605587,0
