$Stillwater (sb) inflow constituents, , , , , ,
FROM: Trib WQ, R (DCR), , , , , 
JDAY,TDS,,,,,
1,93.6,,,,,
2,94.2,,,,,
3,94.2,,,,,
4,94.8,,,,,
5,95.4,,,,,
6,96,,,,,
7,96.6,,,,,
8,96.6,,,,,
9,96,,,,,
10,96,,,,,
11,94.2,,,,,
12,101.4,,,,,
13,71.4,,,,,
14,60,,,,,
15,66,,,,,
16,70.8,,,,,
17,71.4,,,,,
18,72.6,,,,,
19,73.8,,,,,
20,75.6,,,,,
21,74.4,,,,,
22,74.4,,,,,
23,81,,,,,
24,78,,,,,
25,74.4,,,,,
26,75,,,,,
27,78,,,,,
28,78.6,,,,,
29,78.6,,,,,
30,79.2,,,,,
31,81,,,,,
32,81.6,,,,,
33,85.8,,,,,
34,87,,,,,
35,91.2,,,,,
36,90,,,,,
37,89.4,,,,,
38,90,,,,,
39,90.6,,,,,
40,96,,,,,
41,99.6,,,,,
42,98.4,,,,,
43,67.2,,,,,
44,70.8,,,,,
45,77.4,,,,,
46,79.8,,,,,
47,79.8,,,,,
48,78,,,,,
49,78.6,,,,,
50,79.2,,,,,
51,79.2,,,,,
52,72,,,,,
53,70.8,,,,,
54,73.8,,,,,
55,75.6,,,,,
56,81,,,,,
57,75.6,,,,,
58,76.8,,,,,
59,79.8,,,,,
60,82.8,,,,,
61,87,,,,,
62,68.4,,,,,
63,70.2,,,,,
64,77.4,,,,,
65,82.2,,,,,
66,85.2,,,,,
67,85.2,,,,,
68,84,,,,,
69,88.2,,,,,
70,90,,,,,
71,90.6,,,,,
72,90,,,,,
73,91.2,,,,,
74,92.4,,,,,
75,92.4,,,,,
76,92.4,,,,,
77,97.8,,,,,
78,101.4,,,,,
79,102,,,,,
80,102.6,,,,,
81,102.6,,,,,
82,102,,,,,
83,100.2,,,,,
84,98.4,,,,,
85,99,,,,,
86,99,,,,,
87,97.8,,,,,
88,94.8,,,,,
89,84.6,,,,,
90,78,,,,,
91,79.8,,,,,
92,82.8,,,,,
93,87,,,,,
94,87,,,,,
95,81.6,,,,,
96,82.8,,,,,
97,85.8,,,,,
98,86.4,,,,,
99,87.6,,,,,
100,88.8,,,,,
101,91.2,,,,,
102,93,,,,,
103,91.2,,,,,
104,93.6,,,,,
105,93.6,,,,,
106,97.8,,,,,
107,69,,,,,
108,69,,,,,
109,75,,,,,
110,79.8,,,,,
111,84,,,,,
112,85.8,,,,,
113,87.6,,,,,
114,87,,,,,
115,90,,,,,
116,82.2,,,,,
117,78.6,,,,,
118,78.6,,,,,
119,80.4,,,,,
120,81.6,,,,,
121,82.2,,,,,
122,83.4,,,,,
123,86.4,,,,,
124,90,,,,,
125,91.8,,,,,
126,92.4,,,,,
127,91.8,,,,,
128,90.6,,,,,
129,91.2,,,,,
130,92.4,,,,,
131,92.4,,,,,
132,94.8,,,,,
133,97.2,,,,,
134,95.4,,,,,
135,96.6,,,,,
136,96,,,,,
137,96,,,,,
138,97.2,,,,,
139,97.8,,,,,
140,97.2,,,,,
141,95.4,,,,,
142,97.8,,,,,
143,100.8,,,,,
144,102.6,,,,,
145,104.4,,,,,
146,108,,,,,
147,112.2,,,,,
148,112.2,,,,,
149,118.8,,,,,
150,115.8,,,,,
151,114,,,,,
152,116.4,,,,,
153,118.2,,,,,
154,117.6,,,,,
155,117,,,,,
156,129.6,,,,,
157,127.8,,,,,
158,124.2,,,,,
159,118.8,,,,,
160,117,,,,,
161,120,,,,,
162,126.6,,,,,
163,136.8,,,,,
164,141,,,,,
165,147,,,,,
166,151.8,,,,,
167,159,,,,,
168,154.2,,,,,
169,152.4,,,,,
170,159,,,,,
171,158.4,,,,,
172,152.4,,,,,
173,154.2,,,,,
174,151.2,,,,,
175,158.4,,,,,
176,154.2,,,,,
177,139.8,,,,,
178,138,,,,,
179,138.6,,,,,
180,150.6,,,,,
181,169.8,,,,,
182,130.8,,,,,
183,130.2,,,,,
184,134.4,,,,,
185,138.6,,,,,
186,142.2,,,,,
187,136.8,,,,,
188,131.4,,,,,
189,130.2,,,,,
190,133.8,,,,,
191,136.2,,,,,
192,150.6,,,,,
193,159,,,,,
194,167.4,,,,,
195,226.2,,,,,
196,293.4,,,,,
197,332.4,,,,,
198,330.6,,,,,
199,308.4,,,,,
200,219.6,,,,,
201,168,,,,,
202,174.6,,,,,
203,181.8,,,,,
204,181.8,,,,,
205,182.4,,,,,
206,182.4,,,,,
207,185.4,,,,,
208,184.8,,,,,
209,180.6,,,,,
210,179.4,,,,,
211,178.8,,,,,
212,177,,,,,
213,178.2,,,,,
214,176.58,,,,,
215,174.96,,,,,
216,173.34,,,,,
217,171.72,,,,,
218,170.1,,,,,
219,168.48,,,,,
220,166.86,,,,,
221,165.24,,,,,
222,163.62,,,,,
223,162,,,,,
224,160.38,,,,,
225,158.76,,,,,
226,157.14,,,,,
227,155.52,,,,,
228,153.9,,,,,
229,152.28,,,,,
230,150.66,,,,,
231,149.04,,,,,
232,147.42,,,,,
233,145.8,,,,,
234,144.18,,,,,
235,142.56,,,,,
236,140.94,,,,,
237,139.32,,,,,
238,137.7,,,,,
239,136.08,,,,,
240,134.46,,,,,
241,132.84,,,,,
242,131.22,,,,,
243,129.6,,,,,
244,136.2,,,,,
245,141,,,,,
246,145.2,,,,,
247,150.6,,,,,
248,172.2,,,,,
249,172.2,,,,,
250,138,,,,,
251,130.2,,,,,
252,140.4,,,,,
253,147,,,,,
254,161.4,,,,,
255,160.2,,,,,
256,184.2,,,,,
257,162,,,,,
258,131.4,,,,,
259,144,,,,,
260,118.2,,,,,
261,116.4,,,,,
262,51,,,,,
263,56.4,,,,,
264,63,,,,,
265,71.4,,,,,
266,78,,,,,
267,84.6,,,,,
268,94.2,,,,,
269,74.4,,,,,
270,62.4,,,,,
271,60.6,,,,,
272,64.8,,,,,
273,68.4,,,,,
274,73.2,,,,,
275,78.6,,,,,
276,78,,,,,
277,73.2,,,,,
278,114.6,,,,,
279,136.8,,,,,
280,92.4,,,,,
281,97.2,,,,,
282,108.6,,,,,
283,109.8,,,,,
284,118.8,,,,,
285,79.2,,,,,
286,67.2,,,,,
287,69.6,,,,,
288,73.2,,,,,
289,75,,,,,
290,76.8,,,,,
291,79.2,,,,,
292,81.6,,,,,
293,85.2,,,,,
294,86.4,,,,,
295,88.2,,,,,
296,89.4,,,,,
297,87.6,,,,,
298,87.6,,,,,
299,89.4,,,,,
300,93.6,,,,,
301,79.2,,,,,
302,68.4,,,,,
303,67.2,,,,,
304,69,,,,,
305,58.2,,,,,
306,66,,,,,
307,57,,,,,
308,45,,,,,
309,52.8,,,,,
310,57.6,,,,,
311,52.8,,,,,
312,55.2,,,,,
313,60.6,,,,,
314,57.6,,,,,
315,54.6,,,,,
316,59.4,,,,,
317,60,,,,,
318,49.8,,,,,
319,54,,,,,
320,58.8,,,,,
321,63,,,,,
322,70.8,,,,,
323,72,,,,,
324,66.6,,,,,
325,65.4,,,,,
326,69,,,,,
327,75.6,,,,,
328,78,,,,,
329,79.8,,,,,
330,78.6,,,,,
331,83.4,,,,,
332,96,,,,,
333,100.8,,,,,
334,117,,,,,
335,175.8,,,,,
336,204.6,,,,,
337,112.2,,,,,
338,138,,,,,
339,136.8,,,,,
340,143.4,,,,,
341,171,,,,,
342,205.8,,,,,
343,244.8,,,,,
344,267.6,,,,,
345,254.4,,,,,
346,282.6,,,,,
347,291,,,,,
348,289.8,,,,,
349,268.8,,,,,
350,255.6,,,,,
351,263.4,,,,,
352,174.6,,,,,
353,121.8,,,,,
354,109.2,,,,,
355,137.4,,,,,
356,236.4,,,,,
357,240.6,,,,,
358,265.8,,,,,
359,286.2,,,,,
360,312.6,,,,,
361,326.4,,,,,
362,332.4,,,,,
363,298.8,,,,,
364,295.8,,,,,
365,307.8,,,,,
