$Waushacum (Frbk)  inflow constituents, , , , , 
FROM: Trib WQ, R (DCR), , , , , 
JDAY,TDS,UV254,PO4,NH4,NO3
1,279.398181818182,0.159673333333333,0.0108766666666667,0.0269066666666667,0.0548533333333333
10,280.38,0.160693333333333,0.0103066666666667,0.0255266666666667,0.0726133333333333
18,264.951428571429,0.1616,0.0098,0.0243,0.0884
24,253.38,0.1652,0.01125,0.0414,0.215
36,261.54,0.138,0.00995,0.0223,0.106
45,244.44,0.1495,0.01005,0.0121,0.147
51,233.04,0.145214285714286,0.01011,0.0104542857142857,0.141171428571429
64,228.96,0.135928571428571,0.01024,0.00688857142857143,0.128542857142857
78,254.88,0.125928571428571,0.01038,0.00304857142857143,0.114942857142857
80,253.568571428571,0.1245,0.0104,0.0025,0.113
92,245.7,0.1293,0.00953529411764706,0.00348823529411765,0.0826470588235294
109,220.32,0.1361,0.00831029411764706,0.00488823529411765,0.0396470588235294
114,226.37,0.1381,0.00795,0.0053,0.027
127,242.1,0.17834347826087,0.00826086956521739,0.00535652173913044,0.0158086956521739
137,223.65,0.2093,0.0085,0.0054,0.0072
143,212.58,0.206951428571429,0.00879142857142857,0.00567428571428571,0.00822857142857143
158,258.12,0.20108,0.00952,0.00636,0.0108
171,274.02,0.195991428571429,0.0101514285714286,0.00695428571428571,0.0130285714285714
172,276.249230769231,0.1956,0.0102,0.007,0.0132
184,303,0.199753846153846,0.0111923076923077,0.00492307692307692,0.0112153846153846
198,265.2,0.2046,0.01235,0.0025,0.0089
199,262.5,0.205895238095238,0.0125047619047619,0.0025,0.00879047619047619
218,234,0.230504761904762,0.0154452380952381,0.0025,0.00670952380952381
219,234.405714285714,0.2318,0.0156,0.0025,0.0066
226,237.245714285714,0.2971,0.0098,0.0025,0.0055
239,242.52,0.261504761904762,0.00846904761904762,0.0025,0.00457142857142857
253,267.42,0.223171428571429,0.00703571428571429,0.0025,0.00357142857142857
267,248.22,0.184838095238095,0.00560238095238095,0.0025,0.00257142857142857
268,247.43625,0.1821,0.0055,0.0025,0.0025
283,235.68,0.220073684210526,0.00664473684210526,0.00652631578947368,0.00471052631578947
287,234.6,0.2302,0.00695,0.0076,0.0053
297,231.9,0.220091891891892,0.00678783783783784,0.00797837837837838,0.0400837837837838
311,187.8,0.205940540540541,0.00656081081081081,0.00850810810810811,0.0887810810810811
323,200.1,0.193810810810811,0.00636621621621622,0.00896216216216216,0.130521621621622
324,198.664285714286,0.1928,0.00635,0.009,0.134
337,180,0.180171428571429,0.00704642857142857,0.0168928571428571,0.142357142857143
351,172.2,0.166571428571429,0.00779642857142857,0.0253928571428571,0.151357142857143
352,200.4,0.1656,0.00785,0.026,0.152
365,196.25625,0.158875862068966,0.00764827586206897,0.0274793103448276,0.169034482758621
