$Malden inflow constituents, , , , , 
FROM: Trib WQ, R (DCR), , , , , 
JDAY,TDS,UV254,PO4,NH4,NO3
1,238.575,0.144063333333333,0.00781333333333333,0.02695,0.5314
18,224.55,0.1686,0.0077,0.0465,0.528
24,219.6,0.166133333333333,0.00817777777777778,0.0391,0.497555555555556
36,229.74,0.1612,0.00913333333333333,0.0243,0.436666666666667
45,210.624,0.1575,0.00985,0.0132,0.391
51,197.88,0.145414285714286,0.0103471428571429,0.0132342857142857,0.407971428571429
64,180.72,0.119228571428571,0.0114242857142857,0.0133085714285714,0.444742857142857
78,243.42,0.0910285714285714,0.0125842857142857,0.0133885714285714,0.484342857142857
80,241.56,0.087,0.01275,0.0134,0.49
92,230.4,0.109270588235294,0.0115676470588235,0.0106470588235294,0.427882352941176
109,183.9,0.140820588235294,0.00989264705882353,0.00674705882352941,0.339882352941176
114,196.816666666667,0.1501,0.0094,0.0056,0.314
127,230.4,0.193169565217391,0.0133282608695652,0.00983913043478261,0.342260869565217
137,239.4,0.2263,0.01635,0.0131,0.364
143,244.8,0.195545714285714,0.0152185714285714,0.0112828571428571,0.422971428571429
158,249.12,0.11866,0.01239,0.00674,0.5704
171,275.4,0.0520257142857143,0.00993857142857143,0.00280285714285714,0.698171428571429
172,275.201538461538,0.0469,0.00975,0.0025,0.708
184,272.82,0.0471307692307692,0.00845769230769231,0.0025,0.651230769230769
198,241.18,0.0474,0.00695,0.0025,0.585
199,238.92,0.0474142857142857,0.00675,0.0025,0.583428571428571
218,259.56,0.0476857142857143,0.00295,0.0025,0.553571428571429
219,258.271428571429,0.0477,0.00275,0.0025,0.552
226,249.251428571429,0.4406,0.02255,0.0051,0.17
239,232.5,0.324064285714286,0.0168702380952381,0.0042952380952381,0.301547619047619
253,264.72,0.198564285714286,0.0107535714285714,0.00342857142857143,0.443214285714286
267,250.92,0.0730642857142857,0.00463690476190476,0.00256190476190476,0.584880952380952
268,248.1,0.0641,0.0042,0.0025,0.595
283,205.8,0.246885714285714,0.0097,0.0025,0.348571428571429
289,208.114285714286,0.32,0.0119,0.0025,0.25
297,211.2,0.286651428571429,0.0105285714285714,0.00544857142857143,0.292971428571429
311,140.64,0.228291428571429,0.00812857142857143,0.0106085714285714,0.368171428571429
323,184.2,0.178268571428571,0.00607142857142857,0.0150314285714286,0.432628571428571
324,173.7,0.1741,0.0059,0.0154,0.438
337,161.1,0.139185714285714,0.00743214285714286,0.0221785714285714,0.464928571428571
351,189.36,0.101585714285714,0.00908214285714286,0.0294785714285714,0.493928571428571
352,200.76,0.0989,0.0092,0.03,0.496
365,193.78875,0.0898,0.00823620689655172,0.0240379310344828,0.597310344827586
