$French inflow constituents, , , , , 
FROM: Trib WQ, R (DCR), , , , , 
JDAY,TDS,UV254,PO4,NH4,NO3
1,191.631818181818,0.233833333333333,0.00994333333333333,0.01591,0.240133333333333
10,188.22,0.234133333333333,0.00997333333333333,0.02194,0.293533333333333
18,153.214285714286,0.2344,0.01,0.0273,0.341
24,126.96,0.2212,0.00971111111111111,0.0224555555555556,0.322777777777778
36,158.1,0.1948,0.00913333333333333,0.0127666666666667,0.286333333333333
45,156.228,0.175,0.0087,0.0055,0.259
51,154.98,0.173234285714286,0.00864,0.00498571428571429,0.256085714285714
64,133.92,0.169408571428571,0.00851,0.00387142857142857,0.249771428571429
78,175.26,0.165288571428571,0.00837,0.00267142857142857,0.242971428571429
80,174.745714285714,0.1647,0.00835,0.0025,0.242
92,171.66,0.182770588235294,0.00958529411764706,0.00924117647058824,0.220823529411765
109,153.12,0.208370588235294,0.0113352941176471,0.0187911764705882,0.190823529411765
114,158.92,0.2159,0.01185,0.0216,0.182
127,174,0.30164347826087,0.0155239130434783,0.022504347826087,0.109086956521739
137,188.6625,0.3676,0.01835,0.0232,0.053
143,197.46,0.37348,0.0186671428571429,0.0291142857142857,0.0508057142857143
158,191.34,0.38818,0.01946,0.0439,0.04532
171,313.56,0.40092,0.0201471428571429,0.0567142857142857,0.0405657142857143
172,307.403076923077,0.4019,0.0202,0.0577,0.0402
184,233.52,0.425576923076923,0.0411076923076923,0.0799923076923077,0.0508153846153846
198,169.68,0.4532,0.0655,0.106,0.0632
199,165.12,0.452428571428571,0.0633428571428571,0.103647619047619,0.0617380952380952
218,282.96,0.437771428571429,0.0223571428571429,0.058952380952381,0.0339619047619048
219,279.325714285714,0.437,0.0202,0.0566,0.0325
226,253.885714285714,0.4814,0.0252,0.0379,0.0166
239,206.64,0.399407142857143,0.0197214285714286,0.0335357142857143,0.0268142857142857
240,212.622857142857,0.3931,0.0193,0.0332,0.0276
253,290.4,0.351082142857143,0.0148196428571429,0.02085,0.0206357142857143
267,180.12,0.305832142857143,0.00999464285714286,0.00755,0.0131357142857143
268,178.57875,0.3026,0.00965,0.0066,0.0126
283,155.46,0.350284210526316,0.0105578947368421,0.0126789473684211,0.068021052631579
287,156.505714285714,0.363,0.0108,0.0143,0.0828
297,159.12,0.324567567567568,0.00938108108108108,0.0111108108108108,0.137178378378378
311,105.6,0.270762162162162,0.00739459459459459,0.00664594594594595,0.213308108108108
323,121.08,0.224643243243243,0.00569189189189189,0.00281891891891892,0.278562162162162
324,117.218571428571,0.2208,0.00555,0.0025,0.284
337,67.02,0.196239285714286,0.00689642857142857,0.00835,0.265892857142857
351,117.84,0.169789285714286,0.00834642857142857,0.01465,0.246392857142857
352,132.48,0.1679,0.00845,0.0151,0.245
365,132.675,0.152344827586207,0.0378344827586207,0.0215103448275862,0.269206896551724
