$Precip data for Worcester Airport; FROM: NCDC, 2017, 
JDAY,Prec
 ,(m/s)
1,0
2,0
3,0
4,3.03240740740741e-07
5,0
6,0
7,0
8,5.78703703703704e-09
9,0
10,0
11,0
12,2.08333333333333e-07
13,9.14351851851852e-08
14,0
15,0
16,0
17,8.7962962962963e-08
18,0
19,0
20,0
21,0
22,4.97685185185185e-08
23,2.59259259259259e-07
24,0
25,0
26,0
27,0
28,4.39814814814815e-08
29,0
30,1.50462962962963e-08
31,0
32,4.16666666666667e-08
33,5.32407407407407e-08
34,0
35,1.43518518518519e-07
36,3.81944444444444e-08
37,5.78703703703704e-09
38,2.2337962962963e-07
39,0
40,0
41,1.2962962962963e-07
42,2.5e-07
43,3.47222222222222e-09
44,0
45,0
46,0
47,3.47222222222222e-09
48,8.56481481481481e-08
49,7.40740740740741e-08
50,8.21759259259259e-08
51,9.25925925925926e-09
52,0
53,3.47222222222222e-08
54,7.98611111111111e-08
55,0
56,1.75925925925926e-07
57,0
58,0
59,0
60,5.78703703703704e-09
61,4.75694444444445e-07
62,0
63,0
64,2.08333333333333e-08
65,0
66,2.78935185185185e-07
67,1.18055555555556e-07
68,5.78703703703704e-09
69,0
70,0
71,0
72,4.67592592592593e-07
73,3.47222222222222e-09
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,2.66203703703704e-08
82,0
83,0
84,1.15740740740741e-08
85,0
86,0
87,0
88,9.25925925925926e-09
89,1.73611111111111e-08
90,0
91,0
92,6.48148148148148e-08
93,1.43518518518519e-07
94,1.05324074074074e-07
95,0
96,7.06018518518519e-08
97,1.73611111111111e-08
98,0
99,0
100,5.78703703703704e-09
101,0
102,2.08333333333333e-08
103,0
104,0
105,8.21759259259259e-08
106,5.9375e-07
107,0
108,0
109,6.71296296296296e-08
110,0
111,0
112,0
113,0
114,0
115,2.84722222222222e-07
116,9.25925925925926e-09
117,9.375e-08
118,3.47222222222222e-09
119,3.47222222222222e-08
120,5.32407407407407e-08
121,0
122,0
123,2.08333333333333e-08
124,3.47222222222222e-09
125,0
126,9.14351851851852e-08
127,0
128,0
129,0
130,0
131,0
132,6.71296296296296e-08
133,0
134,0
135,3.20601851851852e-07
136,0
137,0
138,0
139,7.63888888888889e-08
140,2.66203703703704e-08
141,0
142,9.25925925925926e-09
143,0
144,0
145,0
146,0
147,5.90277777777778e-08
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,1.26157407407407e-07
156,4.16666666666667e-08
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,5.78703703703704e-09
165,0
166,5.78703703703704e-09
167,0
168,0
169,2.73148148148148e-07
170,3.24074074074074e-08
171,0
172,0
173,0
174,9.25925925925926e-09
175,1.43518518518519e-07
176,3.24074074074074e-08
177,0
178,8.7962962962963e-08
179,4.23611111111111e-07
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,8.21759259259259e-08
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,3.47222222222222e-09
197,0
198,7.84722222222222e-07
199,0
200,0
201,0
202,0
203,2.00231481481481e-07
204,7.63888888888889e-08
205,2.66203703703704e-08
206,1.79398148148148e-07
207,1.58564814814815e-07
208,5.78703703703704e-09
209,0
210,0
211,0
212,0
213,3.81944444444444e-08
214,9.72222222222222e-08
215,5.78703703703704e-09
216,1.23842592592593e-07
217,0
218,0
219,1.50462962962963e-08
220,3.24074074074074e-08
221,2.66203703703704e-08
222,0
223,3.58796296296296e-07
224,3.47222222222222e-09
225,3.7962962962963e-07
226,1.2962962962963e-07
227,0
228,0
229,2.52314814814815e-07
230,8.56481481481481e-08
231,3.47222222222222e-09
232,3.47222222222222e-09
233,0
234,1.81712962962963e-07
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,9.25925925925926e-09
250,0
251,0
252,0
253,3.76157407407407e-07
254,1.03009259259259e-07
255,1.94444444444444e-07
256,2.89351851851852e-08
257,0
258,0
259,0
260,5.78703703703704e-09
261,5.34722222222222e-07
262,0
263,0
264,0
265,2.89351851851852e-08
266,0
267,0
268,6.35416666666667e-07
269,1.18055555555556e-07
270,0
271,9.72222222222222e-08
272,0
273,0
274,2.08333333333333e-08
275,3.03240740740741e-07
276,1.50462962962963e-08
277,0
278,0
279,0
280,3.47222222222222e-09
281,3.47222222222222e-09
282,0
283,0
284,4.20138888888889e-07
285,0
286,4.39814814814815e-08
287,0
288,6.13425925925926e-08
289,5.78703703703704e-09
290,1.50462962962963e-08
291,0
292,0
293,3.47222222222222e-09
294,5.78703703703704e-09
295,0
296,1.73611111111111e-08
297,0
298,0
299,0
300,3.05555555555556e-07
301,9.25925925925926e-09
302,7.63888888888889e-08
303,0
304,0
305,1.50462962962963e-08
306,3.4375e-07
307,4.82638888888889e-07
308,0
309,9.14351851851852e-08
310,1.90972222222222e-07
311,0
312,0
313,2.88194444444444e-07
314,4.16666666666667e-08
315,0
316,0
317,4.12037037037037e-07
318,0
319,2.08333333333333e-07
320,1.52777777777778e-07
321,0
322,3.47222222222222e-09
323,1.79398148148148e-07
324,1.14583333333333e-07
325,0
326,0
327,0
328,0
329,8.21759259259259e-08
330,2.70833333333333e-07
331,6.48148148148148e-08
332,0
333,0
334,0
335,0
336,2.7662037037037e-07
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,1.75925925925926e-07
351,1.50462962962963e-08
352,0
353,0
354,2.08333333333333e-08
355,5.43981481481481e-07
356,0
357,0
358,3.47222222222222e-09
359,0
360,0
361,0
362,1.52777777777778e-07
363,0
364,0
365,1.79398148148148e-07
