$Muddy Brook Daily Discharge, 
FROM: 2017_WaterBalance, 
JDAY,M^3/sec
1,0.020199991027275
2,0.0193641293295947
3,0.0197820601784349
4,0.0229165415447362
5,0.0256330920621973
6,0.0270261948916645
7,0.028071022013765
8,0.0261903331939842
9,0.0239613686668366
10,0.0225682658373694
11,0.0236130929594698
12,0.0468082550700994
13,0.349668810196278
14,0.275137808819781
15,0.188765433392812
16,0.107965469283711
17,0.0572565262911038
18,0.0496641158705073
19,0.0452061868162121
20,0.0416537746010706
21,0.0387979138006628
22,0.0373351558297222
23,0.0507785981340811
24,0.0989103008921744
25,0.0787103098648993
26,0.0572565262911038
27,0.0447186008258985
28,0.0525199766709151
29,0.0509875635585012
30,0.042698601723171
31,0.0381013623859291
32,0.0344096398878409
33,0.0391461895080296
34,0.0443703251185317
35,0.0322503305021667
36,0.0615751450624522
37,0.0501517018608208
38,0.0407482577619169
39,0.0464599793627326
40,0.0440220494111649
41,0.036917224980882
42,0.134434423043589
43,0.266082640428244
44,0.134434423043589
45,0.0849792725975019
46,0.0703516928880958
47,0.0689585900586286
48,0.0625503170430793
49,0.0572565262911038
50,0.0529379075197553
51,0.0870689268417028
52,0.102393057965842
53,0.0870689268417028
54,0.0717447957175631
55,0.0773172070354321
56,0.0821930669385674
57,0.114930983431048
58,0.08846202967117
59,0.0710482443028295
60,0.0624110067601325
61,0.099606852306908
62,0.238917135253632
63,0.141399937190925
64,0.099606852306908
65,0.0814965155238338
66,0.0710482443028295
67,0.0731378985470303
68,0.0703516928880958
69,0.0615751450624522
70,0.0564206645934234
71,0.0550972169054295
72,0.0566992851593169
73,0.0589979048279378
74,0.0554454926127963
75,0.0542613552077492
76,0.0537041140759623
77,0.0422110157328575
78,0.0387282586591894
79,0.0374744661126689
80,0.0364296389905684
81,0.0372655006882488
82,0.0404696371960235
83,0.0431861877134846
84,0.0448579111088453
85,0.0416537746010706
86,0.0422806708743309
87,0.0479923924751466
88,0.0679137629365282
89,0.0877654782564364
90,0.0982137494774407
91,0.0724413471322967
92,0.0612268693550854
93,0.0595551459597247
94,0.0926413381595718
95,0.107965469283711
96,0.0759241042059648
97,0.0801034126943666
98,0.0773172070354321
99,0.0640130750140199
100,0.0542613552077492
101,0.0489675644557736
102,0.0455544625235789
103,0.0493158401631405
104,0.0432558428549579
105,0.0390068792250828
106,0.103089609380576
107,0.323896407851134
108,0.204786115931685
109,0.130255114555187
110,0.101696506551109
111,0.0794068612796329
112,0.066729625531481
113,0.0571868711496304
114,0.0501517018608208
115,0.0557241131786898
116,0.10378616079531
117,0.0849792725975019
118,0.0849792725975019
119,0.0696551414733622
120,0.065754453550854
121,0.0615054899209788
122,0.0527985972368086
123,0.0452758419576854
124,0.0418627400254907
125,0.0381710175274025
126,0.0382406726688759
127,0.0461117036553658
128,0.0406786026204435
129,0.0356634324343615
130,0.0319717099362733
131,0.0295337799847056
132,0.0277227463063982
133,0.0312055033800663
134,0.0307179173897527
135,0.0275834360234514
136,0.0494551504460872
137,0.038658603517716
138,0.0317627445118532
139,0.027304815457558
140,0.0319717099362733
141,0.0293944697017589
142,0.0257027472036707
143,0.0236827481009432
144,0.0200606807443283
145,0.0173441302268672
146,0.0163689582462401
147,0.0164386133877135
148,0.0185282676319144
149,0.0176227507927606
150,0.0149758554167729
151,0.012886201172572
152,0.0112841329186847
153,0.0112841329186847
154,0.012119994616365
155,0.0107268917868978
156,0.0139310282946724
157,0.0130255114555187
158,0.0117020637675249
159,0.0109358572113179
160,0.0103089609380576
161,0.0100999955136375
162,0.00891585810859036
163,0.0082889618353301
164,0.00724413471322967
165,0.00676351423706347
166,0.00543310103492225
167,0.0046529634504206
168,0.00417930848840173
169,0.00356634324343615
170,0.00328075716339536
171,0.00294641248432322
172,0.00211751630079021
173,0.00115627534845781
174,0.000891585810859036
175,0.0124682703237318
176,0.0456241176650523
177,0.0179013713586541
178,0.0119110291919449
179,0.0314144688044864
180,0.0210358527249554
181,0.0110055123527912
182,0.00663116946826408
183,0.0063455833882233
184,0.00528682523782819
185,0.00416537746010706
186,0.00385192932347693
187,0.00371261904053021
188,0.00340613641804741
189,0.00307179173897527
190,0.00274441257405047
191,0.00242399892327301
192,0.00215234387152689
193,0.00189461984807545
194,0.00175530956512873
195,0.00167172339536069
196,0.00164386133877135
197,0.00227075761203161
198,0.0275834360234514
199,0.0325986062095335
200,0.0079406861279633
201,0.00396337754983431
202,0.00306482622482794
203,0.00325289510680602
204,0.00497337710119806
205,0.00588585945449911
206,0.00516841149732348
207,0.00933378895743054
208,0.00947309924037726
209,0.00677047975121081
210,0.00560723888860566
211,0.0052311011246495
212,0.00447186008258986
213,0.00384496380932959
214,0.00390765343665562
215,0.00954275438185062
216,0.011144822635738
217,0.01615999282182
218,0.0094034440989039
219,0.00686799694927352
220,0.00752275527912312
221,0.00891585810859036
222,0.00807999641091002
223,0.0174137853683406
224,0.0968206466479735
225,0.0680530732194749
226,0.127468908896253
227,0.130255114555187
228,0.0695158311904155
229,0.0397034306398165
230,0.0364992941320418
231,0.0453454970991588
232,0.0317627445118532
233,0.0215234387152689
234,0.0298820556920724
235,0.0423503260158042
236,0.026538608901351
237,0.0162296479632934
238,0.0118413740504716
239,0.00926413381595718
240,0.00842827211827683
241,0.00676351423706347
242,0.00566296300178435
243,0.00516841149732348
244,0.00443703251185317
245,0.00402606717716034
246,0.00367082595564619
247,0.00326682613510069
248,0.00289068837114453
249,0.00358027427173082
250,0.00640827301554932
251,0.00576048019984706
252,0.00422806708743309
253,0.00428379120061178
254,0.0254241266377772
255,0.0256330920621973
256,0.0278620565893449
257,0.0222199901300025
258,0.0152544759826663
259,0.0114234432016314
260,0.00905516839153709
261,0.154634414070864
262,0.289068837114453
263,0.117717189089982
264,0.069028245200102
265,0.0436041185623248
266,0.0312055033800663
267,0.023264817252103
268,0.0301606762579658
269,0.104482712210043
270,0.158813722559266
271,0.107268917868978
272,0.0766206556206984
273,0.0531468729441754
274,0.040957223186337
275,0.0428379120061178
276,0.073834449961764
277,0.064988246994647
278,0.0475744616263064
279,0.0553061823298496
280,0.0376137763956156
281,0.0280013668722916
282,0.0245882649400969
283,0.0238917135253632
284,0.0439523942696916
285,0.153241311241397
286,0.0801034126943666
287,0.0583710085546775
288,0.047295841060413
289,0.0454151522406322
290,0.0407482577619169
291,0.034618605312261
292,0.0307179173897527
293,0.0289765388529187
294,0.0266082640428244
295,0.0243096443742034
296,0.0242399892327301
297,0.0280013668722916
298,0.0263992986184043
299,0.0236827481009432
300,0.0339917090390008
301,0.0982137494774407
302,0.0752275527912312
303,0.0647096264287535
304,0.055375837471323
305,0.0891585810859036
306,0.0599034216670915
307,0.389372240836095
308,0.310661930971196
309,0.152544759826663
310,0.15184820841193
311,0.20199991027275
312,0.12886201172572
313,0.094034440989039
314,0.185979227733877
315,0.154634414070864
316,0.104482712210043
317,0.180406816416008
318,0.252848163548305
319,0.141399937190925
320,0.130951665969921
321,0.120503394748917
322,0.100303403721642
323,0.0975171980627071
324,0.129558563140454
325,0.114930983431048
326,0.0842827211827683
327,0.06422204043844
328,0.0620627310527657
329,0.0677744526535814
330,0.0828896183533011
331,0.312055033800663
332,0.244489546571501
333,0.144882694264593
334,0.105875815039511
335,0.0877654782564364
336,0.130951665969921
337,0.20199991027275
338,0.141399937190925
339,0.100999955136375
340,0.0821930669385674
341,0.0710482443028295
342,0.0606696282232985
343,0.0532165280856487
344,0.0504999775681876
345,0.0458330830894723
346,0.0437434288452715
347,0.0388675689421361
348,0.0383799829518226
349,0.0402606717716034
350,0.0410965334692837
351,0.0645006610043334
352,0.0562813543104767
353,0.0437434288452715
354,0.0399820512057099
355,0.0912482353301045
356,0.230558518276829
357,0.127468908896253
358,0.0821930669385674
359,0.0651275572775937
360,0.0537041140759623
361,0.0480620476166199
362,0.0502213570022942
363,0.0731378985470303
364,0.0612268693550854
365,0.051544804690288
