$Withdrawal from North Dyke + Towns, Nashua River, Wachusett Aqueduct, Spillway, , , , 
FROM: 2017_WaterBalance, , , , 
JDAY,ND+T,Nash,Wach,Spill
1,0.04977115904,0.0779864992,0,0
2,0.06392264176,0.0779864992,0,0
3,0.04889490624,0.0779864992,0,0
4,0.06304638896,0.0779864992,0,0
5,0.07890656464,0.0779864992,0,0
6,0.04928922,0.0779864992,0,0
7,0.05884037552,0.0779864992,0,0
8,0.06203869824,0.0779864992,0,0
9,0.0652808336,0.0779864992,0,0
10,0.07005641136,0.0779864992,0,0
11,0.05621161712,0.0779864992,0,0
12,0.0608995696,0.0779864992,0,0
13,0.06273970048,0.0779864992,0,0
14,0.05989187888,0.0779864992,0,0
15,0.0606805064,0.0779864992,0,0
16,0.06151294656,0.0779864992,0,0
17,0.05967281568,0.0779864992,0,0
18,0.06672665072,1.1053929072,0,0
19,0.05669355616,3.4121284032,0,0
20,0.05029691072,4.4434779488,0,0
21,0.06168819712,4.4434779488,0,0
22,0.05239991744,4.4434779488,0,0
23,0.04933303264,4.4434779488,0,0
24,0.05007784752,4.4434779488,0,0
25,0.05656211824,4.4434779488,0,0
26,0.04858821776,4.4434779488,0,0
27,0.05664974352,4.4434779488,0,0
28,0.05152366464,4.4434779488,0,0
29,0.05708786992,4.4434779488,0,0
30,0.05020928544,4.4434779488,0,0
31,0.05143603936,4.4434779488,0,0
32,0.05051597392,4.4434779488,0,0
33,0.05025309808,4.4434779488,0,0
34,0.0545467368,4.4434779488,0,0
35,0.06019856736,4.4434779488,0,0
36,0.05187416576,4.4434779488,0,0
37,0.05253135536,3.228991568,0,0
38,0.05029691072,0.9060453952,0,0
39,0.05108553824,0.0779864992,0,0
40,0.05647449296,0.0779864992,0,0
41,0.046003272,0.0779864992,0,0
42,0.06729621504,0.0779864992,0,0
43,0.05143603936,0.0779864992,0,0
44,0.05384573456,0.0779864992,0,0
45,0.05923468928,0.0779864992,0,0
46,0.051479852,0.0779864992,0,0
47,0.05086647504,0.0779864992,0,0
48,0.06532464624,0.0779864992,0,0
49,0.05029691072,0.0779864992,0,0
50,0.04652902368,0.0779864992,0,0
51,0.0665952128,0.0779864992,0,0
52,0.05108553824,0.0779864992,0,0
53,0.05143603936,1.3524961968,0,0
54,0.05853368704,3.590445848,0,0
55,0.047098588,4.4465448336,0,0
56,0.06041763056,4.4465448336,0,0
57,0.05787649744,4.4465448336,0,0
58,0.0506035992,4.4465448336,0,0
59,0.05450292416,4.4465448336,0,0
60,0.04333070096,4.4465448336,0,0
61,0.06247682464,4.4465448336,0,0
62,0.04714240064,4.4465448336,0,0
63,0.05226847952,4.4465448336,0,0
64,0.05866512496,4.4465448336,0,4.4443542016
65,0.04604708464,4.4465448336,0,7.8617401216
66,0.05340760816,4.4465448336,0,2.7523100448
