$Weekly temp data for West Boylston, 
FROM: Trib WQ, R (DCR), 
JDAY,TEMP (C)
1,4.88636363636364
10,3.7
18,3.47142857142857
24,3.3
36,3.5
45,5.6
51,7
64,5.4
78,3.7
80,3.74285714285714
92,4
109,6.3
114,8.57777777777778
127,14.5
137,13.75
143,13.3
158,12.3
171,14.3
172,14.4615384615385
184,16.4
198,17.1466666666667
199,17.2
218,17.3
226,16.9190476190476
239,16.3
253,13.3
267,12.5
268,12.71875
283,16
289,13.2142857142857
297,9.5
311,10.1
323,4.9
324,5.10714285714286
337,7.8
351,5
352,2.6
365,4.0625
