$Muddy Brook inflow constituents, , , , , 
FROM: Trib WQ, R (DCR), , , , , 
JDAY,TDS,UV254,PO4,NH4,NO3
1,250.156363636364,0.11114,0.00771166666666667,0.116266666666667,0.12153
10,265.08,0.12716,0.00754666666666667,0.115066666666667,0.13872
18,227.297142857143,0.1414,0.0074,0.114,0.154
24,198.96,0.137155555555556,0.00792222222222222,0.1012,0.161333333333333
36,224.7,0.128666666666667,0.00896666666666667,0.0756,0.176
45,203.208,0.1223,0.00975,0.0564,0.187
51,188.88,0.116831428571429,0.00930428571428571,0.0569828571428571,0.174485714285714
64,181.32,0.104982857142857,0.00833857142857143,0.0582457142857143,0.147371428571429
78,211.26,0.0922228571428571,0.00729857142857143,0.0596057142857143,0.118171428571429
80,211.765714285714,0.0904,0.00715,0.0598,0.114
92,214.8,0.101552941176471,0.00683235294117647,0.0486470588235294,0.0922588235294118
109,185.04,0.117352941176471,0.00638235294117647,0.0328470588235294,0.0614588235294118
114,190.44,0.122,0.00625,0.0282,0.0524
127,204.48,0.185473913043478,0.0090195652173913,0.0468521739130435,0.0421130434782609
137,203.9175,0.2343,0.01115,0.0612,0.0342
143,203.58,0.219745714285714,0.0106957142857143,0.0747085714285714,0.0442114285714286
158,222,0.18336,0.00956,0.10848,0.06924
171,249.36,0.151825714285714,0.00857571428571429,0.137748571428571,0.0909314285714286
172,248.326153846154,0.1494,0.0085,0.14,0.0926
184,235.92,0.139707692307692,0.00764615384615385,0.133538461538462,0.117707692307692
198,189.384,0.1284,0.00665,0.126,0.147
199,186.06,0.1311,0.00760357142857143,0.12575,0.144910714285714
218,232.8,0.1824,0.0257214285714286,0.121,0.105214285714286
226,229.325714285714,0.204,0.03335,0.119,0.0885
239,223.68,0.17605,0.0261690476190476,0.12952380952381,0.0898928571428571
253,247.98,0.14595,0.0184357142857143,0.140857142857143,0.0913928571428571
267,220.02,0.11585,0.010702380952381,0.152190476190476,0.0928928571428571
268,218.4375,0.1137,0.01015,0.153,0.093
283,194.7,0.196985714285714,0.00954285714285714,0.100357142857143,0.0459285714285714
289,193.697142857143,0.2303,0.0093,0.0793,0.0271
297,192.36,0.21686,0.00847714285714286,0.0669114285714286,0.0725628571428572
311,137.28,0.19334,0.00703714285714286,0.0452314285714286,0.152122857142857
323,144.48,0.17318,0.00580285714285714,0.0266485714285714,0.220317142857143
324,143.455714285714,0.1715,0.0057,0.0251,0.226
337,130.14,0.142946428571429,0.0071625,0.0433,0.168428571428571
351,147.96,0.112196428571429,0.0087375,0.0629,0.106428571428571
352,145.68,0.11,0.00885,0.0643,0.102
365,148.8975,0.0988379310344828,0.00804310344827586,0.0711137931034483,0.0967551724137931
