$Gates Daily Discharge, 
FROM: 2017_WaterBalance, 
JDAY,M^3/sec
1,0.0467
2,0.0456
3,0.0507
4,0.0629
5,0.0535
6,0.0521
7,0.0504
8,0.0527
9,0.0527
10,0.0504
11,0.0634
12,0.4021
13,0.5493
14,0.1679
15,0.1158
16,0.1034
17,0.1034
18,0.0974
19,0.0906
20,0.0917
21,0.0903
22,0.0963
23,0.3426
24,0.1693
25,0.1178
26,0.0985
27,0.0966
28,0.1322
29,0.1042
30,0.0949
31,0.0872
32,0.0881
33,0.1062
34,0.0810
35,0.1164
36,0.2580
37,0.1002
38,0.1119
39,0.1252
40,0.1014
41,0.2246
42,0.8070
43,0.3370
44,0.1880
45,0.1657
46,0.1628
47,0.1489
48,0.1311
49,0.1339
50,0.1487
51,0.2551
52,0.1821
53,0.1555
54,0.1758
55,0.1623
56,0.2888
57,0.1909
58,0.1538
59,0.1438
60,0.1362
61,0.5833
62,0.3596
63,0.2438
64,0.2135
65,0.2067
66,0.1741
67,0.1869
68,0.1642
69,0.1461
70,0.1470
71,0.1438
72,0.1441
73,0.1532
74,0.1472
75,0.1348
76,0.1286
77,0.1223
78,0.1169
79,0.1167
80,0.1133
81,0.1209
82,0.1252
83,0.1300
84,0.1286
85,0.1252
86,0.1271
87,0.1328
88,0.1359
89,0.1438
90,0.1342
91,0.1300
92,0.1351
93,0.2061
94,0.3200
95,0.2005
96,0.1974
97,0.2132
98,0.1832
99,0.1739
100,0.1651
101,0.1566
102,0.1484
103,0.1504
104,0.1529
105,0.1271
106,0.9118
107,0.6485
108,0.3483
109,0.3087
110,0.2296
111,0.1948
112,0.1911
113,0.1795
114,0.1727
115,0.3483
116,0.3058
117,0.2860
118,0.2163
119,0.1911
120,0.1931
121,0.1741
122,0.1583
123,0.1747
124,0.1518
125,0.1339
126,0.1894
127,0.1637
128,0.1317
129,0.1249
130,0.1209
131,0.1161
132,0.1240
133,0.1062
134,0.1036
135,0.2107
136,0.1385
137,0.1155
138,0.0971
139,0.1005
140,0.1070
141,0.0866
142,0.0807
143,0.0782
144,0.0759
145,0.0705
146,0.0682
147,0.0753
148,0.0748
149,0.0694
150,0.0637
151,0.0597
152,0.0595
153,0.0586
154,0.0600
155,0.0833
156,0.0742
157,0.0631
158,0.0592
159,0.0558
160,0.0552
161,0.0527
162,0.0479
163,0.0459
164,0.0447
165,0.0428
166,0.0422
167,0.0416
168,0.0402
169,0.0521
170,0.0467
171,0.0399
172,0.0391
173,0.0382
174,0.0385
175,0.2415
176,0.3171
177,0.0799
178,0.0685
179,0.3596
180,0.1082
181,0.0810
182,0.0708
183,0.0651
184,0.0530
185,0.0547
186,0.0521
187,0.0606
188,0.0490
189,0.0467
190,0.0439
191,0.0419
192,0.0408
193,0.0399
194,0.0476
195,0.0377
196,0.0436
197,0.0481
198,0.3002
199,0.0765
200,0.0436
201,0.0394
202,0.0365
203,0.0578
204,0.0470
205,0.0402
206,0.0391
207,0.0966
208,0.0462
209,0.0408
210,0.0379
211,0.0360
212,0.0354
213,0.0348
214,0.0388
215,0.0405
216,0.1249
217,0.0595
218,0.0473
219,0.0462
220,0.0493
221,0.0501
222,0.0442
223,0.5918
224,0.3285
225,0.2815
226,0.5607
227,0.2285
228,0.1203
229,0.1087
230,0.2747
231,0.1543
232,0.1110
233,0.1031
234,0.1909
235,0.1059
236,0.0915
237,0.0818
238,0.0767
239,0.0739
240,0.0733
241,0.0697
242,0.0660
243,0.0626
244,0.0609
245,0.0603
246,0.0589
247,0.0569
248,0.0552
249,0.0756
250,0.0589
251,0.0566
252,0.0547
253,0.1475
254,0.2738
255,0.1371
256,0.1371
257,0.0903
258,0.0810
259,0.0733
260,0.0685
261,0.4389
262,0.1438
263,0.1127
264,0.0886
265,0.0878
266,0.0801
267,0.0759
268,0.4701
269,0.3681
270,0.3200
271,0.2042
272,0.1413
273,0.1203
274,0.1150
275,0.2684
276,0.3794
277,0.1724
278,0.1388
279,0.1311
280,0.1487
281,0.1269
282,0.1201
283,0.1152
284,0.4644
285,0.2418
286,0.1419
287,0.1127
288,0.1048
289,0.1320
290,0.1056
291,0.0940
292,0.0878
293,0.0869
294,0.0994
295,0.0643
296,0.0821
297,0.0753
298,0.0657
299,0.0614
300,0.2747
301,0.1727
302,0.1662
303,0.1124
304,0.0968
305,0.0946
306,0.2039
307,1.0817
308,0.4248
309,0.3002
310,0.5182
311,0.3568
312,0.2294
313,0.3200
314,0.5862
315,0.3030
316,0.2769
317,0.7702
318,0.4899
319,0.3568
320,0.4842
321,0.3964
322,0.3568
323,0.4672
324,0.5125
325,0.3681
326,0.2707
327,0.2401
328,0.2339
329,0.3341
330,0.4304
331,0.8438
332,0.5069
333,0.3993
334,0.3398
335,0.2917
336,0.6031
337,0.3964
338,0.3087
339,0.2580
340,0.2359
341,0.2141
342,0.1824
343,0.1648
344,0.1569
345,0.1688
346,0.1591
347,0.1169
348,0.1167
349,0.1243
350,0.1787
351,0.2098
352,0.1235
353,0.1076
354,0.1028
355,0.5493
356,0.3653
357,0.2010
358,0.1620
359,0.1419
360,0.1249
361,0.1172
362,0.2030
363,0.1628
364,0.1229
365,0.1407
