$Hourly dew point temp from met data (2017 surface data), 
JDAY,TDEW
 ,C
1,-23.89
1.0375,-23.89
1.079167,-23.89
1.120833,-24.44
1.1625,-24.44
1.204167,-24.44
1.245833,-25
1.2875,-25.56
1.329167,-25.56
1.370833,-26.11
1.4125,-26.11
1.454167,-26.67
1.495833,-26.67
1.5375,-26.67
1.579167,-26.11
1.620833,-25.56
1.6625,-25
1.704167,-25
1.745833,-24.44
1.7875,-24.44
1.829167,-24.44
1.870833,-25
1.9125,-25
1.954167,-25
1.995833,-24.44
2.0375,-24.44
2.079167,-24.44
2.120833,-24.44
2.1625,-24.44
2.204167,-23.89
2.245833,-23.33
2.2875,-22.78
2.329167,-22.78
2.370833,-22.22
2.4125,-22.22
2.454167,-22.78
2.495833,-23.33
2.5375,-23.33
2.579167,-23.33
2.620833,-23.33
2.6625,-22.22
2.704167,-23.33
2.745833,-20.56
2.7875,-19.44
2.829167,-18.89
2.870833,-17.78
2.9125,-17.78
2.954167,-18.33
2.995833,-18.33
3.0375,-18.33
3.079167,-17.78
3.120833,-17.78
3.1625,-17.22
3.204167,-16.67
3.245833,-17.22
3.2875,-17.22
3.329167,-17.78
3.370833,-17.78
3.4125,-17.78
3.454167,-18.33
3.495833,-18.33
3.5375,-18.33
3.579167,-17.78
3.620833,-17.78
3.6625,-17.22
3.704167,-17.22
3.745833,-17.22
3.7875,-17.78
3.829167,-18.33
3.870833,-18.33
3.9125,-19.44
3.954167,-18.89
3.995833,-18.89
4.0375,-17.22
4.079167,-17.22
4.120833,-16.67
4.1625,-15.56
4.204167,-17.22
4.245833,-20
4.284722,-25
4.2875,-25
4.329167,-18.89
4.370833,-15.56
4.38125,-14.44
4.407639,-13.89
4.4125,-13.89
4.420833,-13.33
4.431944,-12.78
4.454167,-13.89
4.495833,-12.22
4.511806,-11.11
4.521528,-10.56
4.5375,-10
4.549306,-10
4.564583,-9.44
4.579167,-9.44
4.585417,-8.89
4.620833,-8.33
4.630556,-8.33
4.642361,-7.78
4.6625,-7.22
4.679167,-7.22
4.6875,-6.67
4.701389,-7.22
4.704167,-6.67
4.721528,-6.11
4.745833,-5.56
4.768056,-5.56
4.782639,-5
4.7875,-5
4.796528,-5
4.827778,-6.11
4.829167,-5.56
4.848611,-8.33
4.85625,-8.89
4.870833,-9.44
4.875694,-9.44
4.88125,-9.44
4.9125,-8.89
4.925,-8.89
4.954167,-8.89
4.963889,-8.89
4.972222,-8.89
4.995833,-10
5.008333,-10.56
5.013194,-10.56
5.0375,-10.56
5.043056,-10.56
5.079167,-11.11
5.104167,-11.67
5.11875,-12.22
5.120833,-12.78
5.135417,-12.78
5.1375,-12.78
5.147222,-13.33
5.150694,-13.33
5.156944,-13.89
5.1625,-13.89
5.16875,-13.89
5.204167,-14.44
5.245833,-14.44
5.2875,-13.89
5.329167,-15
5.370833,-16.11
5.4125,-18.33
5.454167,-19.44
5.495833,-19.44
5.536111,-21.11
5.5375,-21.11
5.547917,-21.11
5.579167,-21.11
5.620833,-21.11
5.625694,-21.67
5.6625,-21.67
5.704167,-21.67
5.714583,-21.67
5.744444,-22.22
5.745833,-21.67
5.7875,-22.22
5.829167,-22.78
