$Weekly temp data for Waushacum (Frbk), 
FROM: Trib WQ, R (DCR), 
JDAY,TEMP (C)
1,0.590909090909091
10,0.1
18,0.442857142857143
24,0.7
36,1.6
45,2.98
51,3.9
64,3.1
78,2.2
80,2.65714285714286
92,5.4
109,6
114,8.72222222222222
127,15.8
137,17.05
143,17.8
158,17.5
171,22.2
172,22.4384615384615
184,25.3
198,22.4066666666667
199,22.2
218,23.2
219,23.152380952381
226,22.8190476190476
239,22.2
253,16.2
267,14.9
268,15
283,16.5
287,14.1857142857143
297,8.4
311,8.7
323,3.6
324,3.62857142857143
337,4
351,2.1
352,0.2
365,1.09375
