"","Julian_day","Constituent","Depth","Value","Elevation"
"1",56,"Temperature",0.4,1.79,118.04
"2",56,"Temperature",0.8,2.14,117.64
"3",56,"Temperature",1.2,2.18,117.24
"4",56,"Temperature",1.6,2.03,116.84
"5",56,"Temperature",2,2.07,116.44
"6",56,"Temperature",3,1.99,115.44
"7",56,"Temperature",4,1.92,114.44
"8",56,"Temperature",5,1.93,113.44
"9",56,"Temperature",6,1.93,112.44
"10",56,"Temperature",7,1.91,111.44
"11",56,"Temperature",8,1.91,110.44
"12",56,"Temperature",9,1.9,109.44
"13",56,"Temperature",10,1.89,108.44
"14",56,"Temperature",12,1.92,106.44
"15",56,"Temperature",14,1.94,104.44
"16",56,"Temperature",16,1.99,102.44
"17",56,"Temperature",18,2.06,100.44
"18",56,"Temperature",20,2.09,98.44
"19",56,"Temperature",22,2.15,96.44
"20",56,"Temperature",24,2.2,94.44
"21",56,"Temperature",26,2.2,92.44
"22",56,"Temperature",28,2.05,90.44
"23",56,"Temperature",29.7,2.39,88.74
"24",56,"Specific Conductivity",1.2,114.5,117.24
"25",56,"Specific Conductivity",1.6,114.8,116.84
"26",56,"Specific Conductivity",2,114.8,116.44
"27",56,"Specific Conductivity",3,115,115.44
"28",56,"Specific Conductivity",4,114.9,114.44
"29",56,"Specific Conductivity",5,115.2,113.44
"30",56,"Specific Conductivity",6,115.1,112.44
"31",56,"Specific Conductivity",7,115.5,111.44
"32",56,"Specific Conductivity",8,115.4,110.44
"33",56,"Specific Conductivity",9,115,109.44
"34",56,"Specific Conductivity",10,115.6,108.44
"35",56,"Specific Conductivity",12,115.4,106.44
"36",56,"Specific Conductivity",14,114.1,104.44
"37",56,"Specific Conductivity",16,113.2,102.44
"38",56,"Specific Conductivity",18,113.4,100.44
"39",56,"Specific Conductivity",20,113.9,98.44
"40",56,"Specific Conductivity",22,113.5,96.44
"41",56,"Specific Conductivity",24,116.8,94.44
"42",56,"Specific Conductivity",26,127.6,92.44
"43",56,"Specific Conductivity",28,171.4,90.44
"44",56,"Specific Conductivity",29.7,175.9,88.74
"45",56,"Specific Conductivity",0.4,114.4,118.04
"46",56,"Specific Conductivity",0.8,114.5,117.64
"47",97,"Specific Conductivity",6,123,112.98
"48",97,"Specific Conductivity",8.9,123.4,110.08
"49",97,"Specific Conductivity",0.2,122.5,118.78
"50",97,"Specific Conductivity",2.9,122.8,116.08
"51",97,"Specific Conductivity",18.1,124.1,100.88
"52",97,"Specific Conductivity",21,124.1,97.98
"53",97,"Specific Conductivity",23.9,124.2,95.08
"54",97,"Specific Conductivity",27,124.6,91.98
"55",97,"Specific Conductivity",27.2,127.4,91.78
"56",97,"Temperature",15.1,4.99,103.88
"57",97,"Temperature",18.1,4.98,100.88
"58",97,"Temperature",21,4.97,97.98
"59",97,"Temperature",23.9,4.92,95.08
"60",97,"Temperature",27,4.88,91.98
"61",97,"Temperature",27.2,4.88,91.78
"62",97,"Specific Conductivity",11.9,123.3,107.08
"63",97,"Specific Conductivity",15.1,123.4,103.88
"64",97,"Temperature",0.2,5.09,118.78
"65",97,"Temperature",2.9,5.07,116.08
"66",97,"Temperature",6,5.01,112.98
"67",97,"Temperature",8.9,5,110.08
"68",97,"Temperature",11.9,5,107.08
"69",118,"Temperature",21,7.34,98.17
"70",118,"Temperature",22,7.32,97.17
"71",118,"Temperature",23,7.29,96.17
"72",118,"Temperature",24,7.28,95.17
"73",118,"Temperature",25,7.28,94.17
"74",118,"Temperature",26,7.26,93.17
"75",118,"Temperature",0.3,14.3,118.87
"76",118,"Temperature",1,14.16,118.17
"77",118,"Temperature",2,12.27,117.17
"78",118,"Temperature",3,11.06,116.17
"79",118,"Temperature",4,9.86,115.17
"80",118,"Temperature",5,9.49,114.17
"81",118,"Temperature",6,9.15,113.17
"82",118,"Temperature",7,8.87,112.17
"83",118,"Temperature",8,8.28,111.17
"84",118,"Temperature",9,8.08,110.17
"85",118,"Temperature",10,7.95,109.17
"86",118,"Temperature",11,7.95,108.17
"87",118,"Temperature",12,7.79,107.17
"88",118,"Temperature",13,7.7,106.17
"89",118,"Temperature",14,7.61,105.17
"90",118,"Temperature",15,7.58,104.17
"91",118,"Temperature",15.9,7.47,103.27
"92",118,"Temperature",17,7.43,102.17
"93",118,"Temperature",17.9,7.45,101.27
"94",118,"Temperature",19,7.38,100.17
"95",118,"Temperature",20,7.36,99.17
"96",118,"Specific Conductivity",0.3,132.1,118.87
"97",118,"Specific Conductivity",1,132.4,118.17
"98",118,"Specific Conductivity",2,132,117.17
"99",118,"Specific Conductivity",3,133,116.17
"100",118,"Specific Conductivity",4,131.7,115.17
"101",118,"Specific Conductivity",5,131.4,114.17
"102",118,"Specific Conductivity",6,132.3,113.17
"103",118,"Specific Conductivity",7,130.6,112.17
