"","JDAY","WSE"
"1",1,120.06
"2",2,120.05
"3",3,120.04
"4",4,120.02
"5",5,120.01
"6",6,119.99
"7",7,119.98
"8",8,120.01
"9",9,120
"10",10,119.98
"11",11,119.97
"12",12,119.96
"13",13,119.93
"14",14,119.9
"15",15,119.87
"16",16,119.84
"17",17,119.79
"18",18,119.76
"19",19,119.74
"20",20,119.72
"21",21,119.68
"22",22,119.64
"23",23,119.6
"24",24,119.55
"25",25,119.51
"26",26,119.48
"27",27,119.44
"28",28,119.4
"29",29,119.39
"30",30,119.36
"31",31,119.31
"32",32,119.27
"33",33,119.24
"34",34,119.19
"35",35,119.16
"36",36,119.11
"37",37,119.07
"38",38,119.01
"39",39,118.96
"40",40,118.94
"41",41,118.9
"42",42,118.84
"43",43,118.82
"44",44,118.8
"45",45,118.78
"46",46,118.75
"47",47,118.72
"48",48,118.7
"49",49,118.66
"50",50,118.63
"51",51,118.6
"52",52,118.55
"53",53,118.52
"54",54,118.5
"55",55,118.48
"56",56,118.44
"57",57,118.41
"58",58,118.4
"59",59,118.42
"60",60,118.47
"61",61,118.49
"62",62,118.52
"63",63,118.52
"64",64,118.52
"65",65,118.51
"66",66,118.5
"67",67,118.52
"68",68,118.57
"69",69,118.61
"70",70,118.65
"71",71,118.7
"72",72,118.74
"73",73,118.77
"74",74,118.79
"75",75,118.8
"76",76,118.81
"77",77,118.83
"78",78,118.83
"79",79,118.84
"80",80,118.86
"81",81,118.86
"82",82,118.86
"83",83,118.85
"84",84,118.85
"85",85,118.83
"86",86,118.83
"87",87,118.82
"88",88,118.83
"89",89,118.84
"90",90,118.87
"91",91,118.88
"92",92,118.88
"93",93,118.88
"94",94,118.91
"95",95,118.94
"96",96,118.94
"97",97,118.98
"98",98,119.03
"99",99,119.05
"100",100,119.05
"101",101,119.08
"102",102,119.1
"103",103,119.11
"104",104,119.11
"105",105,119.11
"106",106,119.1
"107",107,119.09
"108",108,119.08
"109",109,119.06
"110",110,119.05
"111",111,119.06
"112",112,119.1
"113",113,119.15
"114",114,119.18
"115",115,119.19
"116",116,119.18
"117",117,119.17
"118",118,119.17
"119",119,119.16
"120",120,119.13
"121",121,119.11
"122",122,119.09
"123",123,119.07
"124",124,119.06
"125",125,119.03
"126",126,119.1
"127",127,119.05
"128",128,119.09
"129",129,119.12
"130",130,119.14
"131",131,119.13
"132",132,119.14
"133",133,119.16
"134",134,119.16
"135",135,119.16
"136",136,119.16
"137",137,119.15
"138",138,119.15
"139",139,119.15
"140",140,119.14
"141",141,119.11
"142",142,119.09
"143",143,119.05
"144",144,119.03
"145",145,119.01
"146",146,118.98
"147",147,118.96
"148",148,118.95
"149",149,118.94
"150",150,118.93
"151",151,118.91
"152",152,118.89
"153",153,118.86
"154",154,118.85
"155",155,118.85
"156",156,118.85
"157",157,118.83
"158",158,118.82
"159",159,118.81
"160",160,118.8
"161",161,118.8
"162",162,118.8
"163",163,118.84
"164",164,118.87
"165",165,118.89
"166",166,118.91
"167",167,118.91
"168",168,118.89
"169",169,118.88
"170",170,118.91
"171",171,118.94
"172",172,118.96
"173",173,118.98
"174",174,119
"175",175,119.01
"176",176,119.02
"177",177,119.02
"178",178,119.02
"179",179,118.99
"180",180,118.97
"181",181,118.97
"182",182,118.98
"183",183,119.11
"184",184,119.26
"185",185,119.34
"186",186,119.37
"187",187,119.39
"188",188,119.41
"189",189,119.44
"190",190,119.49
"191",191,119.52
"192",192,119.52
"193",193,119.53
"194",194,119.52
"195",195,119.51
"196",196,119.5
"197",197,119.48
"198",198,119.45
"199",199,119.46
"200",200,119.45
"201",201,119.44
"202",202,119.42
"203",203,119.43
"204",204,119.43
"205",205,119.47
"206",206,119.68
"207",207,119.7
"208",208,119.69
"209",209,119.67
"210",210,119.63
"211",211,119.62
"212",212,119.6
"213",213,119.66
"214",214,119.66
"215",215,119.65
"216",216,119.63
"217",217,119.6
"218",218,119.58
"219",219,119.53
"220",220,119.48
"221",221,119.44
"222",222,119.41
"223",223,119.38
"224",224,119.36
"225",225,119.33
"226",226,119.32
"227",227,119.3
"228",228,119.27
