"","Elevation","Day"
"1",119.216424,1
"2",119.210328,2
"3",119.204232,3
"4",119.1768,4
"5",119.164608,5
"6",119.13108,6
"7",119.103648,7
"8",119.067072,8
"9",119.042688,9
"10",119.00916,10
"11",118.972584,11
"12",118.945152,12
"13",119.033544,13
"14",119.140224,14
"15",119.167656,15
"16",119.173752,16
"17",119.164608,17
"18",119.173752,18
"19",119.14632,19
"20",119.106696,20
"21",119.07012,21
"22",119.042688,22
"23",119.00916,23
"24",119.021352,24
"25",119.015256,25
"26",118.984776,26
"27",118.954296,27
"28",118.926864,28
"29",118.908576,29
"30",118.881144,30
"31",118.847616,31
"32",118.804944,32
"33",118.777512,33
"34",118.731792,34
"35",118.692168,35
"36",118.679976,36
"37",118.65864,37
"38",118.634256,38
"39",118.640352,39
"40",118.631208,40
"41",118.619016,41
"42",118.652544,42
"43",118.743984,43
"44",118.823232,44
"45",118.85676,45
"46",118.868952,46
"47",118.878096,47
"48",118.893336,48
"49",118.914672,49
"50",118.920768,50
"51",118.939056,51
"52",118.966488,52
"53",118.99392,53
"54",119.006112,54
"55",119.00916,55
"56",119.018304,56
"57",119.033544,57
"58",119.051832,58
"59",119.051832,59
"60",119.036592,60
"61",119.030496,61
"62",119.14632,62
"63",119.20728,63
"64",119.228616,64
"65",119.216424,65
"66",119.201184,66
"67",119.231664,67
"68",119.234712,68
"69",119.20728,69
"70",119.185944,70
"71",119.170704,71
"72",119.16156,72
"73",119.170704,73
"74",119.155464,74
"75",119.137176,75
"76",119.11584,76
"77",119.1006,77
"78",119.076216,78
"79",119.057928,79
"80",119.048784,80
"81",119.03964,81
"82",119.033544,82
"83",119.0244,83
"84",119.021352,84
"85",119.021352,85
"86",119.006112,86
"87",119.003064,87
"88",119.000016,88
"89",119.015256,89
"90",119.036592,90
"91",119.05488,91
"92",119.060976,92
"93",119.064024,93
"94",119.1006,94
"95",119.134128,95
"96",119.149368,96
"97",119.195088,97
"98",119.216424,98
"99",119.22252,99
"100",119.22252,100
"101",119.216424,101
"102",119.20728,102
"103",119.195088,103
"104",119.173752,104
"105",119.158512,105
"106",119.195088,106
"107",119.307864,107
"108",119.429784,108
"109",119.371872,109
"110",119.377968,110
"111",119.347488,111
"112",119.320056,112
"113",119.292624,113
"114",119.240808,114
"115",119.210328,115
"116",119.213376,116
"117",119.20728,117
"118",119.20728,118
"119",119.19204,119
"120",119.1768,120
"121",119.164608,121
"122",119.155464,122
"123",119.128032,123
"124",119.106696,124
"125",119.097552,125
"126",119.094504,126
"127",119.097552,127
"128",119.097552,128
"129",119.08536,129
"130",119.067072,130
"131",119.045736,131
"132",119.027448,132
"133",119.015256,133
"134",119.003064,134
"135",118.97868,135
"136",118.97868,136
"137",119.006112,137
"138",119.018304,138
"139",119.030496,139
"140",119.051832,140
"141",119.064024,141
"142",119.05488,142
"143",119.051832,143
"144",119.036592,144
"145",119.021352,145
"146",119.021352,146
"147",119.036592,147
"148",119.05488,148
"149",119.060976,149
"150",119.051832,150
"151",119.036592,151
"152",119.021352,152
"153",119.021352,153
"154",119.0244,154
"155",119.027448,155
"156",119.045736,156
"157",119.030496,157
"158",119.045736,158
"159",119.033544,159
"160",119.033544,160
"161",119.042688,161
"162",119.045736,162
"163",119.042688,163
"164",119.021352,164
"165",119.003064,165
"166",118.990872,166
"167",118.990872,167
"168",118.987824,168
"169",118.984776,169
"170",118.97868,170
"171",118.97868,171
"172",118.945152,172
"173",118.923816,173
"174",118.929912,174
"175",118.957344,175
"176",119.006112,176
"177",119.045736,177
"178",119.0244,178
"179",119.03964,179
