$Constituent data for runoff (Weighted Average of Minor Tribs),
Auto-Generated,
JDAY,TDS
1,0
2,0
3,158.9456188
4,64.26831072
5,55.81182398
6,33.28715302
7,37.72443165
8,80.64731593
9,195.0147422
10,113.9558027
11,46.53599461
12,58.05069782
13,91.32807001
14,87.13421709
15,57.6962526
16,108.3354896
17,124.2139524
18,44.30502865
19,21.68671295
20,41.03362663
21,88.00026278
22,0
23,0
24,0
25,48.5243095
26,30.21537169
27,31.6361805
28,42.44921558
29,76.40167232
30,82.86918957
31,110.7401748
32,104.3142761
33,46.17231021
34,33.10072096
35,30.96747847
36,66.49738505
37,0
38,0
39,51.19399932
40,49.30990093
41,45.24671587
42,3000
43,125.1092051
44,182.8206616
45,114.0808682
46,101.812684
47,41.28769869
48,36.37132705
49,40.06667492
50,149.5458948
51,243.9450069
52,151.6751973
53,95.26619781
54,121.5478517
55,328.4214069
56,115.6635472
57,54.26585765
58,60.03190556
59,193.54804
60,229.5005345
61,72.54566527
62,74.99869183
63,52.31848661
64,153.8994681
65,333.3271486
66,163.1930209
67,200.0656564
68,419.1649267
69,0
70,0
71,0
72,149.190262
73,73.4343624
74,69.15331822
75,123.7479783
76,243.0486802
77,140.75234
78,193.5037107
79,75.16989761
80,65.45489116
81,49.29080509
82,54.16556258
83,68.0358741
84,66.18139245
85,91.22123336
86,78.8407813
87,202.2104247
88,51.3874514
89,64.0023943
90,61.89236839
91,140.7020375
92,392.6583747
93,385.4144384
94,367.0034128
95,483.8993589
96,0
97,1142.289627
98,314.3151882
99,175.6942251
100,67.35273034
101,81.4995841
102,85.82140274
103,114.0432424
104,76.12735885
105,71.08367883
106,64.27860851
107,58.8999576
108,60.32025086
109,44.31735056
110,67.27208935
111,191.0497472
112,144.0947388
113,60.66632347
114,35.06638726
115,74.61425059
116,201.6444726
117,73.16694398
118,33.51185491
119,31.05796867
120,131.0108961
121,0
122,79.47501994
123,50.65441488
124,27.49816112
125,47.92318852
126,65.83851424
127,92.49844942
128,62.84775456
129,39.71949803
130,56.55490126
131,110.8441427
132,84.13946778
133,99.24612649
134,61.26006413
135,29.33876248
136,22.72704282
137,32.57071155
138,41.52001347
139,31.32858269
140,36.77324266
141,105.0076273
142,957.3540403
143,64.30977402
144,30.94788403
145,27.62960205
146,25.64227944
147,28.47286525
148,42.46737856
149,85.93505016
150,83.15567516
151,145.6170443
152,200.8271156
153,75.29250627
154,26.27586384
155,27.73825584
156,35.91541086
157,94.0528408
158,40.2856885
159,30.88197141
160,89.52156853
161,0
162,0
163,212.0839785
164,210.5968763
165,175.1258187
166,0
167,0
168,0
169,135.3810976
170,117.9576767
171,177.3632935
172,327.4774414
173,124.4049155
174,62.10002344
175,37.46602547
176,46.16617147
177,65.18494991
178,121.9156006
179,220.2718356
180,0
181,0
182,0
183,3000
184,0
185,300.7481163
186,58.12797425
187,25.10965677
188,30.02432477
189,42.55628709
190,45.1060055
191,22.55927587
192,47.81167707
193,174.8397214
194,466.4234356
195,45.78923593
196,34.01422589
197,23.93285716
198,12.87074783
199,11.39234048
200,9.135002057
201,12.54420129
202,14.85147394
203,47.71836996
204,47.8163815
205,0
206,0
207,0
208,0
209,0
210,0
211,1071.246502
212,1650.829093
213,411.9926486
214,156.4774214
215,73.49922667
216,51.2422743
217,67.78394871
218,74.84406897
219,468.357621
220,97.15773582
221,27.87246296
222,14.37168919
223,15.16427907
224,22.29591424
225,26.97900962
226,53.68554202
227,0
228,0
229,311.7339864
230,79.31950534
231,35.52624169
232,15.62989562
233,17.59349526
234,14.00870464
235,33.66965371
236,20.08667899
237,23.85950051
238,18.90892203
239,42.4097896
240,15.54112202
241,27.92177572
242,40.44411931
243,91.30735998
244,55.02268317
245,49.03925273
246,51.34020406
247,87.41389881
248,28.00556679
249,36.9077342
250,15.1432181
251,33.93250308
252,102.6783645
253,0
254,0
255,0
256,0
257,113.8215525
258,64.36950255
259,46.25342645
260,0
261,174.9395993
262,9.853017812
263,9.684865536
264,11.12046297
265,0
266,0
267,0
268,0
269,0
270,31.85752126
271,22.93911196
272,24.18780675
273,31.23669733
274,7.588257213
275,5.677790018
276,9.798246593
277,0
278,0
279,0
280,8.321931327
281,7.211712529
282,6.61855629
283,24.20807567
284,52.65076194
285,0
286,0
287,167.1230351
288,18.78796628
289,21.36755264
290,22.1599637
291,16.66927079
292,10.39513418
293,16.80928312
294,42.04474552
295,54.74352427
296,21.51608851
297,22.29854768
298,70.53434332
299,73.6984874
300,101.0055841
301,127.8721422
302,171.316315
303,162.3316081
304,170.9826418
305,97.36712475
306,73.84735779
307,92.36099855
308,92.78483946
309,102.0809792
310,148.6514564
311,74.08532699
312,24.79965768
313,22.23732431
314,36.25946226
315,3000
316,143.2102327
317,22.09395264
318,65.84335682
319,0
320,0
321,0
322,427.076357
323,168.5777756
324,0
325,3000
326,0
327,1866.505974
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,354.2174346
