$Precipitation Constituents - Average of Lexington and Quabbin,
Auto-Generated,
JDAY,TDS
1,9.9
6,9.9
13,3.06
20,4.2
34,5.31
41,12.42
48,6.78
55,4.92
62,4.38
69,7.17
76,18.66
83,5.46
90,4.83
97,3.9
104,13.53
111,4.92
118,6.6
126,9.51
132,7.32
139,8.22
146,8.97
153,7.86
160,5.82
167,5.49
174,4.17
181,7.89
188,6.45
195,10.11
202,7.68
210,3.12
216,6.39
223,7.29
230,10.89
237,4.98
244,5.52
258,2.43
272,4.83
279,5.94
287,10.26
294,3.63
300,5.22
307,3.75
314,8.28
321,7.8
329,5.31
335,4.41
342,3.75
349,3.33
356,3.9
363,8.94
365,8.94
370,3.39
377,7.02
384,5.73
391,4.05
398,8.52
405,22.38
412,8.34
418,3.9
426,6.27
433,10.92
440,4.41
455,3.78
468,3.12
475,9.42
489,6.66
496,8.55
503,10.62
510,2.13
517,9
524,7.44
531,7.92
538,17.64
545,10.8
559,4.08
566,13.68
573,8.28
580,29.76
587,18.09
594,9.33
601,9.36
608,3.93
615,7.62
622,15.27
629,17.49
636,11.67
643,3.06
650,1.8
657,1.98
671,3.24
678,2.28
685,13.02
693,2.22
699,6.78
706,2.1
713,2.64
727,2.76
730,2.76
741,5.82
749,3.18
754,6.66
761,7.8
768,5.1
776,9.12
783,12.72
790,4.56
797,2.4
804,1.38
812,2.34
839,3.54
846,4.26
853,5.46
860,7.14
866,5.4
874,4.08
881,6.3
902,5.16
909,10.32
916,10.02
930,8.94
937,8.16
944,7.14
951,5.1
958,2.46
965,14.94
972,3.18
979,3.78
986,1.74
992,9
1000,2.28
1006,5.28
1014,2.52
1021,2.28
1028,3.24
1049,1.5
1056,3.54
1063,2.22
1069,1.44
1076,2.34
1084,10.98
1091,4.5
1095,4.5
1098,6.36
1112,3.78
1119,4.56
1126,6.36
1147,13.44
1154,4.5
1161,3.36
1175,6.84
1182,10.74
1189,5.34
1203,15.48
1210,1.92
1217,7.02
1223,7.08
1231,7.08
1238,3.12
1245,4.98
1252,3.96
1266,3
1273,5.88
1280,2.4
1287,10.56
1294,20.04
1301,5.88
1308,4.08
1315,6.72
1322,4.92
1329,4.98
1336,3.06
1350,4.08
1356,13.08
1364,3.18
1371,3.72
1378,4.56
1385,4.02
1406,7.8
1413,5.88
1420,3.78
1434,11.46
1441,6.78
1448,2.76
1454,3.36
1461,3.36
1462,6.9
1476,6.9
1483,3.72
1490,12
1497,5.82
1504,3.96
1511,17.58
1518,3.3
1525,2.64
1532,2.7
1539,2.88
1546,2.22
1553,5.28
1560,9
1567,8.4
1574,5.22
1581,10.02
1595,4.2
1609,4.14
1616,4.44
1623,2.16
1630,2.88
1638,10.44
1644,3.96
1651,5.16
1665,1.98
1672,3.24
1679,4.68
1686,2.34
1693,9.78
1700,5.04
1707,7.38
1714,8.16
1721,4.44
1728,1.56
1742,7.02
1756,16.38
1777,7.92
1784,1.92
1791,9
1798,1.74
1805,3.78
1812,3
1819,4.44
1826,2.04
1833,3.84
1840,4.38
1846,9.06
1854,11.64
1861,4.38
1868,2.94
1875,2.7
1882,7.02
1903,13.62
1910,4.62
1917,1.8
1924,5.94
1930,10.5
1945,3.6
1952,3.24
1959,5.4
1966,3.12
1973,3.3
1980,6
1987,4.2
1994,3.9
2001,4.32
2007,4.92
2015,4.74
2022,4.32
2029,5.22
2036,4.86
2057,2.04
2064,21
2071,6.12
2078,5.1
2085,5.64
2092,3.78
2105,3.48
2113,4.32
2120,3.66
2127,1.32
2134,3.6
2140,6.3
2148,2.28
2155,2.1
2162,1.74
2168,4.08
2176,1.62
2183,4.32
2190,3.78
2191,3.78
2193.5,2.94
2200.5,6.66
2207.5,4.86
2214,2.28
2221,2.64
2228.5,8.16
2235.5,10.08
2242.5,4.68
2249,5.28
2256,3.78
2263,2.76
2270,5.22
2277.5,6.36
2284,4.86
2291,4.32
2298.5,4.92
2305.5,6.48
2312.5,21.9
2319.5,0
2326.5,5.22
2333.5,0
2341,3.3
2348,0
2354.5,3
2361.5,3.6
2368.5,2.04
2375.5,3.6
2382.5,4.44
2389.5,6.66
2396.5,7.08
2403.5,11.22
2410,7.32
2417,3.84
2424.5,2.88
2431.5,0
2438.5,0
2445.5,3.36
2452.5,0
2459.5,0
2466.5,1.92
2473.5,7.08
2480.5,0
2487.5,10.14
2494.5,1.92
2501.5,0
2508.5,5.4
2515.5,2.76
2522.5,2.22
2529.5,2.88
2536.5,4.38
2543,2.46
2549.5,2.22
2556,2.22
2557,3.06
2564.5,2.76
2571.5,3.78
2578.5,4.65
2585.5,5.085
2592.5,5.52
2600,5.34
2607,24.24
2613.5,4.2
2620.5,6.66
2627.5,3.9
2634.5,7.92
2641.5,2.52
2648.5,3.78
2655,3.78
2662,7.5
2669,11.22
2676,3.48
2683.5,3.96
2690.5,4.44
2698,3.36
2705,4.74
2711.5,3.18
2718.5,3.78
2725.5,6.69
2732.5,9.6
2739.5,3.3
2746.5,5.1
2753.5,2.88
2760.5,10.62
2767.5,3.18
