$Gates 1  inflow constituents,
Auto-Generated,
JDAY,TDS
1,472.74
5,472.74
12,512.1
20,448.03
26,389.63
33,444.1
41,493.1
48,471.29
54,585.81
62,477.99
68,1310.28
75,541.8
82,520.2
89,444.6
96,505.2
103,472.2
111,297
117,462.6
124,464.4
131,438
138,453.6
146,472.2
152,466.2
159,475.2
166,447
173,411
180,264
187,409.8
194,330
201,333
208,294.6
215,309.6
222,327
229,374.4
236,342
243,321
251,358.8
257,448.8
264,468.6
271,435.6
279,454.8
286,446.4
292,381.6
300,425.4
306,669.6
313,442.2
320,366
334,394.2
341,270
356,360.74
365,360.74
369,389.82
376,392.04
384,700.2
391,348.57
397,422.08
404,401.86
413,1000.34
418,481.44
425,1171.38
432,402.36
440,306.89
446,406.2
453,313.2
461,412.8
467,411.6
475,437.4
481,451.8
490,462
495,442.8
502,470.4
510,474
518,469.8
523,436.8
530,454.2
537,485.4
544,494.4
552,492.6
558,463.2
565,484.8
573,498.6
579,498
588,486.6
593,470.4
600,274.86
608,483.6
615,405
621,501.6
628,502.8
635,498.6
642,499.2
650,543.6
656,514.2
663,534.6
670,534.6
677,292.02
684,484.8
691,426
698,407.77
705,365.57
712,258.45
719,368.76
730,368.76
731,399.003
732,384.24
733,374.543
734,379.455
735,395.844
736,402.671
737,401.723
738,398.975
739,396.277
740,393.637
741,401.384
742,404.72
743,393.492
744,413.618
745,423.412
746,428.876
747,441.459
748,444.411
749,427.865
750,444.206
751,451.627
752,459.107
753,468.932
754,474.261
755,472.978
756,478.274
757,479.147
758,492.99
759,513.881
760,533.616
761,551.725
762,565.504
763,561.967
764,569.416
765,587.806
766,604.849
767,606.251
768,622.776
769,637.919
770,656.232
771,635.245
772,614.445
773,586.573
774,563.952
775,536.153
776,508.53
777,520.375
778,522.121
779,512.65
780,508.268
781,528.337
782,542.659
783,549.444
784,558.056
785,582.831
786,576.769
787,587.369
788,623.705
789,634.056
790,647.407
791,673.53
792,653.951
793,634.479
794,608.703
795,538.057
796,397.318
797,408.114
798,417.876
799,432.898
800,403.217
801,390.857
802,406.639
803,414.074
804,419.42
805,410.31
806,392.517
807,387.839
808,382.328
809,396.168
810,404.804
811,408.61
812,412.262
813,423.836
814,435.799
815,446.295
816,457.133
817,466.504
818,475.382
819,483.6
820,491.709
821,488.224
822,490.715
823,493.451
824,496.779
825,486.194
826,498.6
827,485.182
828,469.551
829,458.659
830,440.829
831,418.256
832,395.803
833,350.4
834,344.906
835,369.996
836,396.837
837,320.398
838,346.861
839,388.205
840,413.4
841,419.846
842,431.341
843,423.56
844,406.231
845,412.612
846,417.084
847,416.83
848,422.184
849,428.488
850,439.764
851,451.841
852,458.375
853,464.481
854,467.4
855,467.541
856,474.22
857,477.811
858,475.785
859,472.962
860,475.03
861,476.4
862,475.083
863,471.2
864,467.473
865,440.704
866,403.48
867,392.638
868,388.8
869,393.955
870,402.664
871,419.57
872,434.833
873,440.673
874,438.978
875,448.8
876,455.677
877,464.881
878,474.658
879,480.194
880,483.037
881,486.283
882,479.4
883,451.121
884,463.346
885,476.024
886,481.035
887,483.813
888,483.789
889,485.4
890,473.039
891,442.403
892,452.002
893,444.419
894,453.259
895,459.436
896,466.2
897,477.068
898,483.56
899,490.164
900,499.73
901,511.522
902,520.762
903,511.8
904,472.583
905,471.53
906,460.737
907,446.248
908,452.134
909,457.2
910,455.745
911,463.142
912,469.096
913,473.896
914,478.226
915,480.551
916,485.979
917,490.689
918,492.6
919,487.83
920,477.904
921,478.472
922,477.907
923,478.022
924,476.4
925,478.775
926,484.117
927,490.052
928,493.189
929,496.537
930,492.835
931,496.2
932,502.477
933,509.022
934,511.561
935,518.423
936,520.981
937,511.465
938,517.8
939,518.898
940,520.304
941,505.323
942,510.211
943,516.31
944,518.513
945,510.6
946,496.563
947,487.602
948,480.313
949,454.526
950,427.553
951,417.596
952,324
953,368.246
954,404.786
955,434.664
956,464.718
957,414.556
958,404.463
959,452.4
960,472.727
961,456.35
962,449.892
963,476.669
964,488.253
965,502.047
966,512.4
967,509.839
968,491.801
969,508.899
970,370.262
971,354.793
972,391.661
973,418.8
974,398.31
975,373.764
976,347.706
977,320.684
978,292.008
979,248.795
980,189.3
981,117.444
982,159.559
983,230.743
984,285.669
985,332.994
986,375.617
987,416.4
988,423.001
989,429.493
990,434.826
991,439.282
992,442.479
993,444.05
994,445.8
995,446.111
996,441.784
997,409.11
998,413.598
999,422.047
1000,431.202
1001,439.8
1002,422.232
1003,421.388
1004,420.1
1005,418.937
1006,418.582
1007,403.342
1008,397.564
1009,402.6
1010,409.326
1011,415.216
1012,421.596
1013,425.897
1014,431.356
1015,436.2
1016,423.583
1017,411.862
1018,403.161
1019,410.268
1020,416.7
1021,422.898
1022,415.2
1023,365.307
1024,353.227
1025,356.551
1026,352.716
1027,344.355
1028,332.834
1029,321.498
1030,301.8
1031,305.021
1032,319.448
1033,314.464
1034,327.18
1035,341.572
1036,355.18
1037,365.4
1038,362.037
1039,368.359
1040,377.713
1041,386.747
