$Malagasco inflow constituents,
Auto-Generated,
JDAY,TDS
1,110.98
5,110.98
12,113.51
20,124.36
26,145.63
33,122.1
41,120.83
48,104.04
54,88.39
62,93.74
68,66.87
75,102
82,121.33
89,59.4
96,141
103,137.4
111,120
117,151.8
124,189
131,136.8
138,172.8
146,240.6
152,217.2
159,247.8
166,238.8
173,142.2
180,183
187,126
194,114.6
201,118.8
208,97.8
215,101.4
222,158.4
229,178.8
236,126
243,96.6
251,180.6
257,201
264,292.8
271,250.2
279,210
286,174
292,190.2
300,112.8
306,223.2
334,126
341,96.14
356,125.72
365,125.72
369,99.01
376,126.96
384,118.26
391,59.28
397,103.7
404,131.33
413,135.36
418,131.14
425,75.97
432,85.3
440,46.03
446,128.52
453,128.52
461,114.72
467,239.58
475,187.02
481,231.78
490,250.5
495,208.8
502,235.26
510,217.44
518,261.48
523,243
530,203.88
537,276.36
544,257.28
552,344.4
558,334.8
565,412.8
573,419.4
579,438
588,384
593,450.6
600,203.88
608,400.2
615,472.2
621,351
628,480
635,478.2
642,273.12
650,435.6
656,304.8
663,331.2
670,336
677,106.32
684,172.5
691,158.94
698,149.79
705,133.92
712,68.29
719,148.52
730,148.52
731,146.488
732,129.502
733,118.325
734,122.851
735,139.709
736,148.403
737,148.772
738,147.128
739,145.611
740,144.231
741,147.553
742,145.447
743,126.528
744,144.099
745,150.055
746,150.697
747,160.519
748,157.951
749,132.046
750,140.638
751,138.955
752,137.413
753,138.939
754,134.799
755,122.329
756,118.187
757,104.073
758,105.399
759,115.007
760,123.612
761,130.452
762,131.838
763,112.106
764,106.328
765,112.934
766,118.158
767,105.635
768,110.104
769,113.109
770,119.79
771,122.72
772,126.001
773,120.809
774,121.943
775,116.908
776,112.17
777,116.689
778,109.194
779,89.171
780,75.717
781,88.359
782,95.702
783,94.38
784,95.377
785,100.308
786,69.41
787,59.493
788,75.716
789,65.437
790,58.869
791,64.451
792,75.801
793,87.325
794,92.705
795,61.301
796,11.393
797,32.185
798,55.428
799,67.94
800,56.828
801,55.28
802,67.212
803,75.669
804,83.343
805,82.745
806,75.025
807,74.456
808,73.5
809,82.564
810,89.446
811,93.785
812,98.184
813,106.097
814,114.554
815,122.237
816,130.407
817,137.654
818,144.664
819,151.26
820,152.256
821,143.515
822,139.913
823,136.575
824,133.752
825,121.019
826,124.74
827,127.671
828,129.52
829,136.132
830,137.272
831,134.12
832,131.156
833,106.68
834,95.674
835,109.331
836,125.002
837,70.685
838,82.275
839,102.944
840,115.2
841,122.678
842,134.528
843,132.109
844,122.902
845,130.843
846,137.827
847,141.324
848,145.649
849,150.817
850,160.432
851,171.241
852,177.104
853,182.639
854,185.04
855,184.743
856,191.272
857,194.833
858,192.314
859,188.93
860,190.906
861,192.18
862,193.939
863,192.848
864,192.029
865,164.476
866,130.024
867,121.823
868,119.76
869,121.517
870,126.416
871,138.98
872,150.567
873,152.857
874,147.733
875,153.9
876,160.192
877,169.588
878,180.572
879,187.179
880,190.689
881,194.929
882,185.7
883,156.801
884,175.858
885,197.002
886,209.047
887,218.28
888,223.626
889,231.36
890,210.577
891,169.93
892,177.489
893,165.574
894,172.274
895,176.227
896,181.14
897,199.625
898,212.569
899,225.7
900,242.991
901,263.802
902,281.228
903,271.8
904,208.138
905,191.893
906,165.015
907,134.934
908,125.468
909,115.56
910,114.31
911,122.898
912,130.284
913,136.606
914,142.59
915,146.136
916,154.009
917,161.216
918,164.58
919,180.355
920,188.559
921,212.159
922,234.399
923,258.031
924,279.12
925,283.156
926,292.385
927,302.968
928,308.656
929,314.814
930,307.709
931,313.8
932,321.368
933,329.57
934,329.906
935,338.818
936,339.101
937,316.035
938,323.4
939,326.675
940,330.685
941,303.151
942,313.292
943,326.506
944,332.374
945,317.4
946,307.405
947,307.712
948,311.838
949,277.373
950,242.666
951,240.109
952,114.66
953,141.56
954,163.02
955,177.101
956,193.265
957,89.987
958,55.043
959,81.96
960,120.431
961,112.683
962,118.275
963,163.816
964,192.194
965,224.72
966,253.02
967,238.672
968,203.137
969,217.185
970,78.941
971,64.563
972,79.028
973,90.54
974,100.727
975,108.451
976,115.353
977,121.749
978,126.853
979,118.173
980,96.54
981,43.295
982,53.071
983,77.215
984,95.813
985,111.022
986,123.662
987,135.3
988,142.456
989,149.795
990,156.406
991,162.432
992,167.447
993,171.02
994,174.78
995,171.665
996,164.401
997,135.545
998,135.944
999,139.216
1000,143.153
1001,146.82
1002,132.571
1003,130.91
1004,128.933
1005,127.055
1006,125.803
1007,113.496
1008,108.25
1009,110.7
1010,121.67
1011,132.116
1012,143.053
1013,152.384
1014,162.728
1015,172.62
1016,160.619
1017,150.344
1018,142.956
1019,146.513
1020,149.695
1021,152.789
1022,145.92
1023,120.301
1024,117.848
1025,124.541
1026,127.597
1027,127.937
1028,126.178
1029,124.58
1030,117.06
1031,111.028
1032,112.503
1033,101.804
1034,102.145
1035,103.478
1036,104.349
1037,103.2
1038,99.438
1039,101.242
1040,104.844
1041,108.36
1042,111.36
1043,115.804
