$West Boylston inflow constituents,
Auto-Generated,
JDAY,TDS
1,295.67
5,295.67
12,240.33
20,265.74
26,284.5
33,283.86
41,261.92
48,255.61
54,221.1
62,227.56
68,1257.9
75,273
82,324.6
89,250.2
96,294.6
103,282
111,189
117,309
124,337.2
131,264.6
138,340.2
146,469.2
152,480
159,496.2
166,349.2
173,282.6
180,124.2
182,97.2
187,241.2
194,220.2
201,216
208,190.8
215,212.4
222,283.2
229,361.2
236,267.6
243,274.8
251,379.8
257,417.6
264,516
271,493.2
279,501
286,357
292,277.8
300,306.6
306,501
313,357.6
320,198.6
334,267.6
341,240.6
356,214.3296
365,214.3296
369,257.544
376,183.529
384,556.2
391,158.9904
397,234.171
404,258.2506
413,314.3299
418,280.2383
425,510.3648
432,233.7736
440,188.26
446,306.0288
453,279.3
461,309.6
467,327
475,322.8
481,358.8
490,429
495,347.4
502,441
510,424.2
518,436.8
523,361.2
530,339
537,451.2
544,459
552,508.8
558,477
565,487.8
573,496.2
579,502.8
588,493.8
593,492
600,201.06
608,508.2
615,503.4
621,495.6
628,499.8
635,392.4
642,310.8
650,496.8
656,483
663,446.4
670,448.2
677,304.2
684,400.8
691,338.4
698,334.4292
705,278.6551
712,135.4822
719,245.3016
730,245.3016
731,283.446
732,257.906
733,241.148
734,256.348
735,290.957
736,309.235
737,314.745
738,317.398
739,320.136
740,322.962
741,330.753
742,331.88
743,309.818
744,337.572
745,348.635
746,353.119
747,368.159
748,369.042
749,339.409
750,361.357
751,369.034
752,376.797
753,388.073
754,392.596
755,387.117
756,391.648
757,373.84
758,376.646
759,390.798
760,402.879
761,412.28
762,415.1
763,390.73
764,383.235
765,402.736
766,419.993
767,411.642
768,428.212
769,442.509
770,462.023
771,444.228
772,426.698
773,397.833
774,377.439
775,348.712
776,320.241
777,327.421
778,318.253
779,290.458
780,270.928
781,292.22
782,303.732
783,302.839
784,304.881
785,314.167
786,272.841
787,258.862
788,287.461
789,273.078
790,264.167
791,275.712
792,290.33
793,305.185
794,309.85
795,254.963
796,214.351
797,231.259
798,250.965
799,265.037
800,259.557
801,262.558
802,274.572
803,284.994
804,295.31
805,297.87
806,292.164
807,292.461
808,292.535
809,299.975
810,306.609
811,311.316
812,316.321
813,330.878
814,346.552
815,361.639
816,377.711
817,392.72
818,407.526
819,421.8
820,420.303
821,404.134
822,395.901
823,388.176
824,381.272
825,362.364
826,363.6
827,357.475
828,350.812
829,351.917
830,345.197
831,331.885
832,318.846
833,273.12
834,258.115
835,276.766
836,298.919
837,246.306
838,258.326
839,277.48
840,291.72
841,296.223
842,306.855
843,300.798
844,287.465
845,293.14
846,298.462
847,299.754
848,311.686
849,324.776
850,344.1
851,365.516
852,379.921
853,393.859
854,403.2
855,398.755
856,404.284
857,405.406
858,397.685
859,388.713
860,387.483
861,385.2
862,382.855
863,376.388
864,370.21
865,326.616
866,273.276
867,257.304
868,249.36
869,254.219
870,263.198
871,282.663
872,301.201
873,306.653
874,301.729
875,312.6
876,334.763
877,361.388
878,389.882
879,411.824
880,429.345
881,447.536
882,448.8
883,408.102
884,433.063
885,459.587
886,473.397
887,483.425
888,488.785
889,496.8
890,467.915
891,409.436
892,416.212
893,395.771
894,401.343
895,402.926
896,405.6
897,408.543
898,404.177
899,399.978
900,400.67
901,404.885
902,404.732
903,375
904,321.938
905,331.429
906,325.892
907,315.922
908,334.9
909,353.4
910,361.531
911,383.588
912,403.743
913,422.172
914,439.871
915,454.205
916,473.656
917,491.776
918,505.2
919,507.196
920,500.844
921,511.358
922,519.784
923,528.937
924,535.2
925,538.743
926,546.311
927,554.335
928,558.432
929,562.654
930,557.997
931,562.2
932,566.665
933,571.273
934,571.141
935,575.894
936,575.745
937,561.385
938,565.8
939,569.652
940,573.66
941,558.563
942,566.974
943,576.029
944,580.369
945,574.2
946,544.927
947,520.901
948,498.188
949,457.079
950,413.097
951,388.532
952,240.12
953,308.107
954,361.108
955,401.828
956,440.907
957,363.376
958,341.72
959,415.2
960,454.042
961,432.976
962,427.755
963,477.282
964,500.88
965,526.708
966,546.6
967,526.608
968,483.07
969,491.597
970,289.276
971,268.198
972,275.197
973,285.3
974,279.673
975,270.928
976,261.08
977,250.384
978,237.354
979,200.695
980,141
981,93.757
982,119.139
983,157.201
984,195.627
985,232.533
986,266.789
987,300
988,315.024
989,330.634
990,345.014
991,358.312
992,369.723
993,378.513
994,387.6
995,390.299
996,385.394
997,340.088
998,348.829
999,362.907
1000,378.435
1001,393.6
1002,361.304
1003,352.783
1004,343.712
1005,334.869
1006,327.268
1007,298.417
1008,283.127
1009,282.54
1010,300.975
1011,318.458
1012,336.924
1013,352.235
1014,369.485
1015,385.8
1016,359.44
1017,335.979
1018,318.437
1019,322.321
1020,325.606
1021,328.804
1022,312
1023,256.098
1024,241.918
1025,244.003
1026,241.013
1027,233.116
1028,221.088
1029,209.433
1030,185.64
1031,182.935
1032,195.355
1033,184.156
1034,194.226
1035,206.141
1036,217.227
1037,224.52
1038,222.925
1039,231.391
