                    JDAY,WB,VOLIN(m3),VOLPR(m3),VOLOUT(m3),VOLWD(m3),VOLEV(m3),VOLDT(m3),VOLTRB(m3),VOLICE(m3),%VOLerror
     1.000,   1,  0.28213727E+03,   0.00000000E+00,  -0.64549270E+03,  -0.39504800E+03,  -0.92031641E+02,   0.00000000E+00,   0.71778766E+03,   0.00000000E+00,  -0.21205569E-09,
     2.000,   1,  0.26156869E+06,   0.00000000E+00,  -0.65344403E+06,  -0.39096385E+06,  -0.92662491E+05,   0.00000000E+00,   0.65614909E+06,   0.00000000E+00,   0.11557045E-09,
     2.999,   1,  0.49560529E+06,   0.41602924E+04,  -0.13158134E+07,  -0.78278691E+06,  -0.12908844E+06,   0.42244127E+05,   0.12289470E+07,   0.00000000E+00,  -0.66778532E-10,
     3.999,   1,  0.70823434E+06,   0.83205849E+04,  -0.19965062E+07,  -0.11750429E+07,  -0.16261940E+06,   0.17865487E+06,   0.17426331E+07,   0.00000000E+00,  -0.63657146E-10,
     4.999,   1,  0.90397009E+06,   0.83205849E+04,  -0.26874170E+07,  -0.15668677E+07,  -0.20202308E+06,   0.37520022E+06,   0.22123425E+07,   0.00000000E+00,  -0.31084630E-10,
     5.999,   1,  0.10893085E+07,   0.37470933E+05,  -0.33610619E+07,  -0.19578286E+07,  -0.21617456E+06,   0.64131883E+06,   0.26520737E+07,   0.00000000E+00,  -0.70459461E-10,
     6.999,   1,  0.12762126E+07,   0.37470933E+05,  -0.40302988E+07,  -0.23487877E+07,  -0.24048324E+06,   0.96087289E+06,   0.31191647E+07,   0.00000000E+00,  -0.78574972E-10,
     7.998,   1,  0.14987607E+07,   0.55679996E+06,  -0.47064210E+07,  -0.27401797E+07,  -0.24860679E+06,   0.12121933E+07,   0.36952139E+07,   0.00000000E+00,  -0.18752048E-09,
     8.999,   1,  0.17285574E+07,   0.57760142E+06,  -0.53777104E+07,  -0.31315717E+07,  -0.25923307E+06,   0.13405326E+07,   0.42860209E+07,   0.00000000E+00,  -0.32351766E-09,
     9.999,   1,  0.19178310E+07,   0.57760142E+06,  -0.60360037E+07,  -0.35229637E+07,  -0.29197921E+06,   0.14195652E+07,   0.47826204E+07,   0.00000000E+00,  -0.20065424E-09,
    11.000,   1,  0.20871373E+07,   0.61510065E+06,  -0.67087544E+07,  -0.39143557E+07,  -0.31849601E+06,   0.15776840E+07,   0.52224639E+07,   0.00000000E+00,  -0.16905543E-09,
    11.999,   1,  0.22494829E+07,   0.71500427E+06,  -0.73903399E+07,  -0.43061784E+07,  -0.32969394E+06,   0.17741812E+07,   0.56308997E+07,   0.00000000E+00,  -0.21250075E-09,
    12.999,   1,  0.24003383E+07,   0.71500427E+06,  -0.80626695E+07,  -0.46975738E+07,  -0.33708300E+06,   0.19079507E+07,   0.60069728E+07,   0.00000000E+00,  -0.18711303E-09,
    13.996,   1,  0.25384734E+07,   0.71500427E+06,  -0.87421849E+07,  -0.50885320E+07,  -0.34098346E+06,   0.20035772E+07,   0.63528064E+07,   0.00000000E+00,  -0.20059676E-09,
    15.000,   1,  0.26630233E+07,   0.71500427E+06,  -0.94361074E+07,  -0.54799240E+07,  -0.34938309E+06,   0.21102437E+07,   0.66732702E+07,   0.00000000E+00,  -0.19453885E-09,
    15.996,   1,  0.27792406E+07,   0.71500427E+06,  -0.10122083E+08,  -0.58713160E+07,  -0.35678423E+06,   0.22006597E+07,   0.69763268E+07,   0.00000000E+00,  -0.19351017E-09,
    16.995,   1,  0.28927691E+07,   0.71500427E+06,  -0.10814009E+08,  -0.62627080E+07,  -0.35988301E+06,   0.22552645E+07,   0.72649185E+07,   0.00000000E+00,  -0.17999559E-09,
    17.999,   1,  0.30093245E+07,   0.71500427E+06,  -0.11498796E+08,  -0.66541000E+07,  -0.36226550E+06,   0.23503490E+07,   0.75464937E+07,   0.00000000E+00,  -0.16914113E-09,
    18.997,   1,  0.31321345E+07,   0.87773680E+06,  -0.12174726E+08,  -0.70454920E+07,  -0.36317950E+06,   0.25627111E+07,   0.78255449E+07,   0.00000000E+00,  -0.16130026E-09,
    19.998,   1,  0.32563005E+07,   0.93603750E+06,  -0.12872106E+08,  -0.74373130E+07,  -0.36376369E+06,   0.27758949E+07,   0.81099822E+07,   0.00000000E+00,  -0.14034384E-09,
    20.999,   1,  0.33768185E+07,   0.93603750E+06,  -0.13574591E+08,  -0.78299978E+07,  -0.36443438E+06,   0.28769960E+07,   0.84129109E+07,   0.00000000E+00,  -0.12802340E-09,
    21.997,   1,  0.34915828E+07,   0.93603750E+06,  -0.14268646E+08,  -0.82222609E+07,  -0.36585428E+06,   0.28610629E+07,   0.87122123E+07,   0.00000000E+00,  -0.12356596E-09,
    22.999,   1,  0.36013312E+07,   0.93603750E+06,  -0.14952833E+08,  -0.86136529E+07,  -0.36724478E+06,   0.27951889E+07,   0.89833586E+07,   0.00000000E+00,  -0.13092572E-09,
    23.999,   1,  0.37076408E+07,   0.93603750E+06,  -0.15643595E+08,  -0.90050449E+07,  -0.36788045E+06,   0.27731841E+07,   0.92336376E+07,   0.00000000E+00,  -0.12105236E-09,
    24.994,   1,  0.38129666E+07,   0.93603750E+06,  -0.16340739E+08,  -0.93968659E+07,  -0.36919652E+06,   0.28273400E+07,   0.94739657E+07,   0.00000000E+00,  -0.15008108E-09,
    25.999,   1,  0.39152526E+07,   0.93603750E+06,  -0.17045068E+08,  -0.97886927E+07,  -0.37112326E+06,   0.29745798E+07,   0.97023464E+07,   0.00000000E+00,  -0.17408925E-09,
    26.999,   1,  0.40128809E+07,   0.93603750E+06,  -0.17740960E+08,  -0.10180085E+08,  -0.37262444E+06,   0.31514321E+07,   0.99216128E+07,   0.00000000E+00,  -0.18609084E-09,
    27.999,   1,  0.41100023E+07,   0.93603750E+06,  -0.18420183E+08,  -0.10571477E+08,  -0.37395743E+06,   0.33072041E+07,   0.10146010E+08,   0.00000000E+00,  -0.19937305E-09,
    28.995,   1,  0.42195455E+07,   0.14228200E+07,  -0.19113941E+08,  -0.10962869E+08,  -0.37472252E+06,   0.34233912E+07,   0.10395917E+08,   0.00000000E+00,  -0.18564345E-09,
    29.993,   1,  0.43399198E+07,   0.14228200E+07,  -0.19805743E+08,  -0.11354261E+08,  -0.37556417E+06,   0.35135600E+07,   0.10665008E+08,   0.00000000E+00,  -0.15980193E-09,
    30.995,   1,  0.44548210E+07,   0.14228200E+07,  -0.20486118E+08,  -0.11745224E+08,  -0.37634891E+06,   0.35862295E+07,   0.10918192E+08,   0.00000000E+00,  -0.13610629E-09,
    31.996,   1,  0.45615092E+07,   0.14228200E+07,  -0.21180105E+08,  -0.12136181E+08,  -0.37793244E+06,   0.36452695E+07,   0.11146765E+08,   0.00000000E+00,  -0.12933207E-09,
    32.997,   1,  0.46623240E+07,   0.14228200E+07,  -0.21874611E+08,  -0.12527573E+08,  -0.37907037E+06,   0.37378045E+07,   0.11361015E+08,   0.00000000E+00,  -0.12254605E-09,
    33.997,   1,  0.47617689E+07,   0.14228200E+07,  -0.22559662E+08,  -0.12918965E+08,  -0.37955765E+06,   0.38912859E+07,   0.11569385E+08,   0.00000000E+00,  -0.11456364E-09,
    34.997,   1,  0.48606209E+07,   0.14631271E+07,  -0.23240737E+08,  -0.13310787E+08,  -0.38023865E+06,   0.40744415E+07,   0.11775337E+08,   0.00000000E+00,  -0.10734012E-09,
    35.994,   1,  0.49559256E+07,   0.14631271E+07,  -0.23931569E+08,  -0.13702614E+08,  -0.38174994E+06,   0.42095695E+07,   0.11973853E+08,   0.00000000E+00,  -0.10019722E-09,
    36.999,   1,  0.50486564E+07,   0.14631271E+07,  -0.24628326E+08,  -0.14094006E+08,  -0.38402293E+06,   0.42356874E+07,   0.12162444E+08,   0.00000000E+00,  -0.77696305E-10,
    38.000,   1,  0.51404029E+07,   0.14631271E+07,  -0.25307726E+08,  -0.14485398E+08,  -0.38567089E+06,   0.42008509E+07,   0.12348052E+08,   0.00000000E+00,  -0.61240865E-10,
    39.000,   1,  0.52350705E+07,   0.14631271E+07,  -0.25997906E+08,  -0.14876790E+08,  -0.38691501E+06,   0.42399242E+07,   0.12544452E+08,   0.00000000E+00,  -0.36458892E-10,
