$Direct Runoff Daily Discharge,
Auto-Generated,
JDAY,Flow
1,0
2,0
3,0.98
4,2.18
5,2.37
6,3.793333333
7,3.603333333
8,2.21
9,0.756666667
10,1.073333333
11,2.59
12,1.956666667
13,1.136666667
14,1.076666667
15,1.393333333
16,0.696666667
17,0.566666667
18,1.64
19,3.283333333
20,1.64
21,0.693333333
22,-1.076666667
23,-0.443333333
24,-0.063333333
25,1.326666667
26,2.086666667
27,2.006666667
28,1.596666667
29,1.09
30,0.996666667
31,0.683333333
32,0.683333333
33,1.463333333
34,2.093333333
35,2.146666667
36,0.973333333
37,-0.376666667
38,-0.43
39,1.343333333
40,1.713333333
41,1.713333333
42,2.96E-16
43,0.98
44,1.103333333
45,1.226666667
46,1.103333333
47,2.326666667
48,2.39
49,2.02
50,0.613333333
51,0.426666667
52,0.613333333
53,0.98
54,0.98
55,0.306666667
56,0.796666667
57,1.47
58,1.53
59,1.653333333
60,1.103333333
61,2.206666667
62,1.9
63,2.633333333
64,0.86
65,0.43
66,1.163333333
67,1.773333333
68,1.59
69,-1.466666667
70,-1.71
71,-1.28
72,2.33
73,3.37
74,3
75,1.53
76,0.733333333
77,1.223333333
78,0.916666667
79,2.263333333
80,2.326666667
81,2.816666667
82,2.263333333
83,1.65
84,1.65
85,1.103333333
86,1.41
87,0.553333333
88,2.326666667
89,3.123333333
90,3.553333333
91,1.166666667
92,0.37
93,0.37
94,0.736666667
95,0.43
96,-8.88E-16
97,0.426666667
98,0.856666667
99,0.98
100,2.086666667
101,1.963333333
102,2.27
103,1.406666667
104,1.773333333
105,1.65
106,1.593333333
107,1.533333333
108,1.286666667
109,1.656666667
110,1.043333333
111,0.676666667
112,1.836666667
113,3.306666667
114,4.35
115,1.716666667
116,0.613333333
117,1.65
118,3.056666667
119,2.873333333
120,0.61
121,-1.48E-15
122,0.92
123,1.41
124,2.513333333
125,1.41
126,1.41
127,2.02
128,4.1
129,4.1
130,2.51
131,1.043333333
132,1.286666667
133,0.976666667
134,1.343333333
135,2.693333333
136,3.246666667
137,3.123333333
138,2.693333333
139,2.873333333
140,2.016666667
141,0.606666667
142,0.06
143,0.793333333
144,1.59
145,1.65
146,1.59
147,1.346666667
148,1.406666667
149,1.1
150,1.036666667
151,0.486666667
152,0.283333333
153,0.55
154,1.37
155,1.206666667
156,0.743333333
157,0.33
158,0.84
159,1.26
160,0.486666667
161,-0.023333333
162,-0.49
163,0.596666667
164,0.596666667
165,0.696666667
166,-0.263333333
167,-0.693333333
168,-0.316666667
169,0.556666667
170,1.313333333
171,1.043333333
172,0.41
173,1.126666667
174,2.266666667
175,3.49
176,3.24
177,1.893333333
178,0.793333333
179,0.376666667
180,-0.896666667
181,-0.843333333
182,-1.22
183,0.053333333
