$Waushacum Daily Discharge,
Auto-Generated,
JDAY,Flow
1,0.66270023
2,0.580153359
3,0.531904132
4,0.478423061
5,0.451682525
6,0.429011202
7,0.459239633
8,0.598755471
9,0.492955961
10,0.406339878
11,0.398201454
12,0.373204866
13,0.343557751
14,0.312748003
15,0.279031676
16,0.273218516
17,0.266242724
18,0.287751416
19,0.29588984
20,0.294145892
21,0.27845036
22,0.26682404
23,0.254616404
24,0.250547192
25,0.249965876
26,0.236014292
27,0.227875869
28,0.233689029
29,0.2871701
30,0.284844836
31,0.26101088
32,0.245896664
33,0.233107713
34,0.239502188
35,0.230201133
36,0.222644025
37,0.217993497
38,0.217993497
39,0.231945081
40,0.283100888
41,0.2581043
42,0.249965876
43,0.409246458
44,0.67432655
45,0.468540689
46,0.376692762
47,0.322630375
48,0.292401944
49,0.267986672
50,0.29879642
51,0.333675379
52,0.293564576
53,0.29007668
54,0.364485127
55,0.311004055
56,0.2871701
57,0.253453772
58,0.297633788
59,1.057995104
60,0.854534507
61,0.551668876
62,0.501675701
63,0.43366173
64,0.374948814
65,0.369135655
66,0.448194629
67,0.773150269
68,1.3486531
69,0.976610865
70,0.912666106
71,1.3777189
72,0.889413467
73,0.67432655
74,0.604568631
75,0.592942311
76,0.552831508
77,0.528997552
78,0.540623872
79,0.514464652
80,0.456914369
81,0.41331567
82,0.362159863
83,0.331350115
84,0.322049059
85,0.299959052
86,0.334838011
87,0.340651171
88,0.367973023
89,0.622008111
90,0.68013971
91,0.504582281
92,0.442381469
93,0.430173834
94,0.808029228
95,0.616194951
96,0.581315991
97,1.435850499
98,0.796402908
99,0.509232808
100,0.415640934
101,0.473191217
102,0.576084147
103,0.474353849
104,0.40459593
105,0.356346703
106,0.318561163
107,0.287751416
108,0.253453772
109,0.245896664
110,0.241246136
111,0.456333053
112,0.912666106
113,0.66851339
114,0.491793329
115,0.399945402
116,0.374367498
117,0.354602755
118,0.298215104
119,0.257522984
120,0.230201133
121,0.215668233
122,0.209855073
123,0.204623229
124,0.197647437
125,0.197647437
126,0.277869044
127,0.570270988
128,0.802216068
129,0.517371232
130,0.460402265
131,0.383087238
132,0.350533543
133,0.306934843
134,0.25519772
135,0.240083504
136,0.219737445
137,0.297052472
138,0.320305111
139,0.25519772
140,0.208111125
141,0.176720061
142,0.157536634
143,0.138353206
144,0.13195873
145,0.120913726
146,0.106962142
147,0.100567667
148,0.156955318
149,0.248803244
150,0.227294553
151,0.187183749
152,0.150560842
153,0.109287406
154,0.094754507
155,0.087778715
156,0.069757919
157,0.080802923
158,0.087778715
159,0.100567667
160,0.113356618
161,0.13777189
162,0.158699266
163,0.339488539
164,0.341232487
165,0.335419327
166,0.389481714
167,0.349952227
168,0.2871701
169,0.217993497
