$Malden Brook Daily Discharge,
Auto-Generated,
JDAY,Flow
1,0.273527319
2,0.239456372
3,0.219541664
4,0.197467529
5,0.186430462
6,0.177072949
7,0.189549633
8,0.247134332
9,0.203465936
10,0.167715435
11,0.164356328
12,0.154039069
13,0.141802321
14,0.1290857
15,0.115169397
16,0.112770035
17,0.1098908
18,0.118768441
19,0.122127549
20,0.12140774
21,0.114929461
22,0.110130736
23,0.105092075
24,0.103412521
25,0.103172585
26,0.097414115
27,0.094055008
28,0.09645437
29,0.118528505
30,0.11756876
31,0.107731374
32,0.101493032
33,0.096214434
34,0.098853733
35,0.095014753
36,0.091895582
37,0.089976092
38,0.089976092
39,0.095734562
40,0.116848951
41,0.106531693
42,0.103172585
43,0.168915116
44,0.278326044
45,0.193388613
46,0.155478687
47,0.133164616
48,0.120687931
49,0.110610609
50,0.12332723
51,0.137723404
52,0.121167804
53,0.119728186
54,0.150440025
55,0.128365891
56,0.118528505
57,0.104612203
58,0.122847357
59,0.436683965
60,0.35270628
61,0.227699496
62,0.207064979
63,0.178992439
64,0.154758878
65,0.152359515
66,0.184990845
67,0.319115205
68,0.556652088
69,0.403092891
70,0.376699904
71,0.5686489
72,0.367102454
73,0.278326044
74,0.249533694
75,0.24473497
76,0.228179369
77,0.218341983
78,0.223140708
79,0.212343577
80,0.188589888
81,0.17059467
82,0.14948028
83,0.136763659
84,0.13292468
85,0.123807102
86,0.138203277
87,0.140602639
88,0.151879643
89,0.256731782
90,0.280725406
91,0.20826466
92,0.182591482
93,0.177552821
94,0.33351138
95,0.254332419
96,0.239936245
97,0.592642524
98,0.328712655
99,0.21018415
100,0.171554415
101,0.195308103
102,0.237776818
103,0.195787976
104,0.166995626
105,0.147080918
106,0.131485062
107,0.118768441
108,0.104612203
109,0.101493032
110,0.099573542
111,0.188349952
112,0.376699904
113,0.275926681
114,0.202986063
115,0.165076136
116,0.154518942
117,0.146361109
118,0.123087294
119,0.106291756
120,0.095014753
121,0.089016347
122,0.086616984
123,0.084457558
124,0.081578323
125,0.081578323
126,0.114689525
127,0.235377456
128,0.331112018
129,0.213543258
130,0.190029506
131,0.158117985
132,0.144681556
133,0.126686337
134,0.105332011
135,0.099093669
136,0.0906959
137,0.122607421
138,0.132204871
139,0.105332011
140,0.085897176
141,0.072940618
142,0.065022722
143,0.057104826
144,0.054465528
145,0.049906739
146,0.044148269
147,0.04150897
148,0.064782786
149,0.102692713
150,0.093815072
151,0.077259471
152,0.062143487
153,0.045108014
154,0.039109608
155,0.036230373
156,0.028792349
157,0.033351138
158,0.036230373
159,0.04150897
160,0.046787568
161,0.05686489
162,0.065502595
163,0.140122767
164,0.140842576
165,0.138443213
166,0.160757284
167,0.144441619
168,0.118528505
169,0.089976092
