$Gates Daily Discharge,
Auto-Generated,
JDAY,Flow
1,0.215775305
2,0.18889803
3,0.173188074
4,0.155774628
5,0.147067905
6,0.139686119
7,0.149528501
8,0.194954881
9,0.160506543
10,0.132304332
11,0.12965446
12,0.121515567
13,0.111862461
14,0.101830802
15,0.09085276
16,0.088959994
17,0.086688675
18,0.093691909
19,0.096341781
20,0.095773951
21,0.090663484
22,0.086877952
23,0.082903144
24,0.081578208
25,0.081388931
26,0.076846293
27,0.074196421
28,0.076089187
29,0.093502632
30,0.092745526
31,0.084985186
32,0.080063995
33,0.07589991
34,0.077981952
35,0.074953527
36,0.072492932
37,0.070978719
38,0.070978719
39,0.075521357
40,0.092177696
41,0.084038803
42,0.081388931
43,0.133250715
44,0.219560837
45,0.152556926
46,0.122651226
47,0.105048504
48,0.095206122
49,0.087256505
50,0.097288164
51,0.108644759
52,0.095584675
53,0.094449015
54,0.118676418
55,0.101262972
56,0.093502632
57,0.08252459
58,0.096909611
59,0.344483382
60,0.278236578
61,0.179623478
62,0.163345692
63,0.141200331
64,0.122083396
65,0.120190631
66,0.145932246
67,0.251737856
68,0.439121674
69,0.31798466
70,0.297164236
71,0.448585503
72,0.289593173
73,0.219560837
74,0.196847647
75,0.193062115
76,0.180002031
77,0.172241691
78,0.176027223
79,0.167509776
80,0.148771395
81,0.134575651
82,0.117919312
83,0.107887653
84,0.104859227
85,0.097666717
86,0.109023312
87,0.110916078
88,0.119812077
89,0.202525944
90,0.221453603
91,0.164292075
92,0.14403948
93,0.140064672
94,0.263094451
95,0.200633179
96,0.189276584
97,0.467513161
98,0.25930892
99,0.165806287
100,0.135332757
101,0.154071139
102,0.187573094
103,0.154449692
104,0.131736502
105,0.116026546
106,0.103723568
107,0.093691909
108,0.08252459
109,0.080063995
110,0.078549782
111,0.148582118
112,0.297164236
113,0.217668071
114,0.16012799
115,0.13022229
116,0.12189412
117,0.115458716
118,0.097098887
119,0.083849527
120,0.074953527
121,0.070221613
122,0.068328847
123,0.066625357
124,0.064354038
125,0.064354038
126,0.090474207
127,0.185680329
128,0.261201685
129,0.168456159
130,0.149907054
131,0.124733269
132,0.11413378
133,0.099938036
134,0.08309242
135,0.078171229
136,0.071546549
137,0.096720334
138,0.104291398
139,0.08309242
140,0.067761017
141,0.057540081
142,0.051293954
143,0.045047827
144,0.042965784
145,0.039369529
146,0.034826891
147,0.032744849
148,0.051104678
149,0.081010378
150,0.074007144
151,0.06094706
152,0.049022635
153,0.035583998
154,0.030852083
155,0.028580764
156,0.02271319
157,0.026309445
158,0.028580764
159,0.032744849
160,0.036908934
161,0.04485855
162,0.051672507
163,0.110537525
164,0.111105355
165,0.109212589
166,0.126815311
167,0.113944503
168,0.093502632
169,0.070978719
170,0.147257182
