$Muddy Brook Daily Discharge,
Auto-Generated,
JDAY,Flow
1,0.0792589123
2,0.069386311
3,0.0636157059
4,0.0572193727
5,0.054021206
6,0.0513097169
7,0.0549250357
8,0.0716111225
9,0.0589575067
10,0.0485982278
11,0.0476248728
12,0.0446352822
13,0.0410894888
14,0.0374046446
15,0.0333721736
16,0.03267692
17,0.0318426156
18,0.034415054
19,0.0353884091
20,0.035179833
21,0.0333026482
22,0.031912141
23,0.0304521084
24,0.0299654309
25,0.0298959055
26,0.0282272968
27,0.0272539418
28,0.0279491954
29,0.0343455287
30,0.0340674272
31,0.0312168874
32,0.029409228
33,0.02787967
34,0.028644449
35,0.0275320432
36,0.0266282135
37,0.0260720106
38,0.0260720106
39,0.0277406193
40,0.0338588511
41,0.0308692606
42,0.0298959055
43,0.0489458546
44,0.0806494195
45,0.0560374415
46,0.0450524344
47,0.0385865757
48,0.0349712569
49,0.0320511917
50,0.0357360359
51,0.0399075576
52,0.0351103076
53,0.0346931555
54,0.0435924018
55,0.0371960685
56,0.0343455287
57,0.0303130577
58,0.0355969852
59,0.1265361583
60,0.1022022817
61,0.0659795682
62,0.0600003871
63,0.0518659198
64,0.0448438583
65,0.0441486047
66,0.0536040539
67,0.092468731
68,0.1612988391
69,0.1168026076
70,0.1091548178
71,0.1647751072
72,0.1063738034
73,0.0806494195
74,0.0723063761
75,0.0709158689
76,0.066118619
77,0.0632680791
78,0.0646585864
79,0.0615299451
80,0.0546469343
81,0.0494325322
82,0.0433143003
83,0.0396294562
84,0.0385170504
85,0.0358750866
86,0.0400466083
87,0.0407418619
88,0.0440095539
89,0.074392137
90,0.0813446732
91,0.0603480139
92,0.0529088002
93,0.0514487676
94,0.0966402527
95,0.0736968834
96,0.0695253617
97,0.1717276433
98,0.0952497455
99,0.0609042168
100,0.0497106336
101,0.0565936444
102,0.0688996334
103,0.0567326951
104,0.0483896517
105,0.0426190467
106,0.0380998982
107,0.034415054
108,0.0303130577
109,0.029409228
110,0.0288530251
111,0.0545774089
112,0.1091548178
113,0.0799541659
114,0.058818456
115,0.0478334488
116,0.0447743329
117,0.0424104706
118,0.0356665105
119,0.0307997352
120,0.0275320432
121,0.0257939092
122,0.0250986556
123,0.0244729273
124,0.023638623
125,0.023638623
126,0.0332331229
127,0.0682043798
128,0.0959449991
129,0.0618775719
130,0.0550640864
131,0.0458172133
132,0.0419237931
133,0.036709391
134,0.0305216338
135,0.0287139744
136,0.0262805867
137,0.0355274598
138,0.0383084743
139,0.0305216338
140,0.0248900795
141,0.02113571
142,0.018841373
143,0.0165470361
144,0.0157822571
145,0.0144612752
146,0.0127926665
147,0.0120278876
148,0.0187718477
149,0.0297568548
150,0.0271844164
151,0.0223871665
152,0.0180070687
153,0.013070768
