$Weekly temp data for Stillwater (sb),
Auto-Generated,
JDAY,TEMP
1,0.6
5,0.6
12,0.3
20,0.4
26,0.2
33,0.6
41,0.4
48,0.3
54,0.3
62,0.1
68,1.6
75,3.4
82,3.6
89,6.8
96,8.9
103,6
111,9.2
117,17.4
124,13.1
131,15
138,14.1
146,15.4
152,13.2
159,16.6
166,16.5
173,17.2
180,18.5
187,18
194,18.1
201,18.9
208,20.1
215,19.6
222,17.5
229,20.8
236,22
243,16.9
251,15.2
257,15.7
264,12.5
271,14.1
279,11.7
286,10.6
292,6.3
300,8.4
306,9.7
313,5.4
320,9.5
334,5.6
341,2.7
348,0.7
356,0.1
365,0.1
369,0.2
376,0.1
384,0.5
391,0
397,0.2
404,0.3
413,0.3
418,0.4
425,0.4
432,2.6
440,2.2
446,8.2
453,6.7
461,12.3
467,11
475,9.9
481,12.4
490,14.7
495,10.2
502,13.7
510,18.6
518,18.9
523,17.6
530,15.9
537,20.4
544,21
552,20.3
558,19.9
565,21.7
573,18.9
579,17.6
588,19.4
593,17.6
600,17.2
608,18.7
615,16.5
621,14.9
628,15.4
635,15.6
642,13.7
650,11.7
656,9.2
663,9.1
670,7.1
677,6.2
684,6.9
691,4.4
698,2.2
705,1.2
712,1.1
719,0.4
730,0.4
733,0.1
740,0.2
749,0.7
756,0.3
764,0.2
770,0.2
776,0.2
784,0.7
791,0.2
798,0.2
805,2.4
812,3.2
819,4.4
826,5
833,11
840,8.6
847,13.6
854,15.3
861,12.9
868,11.2
875,16.2
882,20
889,19.3
896,15.3
903,19.2
909,19.5
918,21.1
924,21.6
931,19.6
938,19.2
945,18.6
952,21.1
959,18
966,17.1
973,18.4
980,18
987,18.6
994,13.4
1001,18.8
1009,12.6
1015,14.1
1022,11
1030,8.8
1037,4.9
1042,6.5
1050,10.3
1056,6.2
1065,8
1071,8.8
1079,3.5
1086,3.2
1095,3.2
1099,0.1
1106,1.1
1113,0.7
1121,1
1128,2.7
1134,1
1141,1.4
1148,2.5
1155,3.2
1162,2
1170,10.4
1176,12.6
1183,8.7
1190,7.8
1197,9
1204,14.2
1211,10.6
1218,10.1
1226,13.1
1232,16.1
1239,16.6
1246,19.4
1254,14.2
1261,17.2
1267,18
1274,17.8
1280,20
1288,18.2
1295,21.3
1302,18.1
1309,18.8
1316,18.9
1323,20.6
1330,18.4
1337,17.7
1345,19.3
1351,13.5
1358,16
1364,12.1
1371,14
1379,12.1
1386,9.3
1392,10.6
1402,10.6
1406,5.6
1414,6.9
1420,3
1428,3.4
1435,6
1442,4
1449,2.1
1461,2.1
1469,0.3
1476,0.9
1484,0.2
1490,0.7
1499,1.1
1506,0.4
1513,0.3
1518,0.9
1526,2
1534,0.9
1540,0.3
1547,3.7
1553,3.7
1561,11.8
1568,11.3
1575,8.7
1582,13.1
1588,14.2
1596,11.7
1603,16.4
1610,15.3
1617,17.6
1624,15
1631,16.4
1638,21.8
1644,20.9
1652,21.2
1659,23
1666,21.7
1673,20.3
1678,18.1
1688,17
1694,19.8
1701,18.5
1709,17.2
1715,16.5
1722,12.3
1729,12.2
1736,13.3
1744,11.1
1751,12.6
1757,8.5
1763,6.7
1771,7.2
1779,4.5
1786,2.3
1791,3
1799,1.6
1806,0.5
1814,0.4
1826,0.4
1835,0.2
1841,0.2
1849,0.1
1855,0.5
1861,0.6
1869,0.2
1877,0.6
1882,0.3
1891,0.4
1896,1.3
1904,0.4
1909,0.3
1918,2.6
1925,6.7
1934,7.4
1945,10.6
1953,12
1960,14.2
1967,18.7
1974,14.9
1981,17.9
1988,18.3
1994,19.1
2004,19.3
2008,21.8
2016,22.8
2024,20.7
2030,22.1
2038,17.8
2043,19.3
2052,19.2
2058,16.4
2065,19.3
2073,19.3
2079,16.4
2087,12.9
2094,12.8
2101,14
2108,12.3
2114,13.7
2121,12.2
2128,10.2
2135,7.2
2142,8
2149,2.1
2155,5.3
2164,2.9
2172,1.7
2177,2.2
2191,2.2
2197,0
2204,0.2
2212,0.1
2248,0.2
2268,0.2
2290,2.7
2297,10
2305,7.9
2310,11.8
2318,15.9
2323,18.4
2331,15.5
2338,19
2345,12.4
2352,17.7
2359,17.4
2367,20.2
2373,18.1
2380,21.4
2388,18.8
2394,20.3
2401,21.5
2409,18.5
2415,19.3
2420,20.8
2430,17.8
2437,18.9
2444,20.1
2450,16.5
2457,13.7
2465,16.4
2472,12.7
2480,10.8
2486,10.7
2494,9.8
2499,9.4
2507,8.6
2513,3.7
2518,4.9
2528,5
2533,3.9
2542,6.2
2556,6.2
2557,0.5
2563,0.5
2571,0.1
2577,0.3
2583,1.1
2591,2.2
2605,0.1
2612,1.9
2619,2
2624,3.5
2632,6.8
2639,6.3
2647,8.4
2653,3.8
2660,8
2667,10.8
2673,10.9
2682,9.6
2690,15
2695,13.2
2702,16.7
2709,19.7
2716,19.2
2723,17.6
2730,17
2737,19.8
2745,19.7
2751,19.1
2758,17
2765,21.3
2771,18.2
2779,18.8
2786,21.7
2793,17.7
2801,18.8
2807,17.8
2814,17.7
2821,17.1
2828,14.5
2835,11.3
2844,10.3
2849,14.1
2856,8.2
2863,8.7
2870,7.5
2879,5.9
2883,3.8
2891,4.5
2898,2.5
2905,1.4
2922,1.4
2923,0.336363636363636
2927,0.1
2933,0.3
2941,1.2
2949,2.3
2955,0.6
2961,1.1
2975,1.6
2982,6.2
2989,2.4
2998,0.9
3002,2
3010,2.2
3016,4.5
3025,11.1
3030,14.2
3039,11.8
3045,12.5
3052,10.9
3060,18.6
3066,15.3
3073,13.4
3080,11.9
3087,21.7
3093,21.2
3101,17.7
3109,20.7
3116,20.4
3122,20.8
3129,16.9
3136,20.1
3144,19.1
3150,18.4
3157,20.2
3165,14.1
3173,16.5
3179,17.6
3185,18.4
3192,18.9
3199,12.5
3207,14.8
3213,10.4
3222,12.2
3228,9.8
3235,6.8
3242,4.6
3248,4.2
3255,4
3262,4.8
3269,0.6
3275,1.2
3287,1.2
3288,0.609090909090909
3297,0.2
3305,0.2
3311,0.2
3323,0.4
3332,1.36
3338,2
3351,3.1
3365,1
3367,1.72857142857143
3379,6.1
3396,5.9
3401,8.31666666666667
3414,14.6
3424,15.2875
3430,15.7
3445,15.3
3458,18.6
3459,18.9307692307692
3471,22.9
3485,21.6866666666667
3486,21.6
3505,22.1
3506,22.1047619047619
3513,22.1380952380952
3526,22.2
3527,21.7
3540,15.2
3548,14.6857142857143
