$Hourly dew point temp from met data (2017 surface data),
Auto-Generated,
JDAY,TDEW
1,-17.22
1.001,-17.22
1.015,-21.11
1.043,-21.11
1.044,-21.11
1.057,-21.11
1.098,-21.11
1.14,-21.11
1.182,-22.22
1.223,-22.22
1.265,-22.22
1.307,-22.78
1.348,-22.78
1.39,-22.78
1.432,-22.78
1.473,-22.22
1.513,-22.22
1.515,-22.22
1.516,-22.22
1.542,-22.22
1.557,-22.22
1.598,-21.11
1.64,-21.11
1.682,-20
1.723,-20
1.765,-18.89
1.807,-20
1.848,-20
1.89,-21.11
1.932,-21.11
1.973,-21.11
2.015,-21.11
2.057,-21.11
2.098,-20
2.14,-20
2.182,-20
2.223,-20
2.265,-18.89
2.307,-18.89
2.348,-18.89
2.39,-20
2.432,-20
2.473,-20
2.515,-18.89
2.557,-17.78
2.598,-13.89
2.64,-12.22
2.682,-8.89
2.723,-7.22
2.75,-7.22
2.757,-6.11
2.762,-6.11
2.765,-6.11
2.793,-6.11
2.803,-6.11
2.807,-5
2.835,-6.11
2.846,-6.11
2.848,-6.11
2.89,-6.11
2.932,-6.11
2.973,-7.22
3.015,-7.22
3.057,-7.22
3.098,-7.22
3.14,-7.78
3.182,-7.78
3.222,-7.22
3.223,-6.11
3.252,-6.11
3.254,-6.11
3.258,-6.11
3.264,-6.11
3.265,-6.11
3.293,-6.11
3.307,-7.22
3.348,-7.22
3.379,-7.22
3.383,-7.22
3.39,-7.22
3.432,-7.22
3.473,-7.22
3.515,-7.22
3.557,-7.78
3.589,-8.89
3.593,-10
3.598,-11.11
3.627,-11.11
3.629,-11.11
3.636,-11.11
3.64,-11.11
3.668,-11.11
3.682,-12.22
3.723,-12.22
3.765,-12.22
3.807,-12.22
3.848,-12.22
3.89,-12.22
3.932,-12.78
3.973,-12.22
4.015,-12.22
4.057,-12.78
4.098,-12.78
4.14,-12.78
4.182,-13.89
4.223,-13.89
4.265,-13.89
4.307,-13.89
4.348,-13.89
4.39,-13.89
4.432,-15
4.473,-15
4.515,-15
4.557,-15
4.598,-13.89
4.64,-12.78
4.682,-12.22
4.723,-11.11
4.765,-11.11
4.807,-10
4.848,-11.11
4.89,-11.11
4.932,-11.11
4.973,-11.11
5.015,-11.11
5.057,-11.11
5.098,-11.11
5.14,-10
5.182,-8.89
5.223,-11.11
5.265,-8.89
5.301,-7.78
5.304,-6.11
5.306,-6.11
5.307,-6.11
5.333,-5
5.337,-6.11
5.342,-5
5.348,-5
5.39,-5
5.42,-5
5.426,-5
5.432,-3.89
5.473,-2.78
5.515,-2.22
5.557,-2.22
5.598,-2.22
5.64,-2.22
5.682,-2.78
5.723,-2.78
5.765,-2.78
5.807,-3.89
5.848,-3.89
5.89,-3.89
5.932,-7.22
5.973,-7.22
6.015,-8.89
6.057,-11.11
6.098,-11.11
6.14,-11.11
6.182,-11.11
6.223,-11.11
6.265,-11.11
6.307,-11.11
6.348,-11.11
6.39,-11.11
6.432,-11.11
6.473,-11.11
6.515,-12.22
6.557,-11.11
6.598,-11.11
6.64,-11.11
6.682,-11.11
6.723,-11.11
6.765,-12.22
6.807,-12.22
6.848,-12.22
6.89,-11.11
6.932,-11.11
6.973,-8.89
7.015,-8.89
7.057,-8.89
7.098,-8.89
7.14,-10
7.182,-8.89
7.216,-7.78
7.219,-7.22
7.221,-7.22
7.223,-7.22
7.251,-6.11
7.262,-6.11
7.265,-6.11
7.301,-5
7.305,-5
7.307,-5
7.334,-5
7.337,-5
7.338,-5
7.34,-5
7.341,-5
7.343,-5
7.347,-3.89
7.348,-3.89
7.376,-3.89
7.388,-3.89
7.39,-3.89
7.42,-3.89
7.432,-3.89
7.464,-3.89
7.469,-2.78
7.473,-2.78
7.512,-2.78
7.515,-2.78
7.545,-2.78
7.547,-2.78
7.549,-2.78
7.553,-2.22
7.555,-2.22
7.557,-2.22
7.584,-2.22
7.598,-1.11
7.631,-1.11
7.636,-1.11
7.64,-1.11
7.669,-1.11
7.672,-1.11
7.682,-1.11
7.713,-1.11
7.723,-1.11
7.756,-1.11
7.759,-1.11
7.762,-1.11
7.765,-1.11
7.803,-1.11
7.805,-1.11
7.807,-1.11
7.834,-1.11
7.836,-1.11
7.843,-1.11
7.848,-1.11
7.89,0
7.932,0
7.967,-1.11
7.969,-1.11
7.973,-1.11
8.001,-1.11
8.004,-1.11
8.008,-1.11
8.011,-1.11
8.015,-1.11
8.043,-1.11
8.045,-1.11
8.047,-1.11
8.049,-2.22
8.053,-2.22
8.057,-2.22
8.089,-2.22
8.094,-2.22
8.095,-2.22
8.097,-2.22
8.098,-2.22
8.128,-2.22
8.133,-2.22
8.14,-2.22
8.171,-2.22
8.174,-2.22
8.175,-2.22
8.177,-2.22
8.179,-2.22
8.182,-2.22
8.208,-2.22
8.211,-2.22
8.213,-1.11
8.216,-1.11
8.223,-1.11
8.256,0
8.265,0
8.296,0
8.303,0
8.307,0
8.347,-1.11
8.348,-1.11
8.375,-1.11
8.387,-1.11
8.388,-1.11
