$Weekly temp data for French,
Auto-Generated,
JDAY,TEMP
1,0.9
5,0.9
12,0.4
20,0.1
26,0.5
33,0.5
41,0.4
48,0.6
54,0.3
62,0.3
68,2.4
75,4.1
82,4.1
89,8.2
96,8.7
103,6.6
111,10.7
117,18.1
124,14.7
131,16.4
138,15.5
146,18.4
152,15.5
159,19.3
166,18
173,18.7
180,20.5
187,21.3
194,20.9
201,22.2
208,22.5
215,22
222,20.9
229,25.1
236,24.9
243,19.4
251,17.9
257,18.1
264,13.6
271,15.2
279,12.9
286,9.7
292,4.6
300,8.7
306,9.6
334,6.5
341,2.5
348,0.7
356,0.2
365,0.2
369,0.1
376,0.1
384,0
391,0.1
397,0.1
404,0.1
413,0.1
418,0.4
425,0.6
432,2.8
440,2.7
446,7.4
453,7.2
461,11.6
467,10.7
475,11.5
481,14.3
490,18.5
495,11.6
502,17.4
510,22.5
518,23.5
523,20.3
530,19.1
537,24.4
544,25.2
552,26.5
558,26.3
565,24.4
573,22.2
579,20.2
600,18.1
608,22
642,12.9
650,11.9
656,8.9
663,9.1
670,5.5
677,5.2
684,7.2
691,3.8
698,2.2
705,1.5
712,2
719,0.7
730,0.7
733,0.1
740,0.1
749,0.1
756,0.1
770,0.1
776,0.1
784,0.1
791,0.1
798,0.6
805,2.1
812,3
819,6.1
826,4.8
833,10.2
840,8.2
847,15.9
854,16.5
861,12.9
868,11.5
875,18.5
882,23.9
889,24.7
896,19
903,21.8
909,22.6
918,24
924,25.1
931,22.7
938,21.3
945,21.3
952,21
959,19.7
966,19.9
973,19.3
980,17.6
987,20.5
994,15.6
1001,20.5
1009,11.2
1015,13.9
1022,11
1030,8.9
1037,4.8
1042,7.2
1050,10.3
1056,4.1
1065,6.3
1071,9.8
1079,3.9
1086,4.3
1095,4.3
1099,0.2
1106,1.1
1113,0.5
1121,1.2
1128,2
1134,0.9
1141,1.6
1148,3.3
1155,2.9
1162,2.3
1170,8.5
1176,14.1
1183,6.5
1190,9.3
1197,10.8
1204,16
1211,10.7
1218,9.8
1226,14
1232,16.4
1239,18.3
1246,20.6
1254,16.6
1261,18
1267,22.4
1274,20.5
1280,23.6
1288,22
1295,25.4
1302,21.2
1309,22.2
1316,22.9
1323,22.4
1330,20.5
1337,19.9
1345,22
1351,15.4
1358,18.5
1364,12.4
1371,14.8
1379,12.1
1386,9.1
1392,10.9
1402,10.1
1406,3.6
1414,5.4
1420,3
1428,2.2
1435,7.4
1442,2.2
1449,2.8
1461,2.8
1469,0.2
1476,1.5
1484,0.1
1490,0.1
1499,0.2
1506,0.2
1513,0.6
1518,1.2
1526,2
1534,1.4
1540,0.9
1547,2.6
1553,2.3
1561,11
1568,13.8
1575,10.1
1582,15.2
1588,18.3
1596,13.5
1603,19.2
1610,16.9
1617,19.6
1624,17.6
1631,19.7
1638,23.9
1644,23.3
1652,23.2
1659,26.8
1666,26.2
1673,22.6
1678,19
1688,18.2
1694,21.9
1701,22.5
1709,19
1715,19.6
1722,14
1729,12.7
1736,14.8
1744,11.5
1751,13.2
1757,8.6
1763,4.4
1771,6.8
1779,2.2
1786,1.6
1791,0.9
1799,2.5
1806,0.4
1814,0.1
1826,0.1
1835,0.2
1841,0.2
1849,0.1
1855,0.1
1861,0.1
1869,0.1
1877,0.1
1882,0.15
1891,0.2
1896,0.2
1904,1
1909,0.5
1918,2.7
1925,6.2
1934,6.8
1945,9.9
1953,12.1
1960,14.1
1967,20.9
1974,12.9
1981,19.3
1988,21.2
1994,23.8
2004,22.2
2008,23.6
2016,25.6
2024,22.8
2030,25.6
2038,20.8
2043,22.8
2052,20.5
2058,19.7
2065,22.3
2073,20.8
2079,17.3
2087,14.8
2094,13.1
2101,14.7
2108,12
2114,16.4
2121,11.5
2128,11.7
2135,9.1
2142,9.2
2149,1
2155,8.6
2164,2
2172,1.5
2177,3
2191,3
2197,0
2204,0
2212,0
2248,0.1
2268,0
2290,2.6
2297,10
2305,7.3
2310,11.7
2318,18.4
2323,20.2
2331,18.6
2338,24
2345,15.9
2352,21.4
2359,21.9
2367,24.1
2373,20
2380,23.4
2388,20.7
2394,23.8
2401,24
2409,21
2415,21.3
2420,24.7
2430,20.4
2437,21.2
2450,19.1
2457,14.4
2465,16.5
2472,12.1
2480,10.7
2486,12.5
2494,10.6
2499,8.8
2507,8.4
2513,2.5
2518,3.6
2528,5.5
2533,3.6
2542,5.5
2556,5.5
2557,0.4
2563,0.4
2571,0.2
2577,0.1
2583,0.1
2591,4.5
2605,0
2612,6.1
2619,2.2
2624,4.4
2632,7.9
2639,7.1
2647,8.8
2653,3.5
2660,8.1
2667,12.5
2673,10.5
2682,9.3
2690,17.4
2695,18.5
2702,22
2709,25.2
2716,22.7
2723,21.2
2730,18.7
2737,22.6
2745,23.5
2751,23.6
2758,18.5
2765,19.6
2771,23.9
2779,19.9
2786,20.3
2793,18.6
2801,19.7
2807,19.1
2814,14.5
2821,12.1
2828,10.4
2835,15.1
2844,6.7
2849,8.6
2856,7.2
2863,6
2870,2.1
2879,4.6
2883,2.6
2891,0.8
2898,5.7
2905,5.1
2922,5.1
2923,0.390909090909091
2927,0.3
2933,0
2941,1.7
2949,2.1
2955,0.9
2961,0.4
2975,1.9
2982,7.7
2989,2.7
2998,1.5
3002,2.3
3010,3.3
3016,4.7
3025,11.4
3030,16.2
3039,13.1
3045,13.3
3052,11.6
3060,23.4
3066,16.7
3073,14.9
3080,16.1
3087,27.2
3093,24.7
3101,20.9
3109,24
3116,21.3
3122,22.6
3129,20
3136,22.4
3144,20.9
3150,21.5
3157,22.4
3165,15.5
3173,15.7
3179,18.6
3185,18.8
3192,19.8
3199,13.2
3207,13.6
3213,10.6
3222,12
3228,10.8
3235,5.9
3242,4.8
3248,5.3
3255,4.5
3262,6
3269,0.8
3275,2.1
3287,2.1
3288,0.859090909090909
3297,0
3305,0.114285714285714
3311,0.2
3323,0.4
3332,2.98
3338,4.7
3351,4.3
3365,4.5
3367,4.9
3379,7.3
3396,6
3401,9.13888888888889
3414,17.3
3424,19.925
3430,21.5
3445,18.9
3458,22.3
3459,22.6692307692308
3471,27.1
3485,23.6466666666667
3486,23.4
3505,25
3506,24.9238095238095
3513,24.3904761904762
3526,23.4
3527,22.8714285714286
3540,16
3554,14.2
3555,14.40625
3570,17.5
3574,14.7285714285714
3584,7.8
3598,9.1
3610,3
3611,3.14285714285714
3624,5
3638,1.7
3639,0.4
