$Weekly temp data for Malagasco,
Auto-Generated,
JDAY,TEMP
1,1.6
5,1.6
12,1.1
20,1.5
26,1
33,1.8
41,1.5
48,0.9
54,0.6
62,0.6
68,0.7
75,2.2
82,1.2
89,6
96,6.3
103,4.1
111,7.7
117,14.1
124,11.3
131,11.9
138,10.2
146,10.6
152,9.9
159,12.2
166,12.2
173,14.7
180,15.6
187,15.5
194,15.1
201,16.7
208,18.7
215,18.5
222,16.6
229,18
236,19.5
243,15.8
251,13.9
257,13.9
264,11
271,13
279,11
286,8.7
292,5.8
300,7
306,7.3
334,7
341,1.5
348,1.5
356,0.7
365,0.7
369,0.8
376,0.6
384,1.3
391,0.6
397,0.5
404,0.8
413,1.8
418,2
425,1.3
432,3.2
440,2.9
446,7
453,7.5
461,11.7
467,9.6
475,10.2
481,10.6
490,12.6
495,8.4
502,11.5
510,15.1
518,14.6
523,14
530,14
537,15.5
544,17.1
552,16.8
558,17.1
565,16.6
573,15
579,14.6
588,17.4
593,15.3
600,16.4
608,16.1
615,14.4
621,12.7
628,12.7
635,13.1
642,11.1
650,10.5
656,8.6
663,9
670,5.7
677,5.2
684,7.6
691,4.5
698,2.3
705,0.6
712,2.6
719,0.8
730,0.8
733,0.3
740,0.3
749,0.7
756,0.5
770,0.1
776,0.1
784,0.3
791,0.3
798,0.5
805,1.8
812,2.4
819,4.1
826,4.6
833,8
840,7.5
847,14.2
854,13.1
861,10.5
868,10.5
875,15.2
882,16.7
889,16
896,13.6
903,13.6
909,17.8
918,16.3
924,16.5
931,14.8
938,15.1
945,15.3
952,19.1
959,17.8
966,15.2
973,17.6
980,16.2
987,18.1
994,14.1
1001,17.2
1009,10.6
1015,12.5
1022,10.9
1030,8.5
1037,4.9
1042,7.6
1050,10.6
1056,5.3
1065,6.2
1071,10.1
1079,4.4
1086,5.5
1095,5.5
1099,0.7
1106,2.3
1113,1.7
1121,2.9
1128,2.7
1134,1.1
1141,2.9
1148,4.7
1155,3.6
1162,1.8
1170,7.1
1176,11.9
1183,5.9
1190,7.7
1197,8.3
1204,11.6
1211,10.1
1218,8.9
1226,12.9
1232,14.4
1239,15
1246,16.4
1254,13.2
1261,15
1267,15.8
1274,16
1280,16.3
1288,15.2
1295,16.2
1302,15.6
1309,15.6
1316,15.8
1323,19.1
1330,15.7
1337,14.5
1345,17.8
1351,12.6
1358,15.2
1364,11.2
1371,13.3
1379,11
1386,8.3
1392,10.2
1402,9.7
1406,3.6
1414,5.3
1420,3.6
1428,3.3
1435,7.7
1442,2.5
1449,3.1
1461,3.1
1469,0.9
1476,1
1484,0.5
1490,1.1
1499,0.4
1506,1.3
1513,0.4
1518,2
1526,1.6
1534,1.4
1540,0.6
1547,2.8
1553,2.6
1561,9.7
1568,12.6
1575,10.3
1582,12.2
1588,14
1596,10.7
1603,13.7
1610,13.3
1617,14.3
1624,15.1
1631,15.8
1638,17.6
1644,18.4
1652,16.2
1659,16.8
1666,18.2
1673,15
1678,13.6
1688,13
1694,15
1701,15.3
1709,13.9
1715,15.3
1722,11.7
1729,11.5
1736,13.3
1744,10.8
1751,12
1757,8.6
1763,6.4
1771,8.8
1779,5
1786,4.5
1791,4
1799,3.7
1806,1.5
1814,2.2
1826,2.2
1835,0.5
1841,0.3
1849,0.1
1855,0.6
1861,0.3
1869,0.1
1877,1
1882,0.6
1891,0.4
1896,2.2
1904,0.9
1909,0.1
1918,2.5
1925,6.7
1934,6.4
1945,8.6
1953,11.6
1960,12.2
1967,16.1
1974,11.3
1981,12.9
1988,13.9
1994,15.1
2004,14.8
2008,15.4
2016,17.4
2024,16
2030,16.5
2038,14.6
2043,15.3
2052,16.2
2058,14.1
2065,16
2073,15.3
2079,13.5
2087,12.2
2094,11.3
2101,13
2108,10.6
2114,14.3
2121,10.4
2128,12
2135,9.9
2142,10.1
2149,0.6
2155,8.6
2164,1.7
2172,1.1
2177,3.1
2191,3.1
2197,0.1
2204,0.3
2212,0.7
2248,0.5
2268,0.2
2290,2.2
2297,9.7
2305,7.2
2310,11.5
2318,15.5
2323,14.4
2331,12.5
2338,15.6
2345,11.5
2352,14.2
2359,16.3
2367,16.6
2373,16.2
2380,16.2
2388,14.5
2394,15.8
2401,16.1
2409,15
2415,15.8
2420,16.4
2430,14.9
2437,15.9
2444,16
2450,14.5
2457,12.8
2465,13.5
2472,11.1
2480,10.3
2486,12.1
2494,9.8
2499,9.8
2507,8.7
2513,5.3
2518,4.4
2528,6.4
2533,5.1
2542,6.2
2556,6.2
2557,1.1
2563,1.1
2571,0.7
2577,0.3
2583,1.4
2591,4.8
2605,0.2
2612,6
2619,0.9
2624,4.5
2632,8.6
2639,7.4
2647,9.3
2653,3.4
2660,7.9
2667,10.7
2673,8.3
2682,8.8
2690,13.3
2695,13.3
2702,16
2709,16
2716,15.1
2723,14.5
2730,13
2737,15.8
2745,15
2751,16.6
2758,15.4
2765,17.3
2771,17.9
2779,16
2786,18.6
2793,15.9
2801,15.9
2807,15.7
2814,16.5
2821,15.7
2828,12.6
2835,11.2
2844,9.6
2849,14.5
2856,6.8
2863,9.8
2870,8.9
2879,6.2
2883,2.6
2891,6.4
2898,3.2
2905,1.6
2922,1.6
2923,0.372727272727273
2927,0.1
2933,0.6
2941,2.1
2949,2
2955,0.7
2961,1.3
2975,2.8
2982,7.4
2989,4.1
2998,1.8
3002,2.8
3010,2.7
3016,4
3025,10.3
3030,12.3
3039,12.6
3045,11.3
3052,10.3
3060,18
3066,12.5
3073,12.5
3080,12.5
3087,16.7
3093,18.6
3101,15.4
3109,15.9
3116,15.4
3122,18.5
3129,15.6
3136,14.9
3144,14.7
3150,15.4
3157,15.9
3165,12.8
3173,13.1
3179,15.1
3185,14.9
3192,15.8
3199,12.2
3207,11.5
3213,10.6
3222,11
3228,11.6
3235,5.4
3242,6.4
3248,6.8
3255,6
3262,6.9
3269,0.4
3275,2.7
3287,2.7
3288,2.81818181818182
3297,2.9
3305,1.47142857142857
3311,0.4
3323,0.6
3332,3.72
3338,5.8
3351,3.6
3365,0.8
3367,1.2
3379,3.6
3396,5.5
3401,8.25
3414,15.4
3424,15.2125
3430,15.1
3445,12.8
3458,14
3459,14.3461538461538
3471,18.5
3485,19.4333333333333
3486,19.5
3505,16.9
3506,16.9571428571429
3513,17.3571428571429
3526,18.1
3527,17.6857142857143
3540,12.3
3554,12.1
3555,12.38125
3569,16.31875
3570,16.6
3576,13
