$Weekly temp data for West Boylston,
Auto-Generated,
JDAY,TEMP
1,4.4
5,4.4
12,2.7
20,3.1
26,1.6
33,3.1
41,2
48,1.8
54,1.3
62,1.5
68,1.9
75,4.3
82,2.6
89,6.8
96,6.7
103,4.7
111,8.7
117,13
124,11
131,10.4
138,9.9
146,10.2
152,9.8
159,11.6
166,12.9
173,14.4
180,17.5
182,16.9
187,14.9
194,14.3
201,15.4
208,17.5
215,16.7
222,14.8
229,15.5
236,18.3
243,15
251,13.3
257,14.6
264,12
271,13.3
279,11.6
286,10.1
292,6.3
300,7.8
306,8.3
313,7.7
320,9.7
334,8
341,3.7
348,3.5
356,1.8
365,1.8
369,2
376,1.4
384,3
391,1.8
397,1.5
404,1.6
413,2.8
418,2.9
425,3.4
432,5.1
440,4.3
446,7.8
453,7.8
461,10.6
467,9.8
475,10
481,10.4
490,12.5
495,8.3
502,11.4
510,13.8
518,14.2
523,14.1
530,14.1
537,15.3
544,15.8
552,16.1
558,16.8
565,16.2
573,15.5
579,15.2
588,17.2
593,15.5
600,17.4
608,16.1
615,14.7
621,13.5
628,13.3
635,13.8
642,12
650,11.5
656,9.8
663,10
670,7.6
677,6.2
684,9.4
691,7.2
698,6
705,3.9
712,4.7
719,3.4
730,3.4
733,2.4
740,2.3
749,4.5
756,2.1
764,2.5
770,1.1
776,1.3
784,1.4
791,3.2
798,3.5
805,4.2
812,4.8
819,6
826,5.8
833,8.3
840,8
847,12.8
854,11.8
861,10.2
868,10.8
875,14.2
882,13.4
889,13.6
896,12.7
903,12.9
909,15.7
918,14.7
924,15.4
931,14.7
938,15.4
945,15.5
952,18.9
959,16.4
966,14.5
973,16.4
980,16.9
987,15.8
994,13.5
1001,15.2
1009,11.1
1015,12.5
1022,11.5
1030,9.2
1037,6.6
1042,9.8
1050,10.9
1056,7
1065,7.1
1071,10.6
1079,7.1
1086,6.3
1095,6.3
1099,1.8
1106,3.5
1113,2.8
1121,4
1128,4.5
1134,2.2
1141,3.9
1148,5.2
1155,3.9
1162,4.1
1170,7.3
1176,11.8
1183,6.2
1190,7.5
1197,8.4
1204,11.2
1211,10
1218,9.3
1226,12.9
1232,14.4
1239,14.9
1246,15.5
1254,13.2
1261,14.5
1267,14.7
1274,14.4
1280,15.1
1288,14.8
1295,16.8
1302,15.5
1309,15.5
1316,16.2
1323,18.8
1330,15.1
1337,15.2
1345,16.3
1351,13.5
1358,15.2
1364,11.7
1371,13.2
1379,11.8
1386,9.7
1392,11
1402,10.3
1406,6.7
1414,7.5
1420,6.5
1428,6.6
1435,9.3
1442,5.3
1449,5.2
1461,5.2
1469,4.2
1476,4
1484,1.3
1490,4
1499,2.4
1506,3.9
1513,2.1
1518,4.4
1526,4
1534,3.5
1540,3.8
1547,4.7
1553,4.7
1561,9.3
1568,11.5
1575,10
1582,11.2
1588,12.1
1596,10.1
1603,13.4
1610,14
1617,13
1624,14.4
1631,14.4
1638,15.7
1644,17.3
1652,14.6
1659,16
1666,17.7
1673,15.6
1678,14.1
1688,14.1
1694,15.7
1701,15.9
1709,15.2
1715,15.2
1722,12.5
1729,12.2
1736,13.5
1744,11.1
1751,12.3
1757,9.5
1763,7.5
1771,9.1
1779,6.4
1786,5.6
1791,5
1799,5.4
1806,3.3
1814,3.7
1826,3.7
1835,1.9
1841,2.6
1849,1.3
1855,2.5
1861,2.6
1869,0.4
1877,4
1882,2.1
1891,1.8
1896,5.3
1904,3.3
1909,1.3
1918,4.6
1925,7.1
1934,7.5
1945,8.9
1953,11.7
1960,11.5
1967,15
1974,11
1981,12.3
1988,12.9
1994,13.4
2004,14
2008,15.1
2016,16.7
2024,17.3
2030,16.7
2038,14.9
2043,15.9
2052,16.2
2058,14.6
2065,16.4
2073,17.7
2079,14.1
2087,13.3
2094,12.1
2101,13.2
2108,11.9
2114,13.6
2121,11.3
2128,11.4
2135,10.5
2142,11.5
2149,3.3
2155,9.4
2164,4.6
2172,4.2
2177,5.2
2191,5.2
2197,1.8
2204,2.1
2212,1.9
2248,1.2
2268,0.8
2290,4
2297,10
2305,7.4
2310,11.7
2318,13.7
2323,11.7
2331,11.7
2338,14
2345,11.9
2352,13.7
2359,13.9
2367,14.9
2373,16.5
2380,15.5
2388,14.3
2394,15.9
2401,16
2409,15.6
2415,16.4
2420,17.1
2430,15.6
2437,16.3
2444,16.7
2450,15.1
2457,13.3
2465,14.1
2472,12.2
2480,11.5
2486,11.8
2494,10.5
2499,10.5
2507,9.7
2513,6.6
2518,6.7
2528,8
2533,6.7
2542,7.9
2556,7.9
2557,4.5
2563,4.5
2571,4.2
2577,3.9
2583,5.8
2591,7.9
2605,2.2
2612,6.2
2619,4.4
2624,7.7
2632,8.5
2639,8.5
2647,10
2653,6.2
2660,9
2667,10.9
2673,8.6
2682,9.4
2690,11.6
2695,12.2
2702,13.9
2709,14.5
2716,14.3
2723,14
2730,13.9
2737,15.8
2745,15.6
2751,16.2
2758,15.6
2765,17.3
2771,17.5
2779,16.1
2786,18.9
2793,16.9
2801,16.4
2807,16.1
2814,17
2821,16.9
2828,13.6
2835,12.7
2844,11.4
2849,14.6
2856,8.9
2863,10.9
2870,9.7
2879,8.1
2883,5.7
2891,7.4
2898,6
2905,5.4
2922,5.4
2923,2.45454545454545
2927,1.8
2933,2
2941,5.8
2949,5
2955,4.4
2961,3.2
2975,6.8
2982,8.7
2989,7.3
2998,5.4
3002,6.8
3010,5.2
3016,4.2
3025,10.2
3030,12.1
3039,11.8
3045,11.3
3052,10.3
3060,15.8
3066,11.6
3073,12.2
3080,12.7
3087,14.5
3093,16.2
3101,14.6
3109,15.4
3116,15.5
3122,16.3
3129,15.3
3136,15.8
3144,15.9
3150,16.3
3157,17.1
3165,13.8
3173,14.4
3179,15.4
3185,15.4
3192,16.6
3199,13.1
3207,13.2
3213,11.5
3222,11.4
3228,11.9
3235,8.3
3242,8.5
3248,8.2
3255,8.9
3262,7.5
3269,2.5
3275,6.6
3287,6.6
3288,4.88636363636364
3297,3.7
3305,3.47142857142857
3311,3.3
3323,3.5
3332,5.6
3338,7
3351,5.4
3365,3.7
3367,3.74285714285714
3379,4
3396,6.3
3401,8.57777777777778
3414,14.5
3424,13.75
3430,13.3
3445,12.3
3458,14.3
3459,14.4615384615385
3471,16.4
3485,17.1466666666667
3486,17.2
3505,17.3
3513,16.9190476190476
3526,16.3
3540,13.3
3554,12.5
3555,12.71875
3570,16
