$Constituent data for runoff (Weighted Average of Minor Tribs + load balance), , , , , , ,
From Trib WQ2017.R, , , , , , ,
JDAY,TDS,UV254,PO4,NH4,NO3,PSI,TOC
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,97.06683304,0.049290822,0.002468249,0.002305306,0.118567054,2.689064627,1.460085934
4,346.3207404,0.175525987,0.008721311,0.008100542,0.42536662,9.599261436,5.191615812
5,269.3027345,0.136228801,0.006715579,0.006202181,0.332588177,7.46842702,4.02322794
6,918.5026121,0.459194002,0.022456428,0.02061882,1.129384887,10.6,13.54073566
7,271.075229,0.133945462,0.006497662,0.005930252,0.33187442,7.379444812,3.943756963
8,195.9759857,0.095718837,0.004605374,0.004177358,0.238910607,5.286458002,2.813917319
9,157.6636608,0.076122999,0.00363224,0.003273834,0.191398487,4.214612052,2.234381075
10,110.7217932,0.05284937,0.002500582,0.002239186,0.133856502,2.93331383,1.548831624
11,210.0845778,0.099141465,0.004651037,0.004136983,0.252944135,5.516374377,2.900937259
12,494.3979532,0.231304925,0.01075776,0.009502874,0.594451544,10.6,6.757437085
13,2000,1.1,0.06,0.13,1.6,10.6,22
14,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0
16,2000,1.1,0.06,0.060089566,1.6,10.6,22
17,164.3860972,0.073690016,0.003276086,0.00278646,0.196356697,4.162383562,2.135539589
18,148.7981657,0.066140396,0.0029129,0.002457065,0.177510682,3.745407195,1.913603914
19,179.5310835,0.079131047,0.003451898,0.002886844,0.213903881,4.492424099,2.285670607
20,375.7338135,0.165112232,0.007274079,0.006047351,0.446311562,9.399552517,4.76536348
21,268.4182625,0.117597874,0.005231996,0.004324118,0.317866989,6.713125883,3.391283477
22,129.7934235,0.056692455,0.002547088,0.002092851,0.153235085,3.245273324,1.633561478
23,199.3062856,0.086791148,0.003937559,0.003216666,0.234582337,4.982020149,2.498785606
24,266.9819528,0.115908395,0.005309845,0.004312864,0.313272025,6.671942754,3.334337148
25,254.5481405,0.110173749,0.00509616,0.00411578,0.297763612,6.359548543,3.166733383
26,211.814472,0.091397788,0.004268562,0.003427958,0.247010765,5.290515232,2.624856019
27,220.9796322,0.095060651,0.004482403,0.003579557,0.256902071,5.517986044,2.727750637
28,557.8670507,0.239053469,0.011380279,0.009037641,0.646023658,10.6,6.853787597
29,489.4157953,0.208908048,0.010040253,0.007929569,0.564540391,10.6,5.984392616
30,533.730153,0.22693883,0.011010677,0.008648493,0.61324647,10.6,6.495320946
31,672.7895679,0.284952987,0.013956566,0.010902973,0.769991233,10.6,8.148721454
32,368.7171469,0.155557581,0.007690974,0.005975935,0.420329615,9.158204968,4.444566709
33,199.527762,0.0838498,0.004184677,0.003234169,0.226561964,4.950619669,2.39364518
34,222.4328934,0.076301151,0.003843669,0.002954885,0.206158927,4.517836629,2.17623513
35,291.4220222,0.084375133,0.004290124,0.00328077,0.227966762,5.010249624,2.404382952
36,220.57108,0.05520244,0.002832956,0.002155135,0.149142444,3.287397399,1.571662591
37,246.3799867,0.054261581,0.002810516,0.002126995,0.14659571,3.240701414,1.543486251
38,175.7966559,0.034546644,0.001805917,0.001359693,0.093329822,2.069229702,0.98179959
39,333.1997959,0.059078626,0.003116786,0.00233469,0.159599173,3.54889492,1.677456972
40,390.2956241,0.07182418,0.003824007,0.002849946,0.194024475,4.327100784,2.03747842
41,377.7849943,0.072276473,0.003883321,0.002879605,0.195239774,4.367074001,2.048414918
42,251.5280777,0.050118877,0.002717397,0.002004983,0.135381117,3.037147633,1.419117049
43,203.7228171,0.042362015,0.002317721,0.001701619,0.114424418,2.574636345,1.198358224
44,312.8516892,0.06803611,0.003756164,0.00274413,0.1837667,4.147221306,1.922825574
45,660.0000773,0.150468573,0.00838222,0.00609388,0.40640431,9.199109195,4.248481972
46,897.8736628,0.215161541,0.012094115,0.008749812,0.581115176,10.6,6.069282322
47,0,0,0,0,0,0,0
48,339.0488601,0.090590614,0.005183821,0.003714489,0.244653056,5.587952968,2.550449252
49,255.7543503,0.072543495,0.004188194,0.002986827,0.195907345,4.488131509,2.040365514
50,197.6615771,0.059768671,0.003481387,0.002471066,0.161402608,3.708874523,1.679407723
51,343.2776816,0.111187587,0.006533928,0.00461604,0.300246443,6.920384169,3.121108798
52,133.9463965,0.046731281,0.002770476,0.00194817,0.126186755,2.917365715,1.310470701
53,182.4818062,0.069019689,0.004127981,0.002889358,0.186364639,4.321847509,1.93355531
54,291.3668452,0.112074721,0.006665082,0.004915217,0.305339496,7.062767853,3.149545589
55,0,0,0,0,0,0,0
56,2000,1.1,0.06,0.13,1.6,10.6,22
57,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0
60,1010.369706,0.435037851,0.024946247,0.024526048,1.251508211,10.6,12.46495822
61,429.0437373,0.182256219,0.010383415,0.010673178,0.529155997,8.287040674,5.239614097
62,291.2280048,0.122053039,0.006907633,0.007417828,0.357652629,5.587088776,3.52073525
63,373.570015,0.154462204,0.008682945,0.009734142,0.45683938,7.118669385,4.47084603
64,511.7619185,0.208762495,0.011654696,0.013631019,0.623217413,9.686987338,6.06342224
65,536.1599255,0.215780486,0.011961943,0.014586875,0.650223499,10.081575,6.289132127
66,150.6418508,0.059812952,0.003292011,0.004183237,0.181939508,2.813921701,1.749454391
67,128.6490411,0.050394816,0.002753352,0.00364402,0.154745175,2.387393797,1.479237661
68,181.6785274,0.070022691,0.003797131,0.005231642,0.21706411,3.340562413,2.062774385
69,387.8389671,0.147081343,0.007914872,0.01134757,0.460302779,7.066468789,4.348582935
70,246.4020182,0.091946554,0.004909276,0.007321206,0.290520899,4.449038363,2.728472165
71,122.4505272,0.044962459,0.002381505,0.003692902,0.14343903,2.191233528,1.339198528
72,89.18003452,0.032223108,0.001692813,0.00272858,0.10379582,1.581744594,0.963363973
73,86.12638995,0.030623703,0.001595356,0.002672211,0.099605979,1.514187572,0.919022721
74,133.6931819,0.04678027,0.002416218,0.004204576,0.153647736,2.330026191,1.409271445
75,384.6359011,0.132447787,0.006781151,0.012256417,0.439303546,6.645723871,4.00551288
76,2000,1.1,0.06,0.13,1.6,10.6,22
77,2000,0.747231539,0.037567023,0.073209527,1.6,10.6,22
78,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0
81,551.2850742,0.20336717,0.009852103,0.020638727,0.685841725,10.35356566,6.227785734
82,217.4020179,0.083511044,0.004014472,0.008079647,0.27257479,4.156529504,2.539033263
83,100.6356444,0.040246824,0.001920327,0.003711602,0.127187589,1.959357417,1.21518775
84,129.84096,0.05405418,0.002560635,0.004750629,0.165453535,2.575219514,1.621203742
85,241.154025,0.104496682,0.004915929,0.008749876,0.309909926,4.874043901,3.113943585
86,81.98554378,0.036974511,0.001727803,0.002948758,0.106283282,1.689204005,1.094985781
87,88.5446887,0.04155904,0.001929499,0.003155532,0.115822286,1.860462523,1.223382175
88,129.0128647,0.063018542,0.002907558,0.004553557,0.170327714,2.765510145,1.844351278
89,377.8609689,0.195911228,0.008984404,0.01346457,0.513670877,8.431145575,5.701602105
90,111.5985404,0.061495417,0.002803673,0.004017638,0.156454385,2.596287417,1.780008663
91,87.62509482,0.051393028,0.002329828,0.003189612,0.126903041,2.129380477,1.479793058
92,124.4216691,0.07779928,0.003507578,0.004583424,0.1864931,3.164566487,2.228752314
93,250.5328646,0.16732021,0.007503525,0.009349321,0.389443799,6.683773194,4.769718145
94,311.6664692,0.222781036,0.009939173,0.011795648,0.503578557,8.742307885,6.320422224
95,573.0593769,0.400239213,0.017766973,0.020059684,0.878776572,10.6,11.30247462
96,332.4655909,0.227173799,0.010035468,0.010765204,0.484571773,8.611041997,6.386425744
97,286.0031682,0.191419443,0.008416121,0.008565504,0.396727554,7.134269094,5.357824145
98,440.6190292,0.289169306,0.012655608,0.012201224,0.582404491,10.59993976,8.059571526
99,1833.289918,1.1,0.051453877,0.046910964,1.6,10.6,22
100,825.4809753,0.522405807,0.022662821,0.01950235,0.993963418,10.6,14.44232054
101,494.534944,0.307732091,0.013293657,0.010775282,0.569178232,10.6,8.47440765
102,303.1790389,0.185648819,0.007986911,0.006083725,0.333825371,6.384628889,5.093101371
103,141.4466303,0.085294473,0.003654852,0.002609442,0.149119083,2.888717556,2.331356596
104,93.98234736,0.056421944,0.002408267,0.001607001,0.095912259,1.882233632,1.536653392
105,78.26173717,0.046783181,0.001989288,0.001236606,0.077330935,1.537638,1.269691974
106,73.99773668,0.044051326,0.001866209,0.001076756,0.070807427,1.42677973,1.191481988
107,75.73952806,0.04490784,0.001895645,0.001010911,0.070196005,1.4336584,1.210620849
108,67.29683657,0.039747439,0.001671924,0.00082011,0.060419777,1.250972002,1.068043156
109,59.77374896,0.035822308,0.001494178,0.000738904,0.053596711,1.118555065,0.958866681
110,43.00074002,0.026148094,0.001081576,0.000539197,0.038506898,0.810095369,0.697251658
111,36.34386107,0.022423808,0.000919859,0.000462266,0.032502758,0.689325438,0.595693984
112,43.31027915,0.027112982,0.001103087,0.000558775,0.038681035,0.827060328,0.717587085
113,82.7159344,0.052538538,0.002120101,0.001082473,0.073774358,1.590408058,1.385407633
114,41.9261049,0.027019107,0.001081486,0.000556533,0.037342289,0.811703801,0.709890388
115,24.79331944,0.016211181,0.000643667,0.000333824,0.022051699,0.483350524,0.424398456
116,18.37256402,0.012188205,0.000480072,0.000250915,0.01631769,0.360688929,0.317947585
117,56.03868464,0.037717688,0.001473862,0.000776278,0.049699126,1.107918634,0.980471526
118,239.4596612,0.161086564,0.006245105,0.00331451,0.208900794,4.696947533,4.172924791
119,275.3134876,0.185109092,0.00712033,0.003807825,0.236252831,5.357981685,4.7787817
120,99.78507719,0.067056761,0.002559351,0.001379058,0.084226909,1.926887175,1.725268974
121,44.05167829,0.029588263,0.001120584,0.000608348,0.036574331,0.844104565,0.758708283
122,34.73341559,0.023317812,0.00087634,0.000479307,0.028364951,0.660465493,0.595936931
123,52.1252516,0.034976386,0.001304494,0.000718781,0.041869163,0.983659997,0.890964418
124,57.50384215,0.038973806,0.001442593,0.000800739,0.04590966,1.088359798,0.989570333
125,36.63644038,0.025079602,0.000921334,0.000515154,0.029070312,0.695458882,0.634743332
126,28.6942826,0.019838859,0.000723368,0.000407411,0.022627079,0.546310964,0.500510111
127,97.27116314,0.067920713,0.002458172,0.001394502,0.076222072,1.857457276,1.70817281
128,119.2321304,0.084079751,0.003020573,0.00172588,0.092836686,2.283610605,2.107991647
129,87.36439813,0.062215137,0.002218718,0.001276788,0.067585879,1.67826728,1.555019004
130,70.07004185,0.050389633,0.00178392,0.001033877,0.05385348,1.350084018,1.255616547
131,59.86879773,0.043293585,0.001521618,0.000888091,0.045518587,1.152172586,1.075547024
132,73.44439195,0.05340438,0.001863486,0.001095262,0.055234911,1.411772843,1.322776077
133,86.50397917,0.063245675,0.002191122,0.001296822,0.06434533,1.660856278,1.561914512
134,49.34815992,0.036276364,0.001247857,0.000743675,0.036302468,0.946362042,0.893265002
135,294.7483163,0.217843175,0.007440623,0.004464925,0.214416523,5.645841233,5.348642977
136,369.5315973,0.274578208,0.009312664,0.00562663,0.265801126,7.0700174,6.722356792
137,225.6502828,0.168559991,0.005677056,0.003453424,0.160470475,4.312180737,4.115080997
138,138.9908908,0.104373823,0.003490913,0.002137968,0.097713458,2.653017863,2.540950666
139,93.07695456,0.069914455,0.002389967,0.00149335,0.065644001,1.766006317,1.703501032
140,206.8912514,0.155447965,0.005427139,0.003454784,0.146372353,3.902150216,3.790760386
141,64.70256926,0.048627408,0.001732723,0.001122274,0.045917919,1.213138783,1.186816178
142,39.92068575,0.030010474,0.001090687,0.000717938,0.028417283,0.744096411,0.733046497
143,37.1468518,0.027932563,0.001034784,0.000691512,0.026522291,0.688351814,0.682843425
144,50.46702101,0.037958495,0.001432535,0.000970976,0.036139505,0.929754204,0.928680836
145,36.60237643,0.028181877,0.001082885,0.000743818,0.026902884,0.686127018,0.690033391
146,44.31233702,0.034935091,0.001366033,0.000950139,0.033437181,0.845449528,0.856052478
147,0,0,0,0,0,0,0
148,0,0,0,0,0,0,0
149,0,0,0,0,0,0,0
150,326.8722257,0.284117311,0.01185663,0.008613988,0.27470059,6.714942186,6.983086762
151,275.3296763,0.245423239,0.010398509,0.007626778,0.237868809,5.766702442,6.036470818
152,0,0,0,0,0,0,0
153,0,0,0,0,0,0,0
154,2000,1.1,0.06,0.13,1.6,10.6,22
155,104.6166233,0.104793896,0.00470002,0.003565123,0.102530414,3.181393449,2.584852782
156,54.40579604,0.056187272,0.002553864,0.001951699,0.055098994,1.696127038,1.386872837
157,50.10271737,0.053379308,0.002458039,0.001891915,0.052463148,1.602308996,1.318459953
158,125.6613886,0.138200095,0.006445333,0.004994854,0.136129538,4.125231146,3.415813559
159,423.4822248,0.447644564,0.02113791,0.016488431,0.441903212,10.6,11.07152665
160,1990.1535,1.1,0.06,0.07600599,1.6,10.6,22
161,0,0,0,0,0,0,0
162,1073.433074,1.018563919,0.049838252,0.039584557,1.011946021,10.6,22
163,186.187758,0.170965641,0.008460646,0.006757391,0.170207635,4.964577244,4.239390065
164,89.29248736,0.079454237,0.0039758,0.003192426,0.079264152,2.294754619,1.971440505
165,73.81950549,0.063734452,0.003223968,0.002602085,0.063710677,1.830846388,1.582376631
166,58.03221949,0.050809691,0.002577719,0.002174254,0.051189184,1.465661071,1.262493069
167,42.21647358,0.037494861,0.001907833,0.001678784,0.038071406,1.086114669,0.932403048
168,60.13429604,0.054196105,0.002765814,0.00253486,0.055461634,1.576509388,1.348814253
169,83.71802233,0.076589672,0.003920294,0.003736594,0.078994025,2.237334665,1.907695732
170,91.55720202,0.085055933,0.004366702,0.004322498,0.088415868,2.495200052,2.120318267
171,59.14640697,0.055816578,0.002874219,0.002950973,0.058478015,1.644416465,1.39257935
172,83.15557874,0.07790769,0.004023944,0.00427996,0.082265153,2.305072978,1.94536082
173,98.85756696,0.091949381,0.00476368,0.005243069,0.09785725,2.732227561,2.297918153
174,130.4145978,0.120423381,0.00625798,0.007119939,0.129171346,3.593772794,3.012071826
175,2000,1.1,0.06,0.13,1.6,10.6,22
176,2000,1.1,0.06,0.129344909,1.6,10.6,22
177,164.49097,0.148606397,0.00779461,0.009740194,0.163208516,4.49305176,3.726625268
178,79.1915168,0.071023482,0.003736961,0.004809779,0.078619406,2.156802879,1.782627815
179,56.22649244,0.050059609,0.002642235,0.003500048,0.055852271,1.526894066,1.257562811
180,94.34990251,0.080789822,0.004277754,0.005827669,0.09085291,2.475138689,2.031353271
181,94.62335579,0.078014481,0.004143978,0.005801902,0.088427946,2.400756282,1.963331753
182,84.62556719,0.067251284,0.003583717,0.005153156,0.076833472,2.078796681,1.693993915
183,149.3637746,0.114524225,0.006122509,0.009036136,0.131882251,3.555953436,2.887384293
184,327.2677022,0.242332973,0.012997254,0.019677,0.281283513,7.558354545,6.115316177
185,335.938001,0.240439354,0.012937782,0.020080461,0.281309159,7.53329883,6.073155237
186,254.4890236,0.17620165,0.009512347,0.015127672,0.207796743,5.545790202,4.454762061
