$Muddy Brook inflow constituents, , , , , , 
FROM: Trib WQ, R (DCR), , , , , , 
JDAY,TDS,UV254,PO4,NH4,NO3,TOC
1,215.149090909091,0.11149,0.006925,0.0626,0.186,3.49
5,215.76,0.112043333333333,0.00684166666666667,0.0600444444444444,0.200888888888889,3.44777777777778
11,196.26,0.112873333333333,0.00671666666666667,0.0562111111111111,0.223222222222222,3.38444444444444
19,222,0.11398,0.00655,0.0511,0.253,3.3
27,188.28,0.111208235294118,0.00658529411764706,0.0497117647058824,0.230411764705882,3.20117647058824
33,224.52,0.109129411764706,0.00661176470588235,0.0486705882352941,0.213470588235294,3.12705882352941
39,225.72,0.107050588235294,0.00663823529411765,0.0476294117647059,0.196529411764706,3.05294117647059
53,198.42,0.1022,0.0067,0.0452,0.157,2.88
60,200.64,0.0972377777777778,0.00600518518518519,0.0436444444444444,0.140692592592593,2.81
67,191.52,0.0922755555555556,0.00531037037037037,0.0420888888888889,0.124385185185185,2.74
76,232.38,0.0858955555555556,0.00441703703703704,0.0400888888888889,0.103418518518519,2.65
80,196.56,0.08306,0.00402,0.0392,0.0941,2.61
88,158.4,0.0981285714285714,0.00472857142857143,0.0353428571428571,0.0821571428571429,2.90714285714286
94,159.72,0.10943,0.00526,0.03245,0.0732,3.13
103,196.98,0.126382142857143,0.00605714285714286,0.0281107142857143,0.0597642857142857,3.46428571428571
108,203.82,0.1358,0.0065,0.0257,0.0523,3.65
117,182.04,0.15755,0.00701,0.0281,0.04531,3.968
123,179.88,0.17205,0.00735,0.0297,0.04065,4.18
130,164.88,0.188966666666667,0.00774666666666667,0.0315666666666667,0.0352133333333333,4.42733333333333
138,174.12,0.2083,0.0082,0.0337,0.029,4.71
144,184.44,0.235511111111111,0.0096,0.0446555555555556,0.0298888888888889,4.93444444444444
151,162.54,0.267257407407407,0.0112333333333333,0.057437037037037,0.0309259259259259,5.1962962962963
158,143.4,0.299003703703704,0.0128666666666667,0.0702185185185185,0.031962962962963,5.45814814814815
165,178.92,0.33075,0.0145,0.083,0.033,5.72
171,177.6,0.311764285714286,0.0132742857142857,0.0907142857142857,0.0387428571428571,5.41314285714286
179,168.54,0.28645,0.01164,0.101,0.0464,5.004
187,346.62,0.261135714285714,0.0100057142857143,0.111285714285714,0.0540571428571429,4.59485714285714
194,217.44,0.238985714285714,0.00857571428571429,0.120285714285714,0.0607571428571429,4.23685714285714
200,212.4,0.22,0.00735,0.128,0.0665,3.93
207,217.38,0.19215,0.0080375,0.13,0.080125,3.5675
214,233.76,0.1643,0.008725,0.132,0.09375,3.205
222,230.7,0.132471428571429,0.00951071428571429,0.134285714285714,0.109321428571429,2.79071428571429
228,229.38,0.1086,0.0101,0.136,0.121,2.48
235,234.78,0.10134,0.00968,0.12776,0.1278,2.376
243,235.44,0.0930428571428571,0.0092,0.118342857142857,0.135571428571429,2.25714285714286
251,226.74,0.0847457142857143,0.00872,0.108925714285714,0.143342857142857,2.13828571428571
257,234.66,0.0785228571428571,0.00836,0.101862857142857,0.149171428571429,2.04914285714286
263,229.92,0.0723,0.008,0.0948,0.155,1.96
270,234.84,0.064675,0.00675,0.09015,0.156,1.8875
277,234.3,0.05705,0.0055,0.0855,0.157,1.815
285,233.16,0.0483357142857143,0.00407142857142857,0.0801857142857143,0.158142857142857,1.73214285714286
291,220.8,0.0418,0.003,0.0762,0.159,1.67
300,181.32,0.0583724137931034,0.0145913793103448,0.087,0.134855172413793,2.84310344827586
306,169.32,0.0694206896551724,0.0223189655172414,0.0942,0.118758620689655,3.6251724137931
313,210.6,0.0823103448275862,0.0313344827586207,0.1026,0.0999793103448276,4.53758620689655
320,200.82,0.0952,0.04035,0.111,0.0812,5.45
326,187.32,0.0938909090909091,0.0344590909090909,0.112272727272727,0.0840181818181818,5.18272727272727
333,221.7,0.0923636363636364,0.0275863636363636,0.113757575757576,0.0873060606060606,4.87090909090909
340,202.08,0.0908363636363636,0.0207136363636364,0.115242424242424,0.0905939393939394,4.55909090909091
347,215.82,0.0893090909090909,0.0138409090909091,0.116727272727273,0.0938818181818182,4.24727272727273
353,228.6,0.088,0.00795,0.118,0.0967,3.98
365,228.6,0.088,0.00795,0.118,0.0967,3.98
