"$Calculated Flow for Quabbin, Quinapoxet, Trout",
,(m3/s)
JDAY,Flow
1,1.096328101
2,3.873800338
3,7.569438802
4,9.413947273
5,5.377740902
6,1.809709364
7,1.477354833
8,1.396051193
9,1.308300135
10,1.211220177
11,1.716201746
12,2.449153965
13,2.699520402
14,1.997225884
15,1.65358863
16,1.433372204
17,1.32239418
18,1.383583764
19,1.357520849
20,1.338157688
21,1.2917547
22,1.364794734
23,1.454084026
24,1.798186122
25,1.787382744
26,4.799963229
27,7.364765762
28,7.123235745
29,6.842500467
30,6.644064955
31,6.489389428
32,6.460448507
33,6.39376588
34,6.315026155
35,6.207211139
36,6.174287867
37,4.601037883
38,1.127193597
39,1.279342929
40,1.318434594
41,1.302866071
42,1.2247529
43,1.15616262
44,1.193527472
45,1.121344937
46,1.071828046
47,1.095558984
48,1.027366072
49,1.008110508
50,1.294300877
51,1.465189985
52,1.315277843
53,1.299337572
54,1.714015502
55,2.801105771
56,4.140318628
57,8.791092725
58,6.086232014
59,4.418930178
60,3.8393265
61,3.641240716
62,2.959472126
63,2.532912714
64,2.33836824
65,7.013706629
66,10.9283753
67,10.1898799
68,8.688881007
69,4.215257894
70,1.99225497
71,1.955495281
72,1.783794208
73,1.796538599
74,2.424038205
75,1.962989771
76,6.777805306
77,10.77376692
78,10.67979694
79,10.66856168
80,10.73821292
81,9.135833403
82,8.121643028
83,8.021767647
84,8.067843883
85,8.247164147
86,8.91322382
87,5.852880775
88,6.837630892
89,6.891974656
90,5.9267012
91,6.751615738
92,6.170149305
93,7.019697813
94,12.01020524
95,15.59642211
96,15.76698467
97,20.37180984
98,15.45953632
99,10.7702825
100,8.148972744
101,6.627220685
102,5.864443637
103,5.355875224
104,4.333786366
105,3.642594089
106,3.237225844
107,3.077210274
108,2.792942696
109,2.517720652
110,2.328811631
111,2.818570107
112,3.167992265
113,2.983869296
114,2.688634387
115,2.67670196
116,3.334587476
117,3.537446502
118,2.988905991
119,2.666245704
120,2.267010479
121,2.149994221
122,2.104183587
123,2.124599232
124,1.983821005
125,2.442952812
126,3.245373756
127,3.406005273
128,3.08536897
129,2.525739027
130,2.455736332
131,2.328515454
132,3.393942649
133,3.395801686
134,7.374172535
135,8.006889737
136,6.491332427
137,5.041240711
138,3.730281391
139,3.030440949
140,2.494392494
141,2.201080377
142,2.019942807
143,2.049724788
144,1.934706894
145,1.905536481
146,10.45806637
147,10.18906233
148,6.42536183
149,4.318070084
150,3.590866327
151,3.331438822
152,3.978622152
153,3.83251915
154,3.099530489
155,2.729887671
156,2.959021126
157,4.945077628
158,8.994945383
159,5.460334638
160,3.921014699
161,3.489922564
162,2.989825552
163,2.527054963
164,2.178691694
165,1.890346112
166,1.58186284
167,1.463169721
168,2.123287015
169,2.019042461
170,1.934984849
171,2.66145424
172,2.192269951
173,1.682107647
174,1.37674369
175,1.281920136
176,1.151459537
177,1.245834777
178,4.925928227
179,9.172381862
180,9.626243236
181,9.493093792
182,9.711735638
183,8.81290622
184,7.922689346
185,7.668535886
186,7.463793633
187,7.36832921
188,7.275730494
189,7.334096506
190,7.226236014
191,7.182200656
192,6.836902866
193,7.817995177
194,7.85134287
195,7.988489572
196,8.044379311
