$French inflow constituents, , , , , , 
FROM: Trib WQ, R (DCR), , , , , , 
JDAY,TDS,UV254,PO4,NH4,NO3,TOC
1,134.88,0.21615,0.006825,0.00568,0.2545,6.145
5,130.32,0.209361111111111,0.00649722222222222,0.00497333333333333,0.2635,5.88833333333333
11,161.64,0.199177777777778,0.00600555555555556,0.00391333333333333,0.277,5.50333333333333
19,146.82,0.1856,0.00535,0.0025,0.295,4.99
27,144.9,0.180705882352941,0.00559705882352941,0.0025,0.283705882352941,4.86294117647059
33,157.38,0.177035294117647,0.00578235294117647,0.0025,0.275235294117647,4.76764705882353
39,168.78,0.173364705882353,0.00596764705882353,0.0025,0.266764705882353,4.67235294117647
53,162.3,0.1648,0.0064,0.0025,0.247,4.45
60,140.28,0.160561111111111,0.00624444444444444,0.00416703703703704,0.229888888888889,4.39814814814815
67,139.92,0.156322222222222,0.00608888888888889,0.00583407407407407,0.212777777777778,4.3462962962963
76,163.44,0.150872222222222,0.00588888888888889,0.00797740740740741,0.190777777777778,4.27962962962963
80,162.84,0.14845,0.0058,0.00893,0.181,4.25
88,135.6,0.18555,0.00712857142857143,0.00709285714285714,0.138342857142857,5.06714285714286
94,120.6,0.213375,0.008125,0.005715,0.10635,5.68
103,137.76,0.2551125,0.00961964285714286,0.00364821428571429,0.0583607142857143,6.59928571428572
108,151.44,0.2783,0.01045,0.0025,0.0317,7.11
117,148.2,0.30077,0.011125,0.0025,0.02618,7.452
123,162.24,0.31575,0.011575,0.0025,0.0225,7.68
130,157.98,0.333226666666667,0.0121,0.0025,0.0182066666666667,7.946
138,214.8,0.3532,0.0127,0.0025,0.0133,8.25
144,167.76,0.374944444444444,0.0138444444444444,0.00596666666666667,0.0140111111111111,8.77222222222222
151,151.68,0.400312962962963,0.0151796296296296,0.0100111111111111,0.0148407407407407,9.38148148148148
158,129.24,0.425681481481481,0.0165148148148148,0.0140555555555556,0.0156703703703704,9.99074074074074
165,167.88,0.45105,0.01785,0.0181,0.0165,10.6
171,160.62,0.429321428571429,0.0172842857142857,0.0206542857142857,0.0221742857142857,10.1525714285714
179,162.18,0.40035,0.01653,0.02406,0.02974,9.556
187,250.14,0.371378571428571,0.0157757142857143,0.0274657142857143,0.0373057142857143,8.95942857142857
194,273.84,0.346028571428571,0.0151157142857143,0.0304457142857143,0.0439257142857143,8.43742857142857
200,263.34,0.3243,0.01455,0.033,0.0496,7.99
207,248.76,0.30215,0.0145,0.028875,0.0583,7.64
214,193.2,0.28,0.01445,0.02475,0.067,7.29
222,317.94,0.254685714285714,0.0143928571428571,0.0200357142857143,0.0769428571428571,6.89
228,349.2,0.2357,0.01435,0.0165,0.0844,6.59
235,348.6,0.22882,0.01484,0.01646,0.08254,6.516
243,278.64,0.220957142857143,0.0154,0.0164142857142857,0.0804142857142857,6.43142857142857
251,432.6,0.213094285714286,0.01596,0.0163685714285714,0.0782885714285714,6.34685714285714
257,478.8,0.207197142857143,0.01638,0.0163342857142857,0.0766942857142857,6.28342857142857
263,456,0.2013,0.0168,0.0163,0.0751,6.22
270,393.6,0.184225,0.0146,0.014775,0.070025,5.8825
277,359.16,0.16715,0.0124,0.01325,0.06495,5.545
285,408,0.147635714285714,0.00988571428571429,0.0115071428571429,0.05915,5.15928571428571
291,407.34,0.133,0.008,0.0102,0.0548,4.87
300,219.18,0.173189655172414,0.0101724137931034,0.0120620689655172,0.0706896551724138,5.79793103448276
306,141.18,0.19998275862069,0.0116206896551724,0.0133034482758621,0.0812827586206896,6.41655172413793
313,174.72,0.231241379310345,0.0133103448275862,0.014751724137931,0.0936413793103448,7.13827586206897
320,171.42,0.2625,0.015,0.0162,0.106,7.86
326,175.62,0.257209090909091,0.0140727272727273,0.0145636363636364,0.116363636363636,7.98727272727273
333,178.26,0.251036363636364,0.0129909090909091,0.0126545454545455,0.128454545454545,8.13575757575758
340,174.36,0.244863636363636,0.0119090909090909,0.0107454545454545,0.140545454545455,8.28424242424243
347,171.06,0.238690909090909,0.0108272727272727,0.00883636363636364,0.152636363636364,8.43272727272727
353,196.56,0.2334,0.0099,0.0072,0.163,8.56
365,196.56,0.2334,0.0099,0.0072,0.163,8.56
