$MET data for Worcester Airport; FROM: NCEI CDO_2017_METDATA, , , , , 
JDAY,TAIR,TDEW,WIND,PH10,CLOUD
Day,C,C,m S-1,rad,tenth
1,2.22,-2.22,6.259,3.665,0
1.034722,2.22,-2.22,6.259,3.665,0
1.0375,1.67,-2.22,4.917,3.665,0.016
1.053472,2.22,-1.11,8.047,3.665,0.108
1.079167,1.67,-0.56,8.047,3.665,0.255
1.089583,1.67,-0.56,7.6,3.665,0.315
1.095833,1.11,-0.56,9.388,3.665,0.351
1.120833,0.56,-0.56,6.706,3.665,0.494
1.138194,0.56,-0.56,6.259,3.84,0.594
1.152083,0.56,-0.56,6.706,3.84,0.674
1.15625,0.56,-0.56,6.259,3.84,0.698
1.1625,0.56,-0.56,7.153,3.84,0.733
1.204167,0.56,-0.56,6.706,3.665,0.973
1.223611,0.56,-1.11,6.706,3.84,1.084
1.228472,0,-1.11,5.812,3.84,1.112
1.23125,0,-1.11,6.259,4.014,1.128
1.236806,0.56,-1.11,6.259,4.014,1.16
1.245833,0,-1.11,6.706,3.665,1.212
1.255556,0,-1.11,7.6,3.84,1.268
1.273611,0,-1.11,6.706,3.84,1.371
1.278472,0,-1.11,6.259,3.84,1.399
1.2875,0,-1.11,6.706,3.84,1.451
1.323611,0,-1.11,6.706,4.014,1.658
1.329167,0,-1.11,8.941,4.014,1.69
1.35,0,-1.11,6.259,4.014,1.81
1.370833,0,-1.11,5.812,4.014,1.929
1.4125,0,-1.67,6.259,4.014,2.168
1.454167,0,-1.67,4.917,4.189,2.408
1.495833,0,-2.22,5.812,4.189,2.647
1.5375,0,-2.22,4.023,4.712,2.886
1.579167,0,-2.22,4.47,4.538,3.125
1.620833,1.11,-3.89,7.6,4.538,2.734
1.6625,1.67,-4.44,7.6,4.538,2.344
1.704167,2.22,-4.44,7.6,4.887,1.953
1.745833,2.78,-5.56,7.153,4.712,1.563
1.7875,2.22,-7.78,7.153,5.061,1.172
1.829167,2.22,-7.78,5.812,5.061,0.781
1.870833,1.67,-7.78,6.706,4.887,0.391
