$Direct Runoff Daily Discharge, 
FROM: 2017_WaterBalance, 
JDAY,M^3/sec
1,0
2,0
3,1.346666667
4,1.346666667
5,1.593333333
6,0.306666667
7,0.736666667
8,0.856666667
9,1.04
10,1.313333333
11,0.946666667
12,0.703333333
13,1.48E-16
14,-0.12
15,-0.18
16,0.063333333
17,1.16
18,1.28
19,1.036666667
20,0.49
21,0.673333333
22,1.593333333
23,1.163333333
24,0.92
25,0.98
26,1.223333333
27,1.346666667
28,0.55
29,0.49
30,0.366666667
31,0.246666667
32,0.43
33,0.736666667
34,0.733333333
35,0.61
36,0.916666667
37,0.916666667
38,1.406666667
39,0.916666667
40,0.856666667
41,0.856666667
42,1.223333333
43,1.346666667
44,0.856666667
45,0.366666667
46,0.243333333
47,-1.85E-16
48,0.55
49,0.673333333
50,1.103333333
51,0.796666667
52,1.716666667
53,1.103333333
54,0.92
55,-0.123333333
56,0.06
57,-0.37
58,-0.493333333
59,-0.373333333
60,0.363333333
61,0.733333333
62,0.98
63,0.613333333
64,0.366666667
65,0.306666667
66,1.04
67,1.223333333
68,0.916666667
69,0.43
70,0.616666667
71,1.106666667
72,1.41
73,1.406666667
74,0.916666667
75,0.366666667
76,0.003333333
77,0.066666667
78,-0.053333333
79,-0.056666667
80,-0.12
81,0.243333333
82,0.67
83,1.246666667
84,0.886666667
85,0.46
86,1.386666667
87,1.696666667
88,1.95
89,1.196666667
90,3.613333333
91,3.546666667
92,2.796666667
93,1.28
94,1.093333333
95,1.093333333
96,2.836666667
97,2.836666667
98,2.9
99,0.443333333
100,0.633333333
101,0.823333333
102,1.136666667
103,2.083333333
104,2.84
105,2.843333333
106,2.526666667
107,2.21
108,2.273333333
109,2.463333333
110,2.716666667
111,3.03
112,3.41
113,2.463333333
114,3.983333333
115,5.273333333
116,6.183333333
117,3.6
118,0.933333333
119,0.616666667
120,1.316666667
121,2.523333333
122,2.903333333
123,2.183333333
124,2.016666667
125,2.536666667
126,3.78
127,3.24
128,2.366666667
129,2.25
130,2.093333333
131,1.976666667
132,1.383333333
133,1.026666667
134,1.683333333
135,1.16
136,1.16
137,1.436666667
138,1.436666667
139,1.46
140,0.586666667
141,1.663333333
142,2.093333333
143,2.1
144,1.846666667
145,2.21
146,1.64
147,-0.5
148,-1.316666667
149,-0.476666667
150,0.84
151,0.84
152,-0.253333333
153,-0.123333333
154,0.023333333
155,1.316666667
156,2.083333333
157,2.463333333
158,2.08
159,1.056666667
160,0.15
161,-0.506666667
162,0.16
163,0.713333333
164,1.203333333
165,1.21
166,1.266666667
167,1.486666667
168,0.95
169,1.29
170,1.106666667
171,1.603333333
172,1.78
173,1.253333333
174,0.746666667
175,0.026666667
176,0.026666667
177,0.333333333
178,0.723333333
179,0.94
180,0.693333333
181,0.643333333
182,0.656666667
183,0.596666667
184,0.29
185,0.243333333
186,0.243333333
187,0.49
188,0.49
189,0.49
190,0.613333333
191,0.43
192,0.43
193,0.06
194,0.55
195,0.733333333
196,0.673333333
197,0.183333333
198,0.063333333
199,0.063333333
200,0.306666667
201,0.61
202,2.446666667
203,2.143333333
204,1.776666667
205,0.306666667
206,0.366666667
207,0.366666667
208,0.303333333
209,-0.553333333
210,-1.226666667
211,-1.896666667
212,-1.04
213,-0.366666667
214,-0.12
215,-0.183333333
216,-0.183333333
217,-0.063333333
218,1.68E-15
219,1.68E-15
220,0.673333333
221,0.673333333
222,0.246666667
223,-1.956666667
224,-2.813333333
225,-1.71
226,3.37
227,7.78
228,7.103333333
229,3.37
230,-0.183333333
231,-0.183333333
232,0.306666667
233,-0.243333333
234,-0.243333333
235,-0.55
236,-0.68
237,-0.433333333
238,-0.596666667
239,0.083333333
240,-0.496666667
241,-1.063333333
242,-1.43
243,-1.036666667
244,0.416666667
245,0.783333333
246,-0.353333333
247,-1.076666667
248,-1.886666667
249,-3.19
250,-3.19
251,-2.38
252,6.61
253,6.61
254,6.976666667
255,0.976666667
256,0.853333333
257,1.04
258,0.923333333
259,1.17
260,0.983333333
261,0.856666667
262,0.88
263,0.86
264,0.493333333
265,0.53
266,0.183333333
267,0.606666667
268,0.84
269,0.84
270,0.433333333
271,0.1
272,0.09
273,0.443333333
274,0.36
275,0.686666667
276,0.456666667
277,0.456666667
278,0.14
279,-0.103333333
280,-0.103333333
281,-0.103333333
282,-0.173333333
283,-0.323333333
284,-0.263333333
285,-0.09
286,0.47
287,0.41
288,0.926666667
289,1.06
290,1.18
291,0.663333333
292,0.12
293,-5.55E-16
294,-0.11
295,-0.136666667
296,0.283333333
297,1.653333333
298,0.823333333
299,-0.163333333
300,-2.013333333
301,-1.156666667
302,-0.283333333
303,0.116666667
304,-3.02
305,-3.073333333
306,-3.056666667
307,-0.573333333
308,-0.383333333
309,-0.21
310,0.443333333
311,0.303333333
312,0.176666667
313,-0.116666667
314,-0.42
315,-0.416666667
316,0.083333333
317,0.6
318,0.846666667
319,0.493333333
320,-0.166666667
321,-0.29
322,-0.143333333
323,-0.54
324,-0.62
325,-0.693333333
326,-0.153333333
327,-0.11
328,-0.446666667
329,-0.446666667
330,-0.46
331,0.07
332,0.046666667
333,-0.06
334,-0.203333333
335,-0.18
336,-0.366666667
337,-0.343333333
338,-0.343333333
339,-0.196666667
340,-0.196666667
341,-0.26
342,-0.063333333
343,-0.186666667
344,-0.246666667
345,-0.736666667
346,-0.43
347,0.013333333
348,0.503333333
349,0.22
350,-0.216666667
351,-0.216666667
352,-0.203333333
353,-0.086666667
354,-0.46
355,-0.373333333
356,-0.373333333
357,0.916666667
358,1.826666667
359,1.573333333
360,0.656666667
361,-0.736666667
362,-1.056666667
363,-1.246666667
364,-0.763333333
365,0
