$Malden Brook Daily Discharge, 
FROM: 2017_WaterBalance, 
JDAY,M^3/sec
1,0.100801634
2,0.088321432
3,0.101521646
4,0.362405875
5,0.333605408
6,0.216963517
7,0.15240247
8,0.126962058
9,0.122881992
10,0.108001751
11,0.146402373
12,0.254404124
13,0.379206147
14,0.261604241
15,0.192003112
16,0.156242533
17,0.135362194
18,0.134402179
19,0.130562116
20,0.129122093
21,0.126722054
22,0.14496235
23,0.162482634
24,0.17208279
25,0.174722832
26,0.181442941
27,0.208323377
28,0.214563478
29,0.167522716
30,0.136562214
31,0.115681875
32,0.11040179
33,0.102241657
34,0.092881506
35,0.085681389
36,0.084481369
37,0.08328135
38,0.081601323
39,0.091201478
40,0.103921685
41,0.1048817
42,0.104161688
43,0.097201576
44,0.099601615
45,0.094561533
46,0.090001459
47,0.094081525
48,0.086161397
49,0.084721373
50,0.11472186
51,0.154562505
52,0.140402276
53,0.133682167
54,0.182162953
55,0.362405875
56,0.583209454
57,0.628810193
58,0.405606575
59,0.290404708
60,0.247204007
61,0.247204007
62,0.22272361
63,0.177602879
64,0.144482342
65,0.125762039
66,0.11904193
67,0.118801926
68,0.124562019
69,0.123602004
70,0.111601809
71,0.098641599
72,0.090721471
73,0.086641404
74,0.086881408
75,0.099121607
76,0.111601809
77,0.103201673
78,0.094321529
79,0.089761455
80,0.090721471
81,0.102481661
82,0.113281836
83,0.099361611
84,0.092881506
85,0.091201478
86,0.095281545
87,0.128402081
88,0.219363556
89,0.410406653
90,0.381606186
91,0.30720498
92,0.360005836
93,0.348005641
94,0.388806303
95,0.686411127
96,0.993616107
97,0.823213344
98,1.25042027
99,0.76801245
100,0.477607742
101,0.360005836
102,0.295204785
103,0.244803968
104,0.217443525
105,0.177842883
106,0.146642377
107,0.128882089
108,0.115681875
109,0.112081817
110,0.089521451
111,0.084961377
112,0.11472186
113,0.159362583
114,0.131522132
115,0.103681681
116,0.090721471
117,0.16224263
118,0.178322891
119,0.134402179
120,0.103201673
121,0.086641404
122,0.078001264
123,0.087361416
124,0.089281447
125,0.071761163
126,0.084001362
127,0.244803968
128,0.219843564
129,0.15360249
130,0.114961864
131,0.092641502
132,0.079441288
133,0.069361124
134,0.06480105
135,0.266404318
136,0.333605408
137,0.252004085
138,0.155042513
139,0.1048817
140,0.09312151
141,0.082081331
142,0.063361027
143,0.058800953
144,0.069841132
145,0.061681
146,0.056400914
147,0.616809999
148,0.664810777
149,0.340805525
150,0.229443719
151,0.197043194
152,0.188883062
153,0.244803968
154,0.173282809
155,0.128882089
156,0.108721762
157,0.121441969
158,0.26400428
159,0.432007003
160,0.276004474
161,0.199203229
162,0.146402373
163,0.108961766
164,0.084961377
165,0.068161105
166,0.057120926
167,0.049680805
168,0.046080747
169,0.088801439
170,0.084961377
171,0.081121315
172,0.126242046
173,0.105361708
174,0.082561338
175,0.056640918
176,0.050400817
177,0.046080747
178,0.048000778
179,0.044160716
180,0.052800856
181,0.04752077
182,0.042000681
183,0.065281058
184,0.067441093
185,0.056400914
186,0.041520673
187,0.033120537
188,0.028560463
189,0.03456056
190,0.0432007
191,0.057120926
192,0.041760677
193,0.037680611
194,0.035520576
195,0.037200603
196,0.038640626
197,0.044640724
198,0.042240685
199,0.036480591
200,0.027600447
201,0.023040373
202,0.019368314
203,0.020544333
204,0.017592285
205,0.014304232
206,0.031200506
207,0.081361319
208,0.056640918
209,0.045840743
210,0.039360638
211,0.031200506
212,0.025440412
213,0.021312345
214,0.018672303
215,0.020472332
216,0.024720401
217,0.021240344
218,0.023808386
219,0.03456056
220,0.026160424
221,0.023928388
222,0.020832338
223,0.02032833
224,0.018360298
225,0.01668027
226,0.015816256
227,0.013704222
228,0.0123362
229,0.01111218
230,0.010560171
231,0.010152165
232,0.010272167
233,0.009672157
234,0.008520138
235,0.007776126
236,0.008688141
237,0.008544139
238,0.008208133
239,0.007584123
240,0.007608123
241,0.00679211
242,0.006384103
243,0.006264102
244,0.005904096
245,0.005496089
246,0.004992081
247,0.011640189
248,0.017664286
249,0.012024195
250,0.012528203
251,0.131042124
252,0.129842105
253,0.071761163
254,0.043440704
255,0.030720498
256,0.023760385
257,0.017184279
258,0.013824224
259,0.018960307
260,0.072961183
261,0.030720498
262,0.021144343
263,0.017616286
264,0.017088277
265,0.018168295
266,0.015168246
267,0.013128213
268,0.011664189
269,0.010128164
270,0.009072147
271,0.008568139
272,0.008064131
273,0.007128116
274,0.006888112
275,0.007032114
276,0.006600107
277,0.006264102
278,0.005952096
279,0.006048098
280,0.007704125
281,0.008808143
282,0.008112131
283,0.011304183
284,0.020904339
285,0.013992227
286,0.011352184
287,0.008712141
288,0.008160132
289,0.008064131
290,0.014496235
291,0.013008211
292,0.009144148
293,0.007920128
294,0.00739212
295,0.006744109
296,0.006360103
297,0.0061921
298,0.009312151
299,0.103921685
300,0.388806303
301,0.470407625
302,0.206163342
303,0.132722151
304,1.704027623
305,0.955215484
306,0.41760677
307,0.256804163
308,0.189843077
309,0.152882478
310,0.131042124
311,0.124562019
312,0.135842202
313,0.108961766
314,0.094081525
315,0.082321334
316,0.069601128
317,0.071041152
318,0.070561144
319,0.078241268
320,0.077041249
321,0.082081331
322,0.103681681
323,0.094561533
324,0.121201965
325,0.144482342
326,0.118561922
327,0.110881797
328,0.123362
329,0.107281739
330,0.096001556
331,0.088801439
332,0.081361319
333,0.080881311
334,0.074401206
335,0.069361124
336,0.069601128
337,0.068401109
338,0.066721082
339,0.06480105
340,0.062401012
341,0.125762039
342,0.138482245
343,0.108961766
344,0.097681583
345,0.099361611
346,0.094081525
347,0.09312151
348,0.105121704
349,0.087841424
350,0.074161202
351,0.074161202
352,0.068161105
353,0.065281058
354,0.069841132
355,0.082321334
356,0.07464121
357,0.065041054
358,0.074881214
359,0.134402179
360,0.117121899
361,0.09192149
362,0.089041443
363,0.078721276
364,0.076801245
365,0.075361222
